Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,5.6e-05,16.228797,[8 4] ; [ 4 35],[2.82352941 9.17647059] ; [ 9.17647059 29.82352941],1
s7,1,0.011292,6.418808,[5 4] ; [ 6 32],[2.10638298 6.89361702] ; [ 8.89361702 29.10638298],0
a2,1,0.023996,5.094905,[4 8] ; [ 3 36],[ 1.64705882 10.35294118] ; [ 5.35294118 33.64705882],0
p12,1,0.074305,3.185268,[ 2 10] ; [ 1 37],[ 0.72 11.28] ; [ 2.28 35.72],0
s2,1,0.095795,2.774184,[5 6] ; [ 8 31],[2.86 8.14] ; [10.14 28.86],0
v1,1,0.125202,2.351006,[6 6] ; [10 28],[3.84 8.16] ; [12.16 25.84],0
v2,1,0.188516,1.729179,[7 5] ; [14 24],[5.04 6.96] ; [15.96 22.04],0
p6,1,0.201087,1.634465,[4 8] ; [ 6 31],[2.44897959 9.55102041] ; [ 7.55102041 29.44897959],0
d5,1,0.209304,1.576236,[10  2] ; [25 14],[8.23529412 3.76470588] ; [26.76470588 12.23529412],0
a6,1,0.213862,1.545089,[8 4] ; [18 21],[6.11764706 5.88235294] ; [19.88235294 19.11764706],0
s3,1,0.222857,1.485877,[6 5] ; [13 25],[4.26530612 6.73469388] ; [14.73469388 23.26530612],0
r3,1,0.223733,1.480263,[9 3] ; [21 17],[7.2 4.8] ; [22.8 15.2],0
n6,1,0.259709,1.270306,[9 3] ; [21 16],[7.34693878 4.65306122] ; [22.65306122 14.34693878],0
n5,1,0.260625,1.265432,[11  1] ; [30  9],[9.64705882 2.35294118] ; [31.35294118  7.64705882],0
a3,1,0.28722,1.132607,[9 3] ; [22 16],[7.44 4.56] ; [23.56 14.44],0
s6,1,0.303895,1.057022,[5 6] ; [11 27],[3.59183673 7.40816327] ; [12.40816327 25.59183673],0
b4,1,0.315336,1.008192,[9 3] ; [23 16],[7.52941176 4.47058824] ; [24.47058824 14.52941176],0
a7,1,0.370896,0.800659,[7 5] ; [17 22],[5.64705882 6.35294118] ; [18.35294118 20.64705882],0
