Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,47.239671,[66 85] ; [133  31],[95.39365079 55.60634921] ; [103.60634921  60.39365079],1
v1,1,0.000269,13.273521,[78 69] ; [119  44],[93.41612903 53.58387097] ; [103.58387097  59.41612903],1
a1,1,0.008583,6.907579,[  4 151] ; [ 16 149],[  9.6875 145.3125] ; [ 10.3125 154.6875],0
s6,1,0.010584,6.533851,[137  16] ; [128  34],[128.71428571  24.28571429] ; [136.28571429  25.71428571],0
s4,1,0.026644,4.913715,[ 35 118] ; [ 22 143],[ 27.4245283 125.5754717] ; [ 29.5754717 135.4245283],0
s7,1,0.031981,4.599514,[111  39] ; [131  25],[118.62745098  31.37254902] ; [123.37254902  32.62745098],0
p5,1,0.079906,3.066804,[ 21 132] ; [ 35 130],[ 26.94339623 126.05660377] ; [ 29.05660377 135.94339623],0
a7,1,0.091347,2.850472,[112  43] ; [104  60],[104.95297806  50.04702194] ; [111.04702194  52.95297806],0
u4,1,0.110423,2.548152,[  2 153] ; [  7 158],[  4.359375 150.640625] ; [  4.640625 160.359375],0
n5,1,0.111743,2.529389,[131  23] ; [149  15],[135.59748428  18.40251572] ; [144.40251572  19.59748428],0
d1,1,0.11326,2.508131,[100  55] ; [120  45],[106.5625  48.4375] ; [113.4375  51.5625],0
p1,1,0.118997,2.430476,[ 10 144] ; [ 19 146],[ 14. 140.] ; [ 15. 150.],0
a3,1,0.123925,2.367001,[121  34] ; [139  25],[126.3322884  28.6677116] ; [133.6677116  30.3322884],0
p3,1,0.136406,2.21804,[85 70] ; [104  61],[91.546875 63.453125] ; [97.453125 67.546875],0
d5,1,0.172216,1.86355,[131  24] ; [147  17],[135.07836991  19.92163009] ; [142.92163009  21.07836991],0
d4,1,0.177958,1.814597,[130  25] ; [146  18],[134.10658307  20.89341693] ; [141.89341693  22.10658307],0
s3,1,0.269431,1.219644,[118  37] ; [113  47],[113.66666667  41.33333333] ; [117.33333333  42.66666667],0
n2,1,0.271989,1.206691,[26 12] ; [21  5],[27.90625 10.09375] ; [19.09375  6.90625],0
v4,1,0.286152,1.13764,[150   4] ; [156   8],[148.18867925   5.81132075] ; [157.81132075   6.18867925],0
p9,1,0.294498,1.098945,[144  11] ; [146  17],[141.35220126  13.64779874] ; [148.64779874  14.35220126],0
r3,1,0.304671,1.053636,[148   7] ; [161   4],[149.671875   5.328125] ; [159.328125   5.671875],0
u1,1,0.33253,0.939018,[ 41 114] ; [ 36 129],[ 37.296875 117.703125] ; [ 39.703125 125.296875],0
s5,1,0.339445,0.912528,[60 85] ; [74 84],[64.12541254 80.87458746] ; [69.87458746 88.12541254],0
s1,1,0.345562,0.889686,[  8 146] ; [  5 157],[  6.33544304 147.66455696] ; [  6.66455696 155.33544304],0
r2,1,0.355512,0.853684,[145   5] ; [155   9],[143.31210191   6.68789809] ; [156.68789809   7.31210191],0
a4,1,0.372722,0.794569,[74 81] ; [87 78],[77.984375 77.015625] ; [83.015625 81.984375],0
p10,1,0.378019,0.777134,[139  15] ; [142  21],[136.51104101  17.48895899] ; [144.48895899  18.51104101],0
s2,1,0.38408,0.757602,[105  50] ; [117  45],[108.5488959  46.4511041] ; [113.4511041  48.5488959],0
d3,1,0.391472,0.734365,[104  51] ; [118  47],[107.53125  47.46875] ; [114.46875  50.53125],0
r4,1,0.408914,0.681955,[143  12] ; [156   9],[144.828125  10.171875] ; [154.171875  10.828125],0
p12,1,0.435058,0.609283,[ 17 136] ; [ 23 141],[ 19.30599369 133.69400631] ; [ 20.69400631 143.30599369],0
u3,1,0.461198,0.542986,[24 10] ; [16 10],[22.66666667 11.33333333] ; [17.33333333  8.66666667],0
b5,1,0.509939,0.434193,[93 62] ; [93 72],[90.09375 64.90625] ; [95.90625 69.09375],0
p8,1,0.548466,0.360073,[89 64] ; [99 62],[91.60509554 61.39490446] ; [96.39490446 64.60509554],0
n1,1,0.572258,0.318919,[17 21] ; [13 12],[18.0952381 19.9047619] ; [11.9047619 13.0952381],0
b1,1,0.582528,0.302165,[62 93] ; [71 94],[64.421875 90.578125] ; [68.578125 96.421875],0
p6,1,0.610813,0.258992,[79 74] ; [79 83],[76.74285714 76.25714286] ; [81.25714286 80.74285714],0
p4,1,0.677101,0.173407,[104  50] ; [115  50],[105.72413793  48.27586207] ; [113.27586207  51.72413793],0
r1,1,0.699553,0.148938,[132  22] ; [143  21],[133.17610063  20.82389937] ; [141.82389937  22.17610063],0
a6,1,0.706976,0.141316,[98 57] ; [107  57],[99.60815047 55.39184953] ; [105.39184953  58.60815047],0
n6,1,0.719082,0.129374,[144  11] ; [154  10],[144.79623824  10.20376176] ; [153.20376176  10.79623824],0
a5,1,0.750794,0.100865,[128  27] ; [134  31],[126.90625  28.09375] ; [135.09375  29.90625],0
u2,1,0.773091,0.083137,[21 13] ; [17  9],[21.53333333 12.46666667] ; [16.46666667  9.53333333],0
p7,1,0.776433,0.080639,[108  44] ; [116  44],[109.12820513  42.87179487] ; [114.87179487  45.12820513],0
b4,1,0.799062,0.064801,[88 67] ; [96 69],[89.125 65.875] ; [94.875 70.125],0
p2,1,0.815692,0.054331,[133  21] ; [141  24],[132.27586207  21.72413793] ; [141.72413793  23.27586207],0
b2,1,0.819743,0.051927,[46 63] ; [52 67],[46.85087719 62.14912281] ; [51.14912281 67.85087719],0
b3,1,0.819743,0.051927,[46 63] ; [52 67],[46.85087719 62.14912281] ; [51.14912281 67.85087719],0
a8,1,0.911211,0.012435,[ 27 117] ; [ 27 121],[ 26.63013699 117.36986301] ; [ 27.36986301 120.63013699],0
p11,1,0.92135,0.009748,[129  26] ; [138  27],[129.328125  25.671875] ; [137.671875  27.328125],0
a2,1,0.925155,0.008825,[ 43 112] ; [ 45 120],[ 42.625 112.375] ; [ 45.375 119.625],0
n3,1,0.935096,0.006632,[27 11] ; [18  7],[27.14285714 10.85714286] ; [17.85714286  7.14285714],0
d2,1,0.994321,5.1e-05,[92 63] ; [98 67],[92.03125 62.96875] ; [97.96875 67.03125],0
