Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,30.007877,[ 4 55] ; [15  9],[13.5060241 45.4939759] ; [ 5.4939759 18.5060241],1
s6,1,0.002327,9.271991,[25 34] ; [19  5],[31.27710843 27.72289157] ; [12.72289157 11.27710843],0
p9,1,0.002416,9.203396,[26 33] ; [18  4],[32.04938272 26.95061728] ; [11.95061728 10.04938272],0
p6,1,0.005128,7.833819,[ 7 52] ; [ 9 14],[11.51219512 47.48780488] ; [ 4.48780488 18.51219512],0
s5,1,0.007408,7.171361,[ 9 49] ; [10 13],[13.60493827 44.39506173] ; [ 5.39506173 17.60493827],0
r4,1,0.010415,6.5625,[35 25] ; [21  3],[40. 20.] ; [16.  8.],0
p10,1,0.012733,6.205791,[23 36] ; [16  7],[28.06097561 30.93902439] ; [10.93902439 12.06097561],0
s2,1,0.014306,6.0,[20 40] ; [15  9],[25. 35.] ; [10. 14.],0
v1,1,0.029277,4.751236,[17 42] ; [13 11],[21.3253012 37.6746988] ; [ 8.6746988 15.3253012],0
a7,1,0.035388,4.426364,[38 21] ; [21  3],[41.93975904 17.06024096] ; [17.06024096  6.93975904],0
p2,1,0.03647,4.375,[30 30] ; [18  6],[34.28571429 25.71428571] ; [13.71428571 10.28571429],0
b3,1,0.040778,4.185196,[ 5 24] ; [5 5],[ 7.43589744 21.56410256] ; [2.56410256 7.43589744],0
b2,1,0.040778,4.185196,[ 5 24] ; [5 5],[ 7.43589744 21.56410256] ; [2.56410256 7.43589744],0
u2,1,0.052268,3.767183,[12 18] ; [5 1],[14.16666667 15.83333333] ; [2.83333333 3.16666667],0
s4,1,0.063305,3.44861,[13 47] ; [10 14],[16.42857143 43.57142857] ; [ 6.57142857 17.42857143],0
p1,1,0.069035,3.305823,[ 3 57] ; [ 4 19],[ 5.06024096 54.93975904] ; [ 1.93975904 21.06024096],0
a3,1,0.071603,3.245877,[29 30] ; [17  7],[32.69879518 26.30120482] ; [13.30120482 10.69879518],0
u3,1,0.073594,3.200985,[14 15] ; [6 1],[16.11111111 12.88888889] ; [3.88888889 3.11111111],0
u1,1,0.080512,3.054545,[ 3 57] ; [ 4 20],[ 5. 55.] ; [ 2. 22.],0
v2,1,0.101934,2.675026,[20 38] ; [12 10],[23.2 34.8] ; [ 8.8 13.2],0
r1,1,0.11803,2.443269,[34 26] ; [18  6],[37.14285714 22.85714286] ; [14.85714286  9.14285714],0
d5,1,0.151627,2.055801,[40 19] ; [20  4],[42.65060241 16.34939759] ; [17.34939759  6.65060241],0
a2,1,0.194924,1.68,[ 8 52] ; [ 6 18],[10. 50.] ; [ 4. 20.],0
p3,1,0.203773,1.615121,[14 45] ; [ 9 15],[16.34939759 42.65060241] ; [ 6.65060241 17.34939759],0
s3,1,0.213673,1.546364,[26 34] ; [14 10],[28.57142857 31.42857143] ; [11.42857143 12.57142857],0
n6,1,0.246722,1.34177,[28 32] ; [14  9],[30.36144578 29.63855422] ; [11.63855422 11.36144578],0
p4,1,0.260718,1.264941,[22 38] ; [12 12],[24.28571429 35.71428571] ; [ 9.71428571 14.28571429],0
a6,1,0.264616,1.244444,[32 28] ; [16  8],[34.28571429 25.71428571] ; [13.71428571 10.28571429],0
d3,1,0.270858,1.212396,[31 27] ; [16  8],[33.24390244 24.75609756] ; [13.75609756 10.24390244],0
n1,1,0.282759,1.153781,[ 5 23] ; [4 8],[ 6.3 21.7] ; [2.7 9.3],0
b5,1,0.305507,1.05,[42 18] ; [14 10],[40. 20.] ; [16.  8.],0
r2,1,0.324127,0.972222,[50 10] ; [22  2],[51.42857143  8.57142857] ; [20.57142857  3.42857143],0
v4,1,0.41323,0.669489,[51  9] ; [22  2],[52.14285714  7.85714286] ; [20.85714286  3.14285714],0
b1,1,0.447294,0.5775,[27 33] ; [13 11],[28.57142857 31.42857143] ; [11.42857143 12.57142857],0
r3,1,0.461016,0.543427,[48 12] ; [20  3],[49.15662651 10.84337349] ; [18.84337349  4.15662651],0
p8,1,0.493204,0.469528,[16 43] ; [ 8 15],[17.26829268 41.73170732] ; [ 6.73170732 16.26829268],0
d1,1,0.624206,0.24,[24 36] ; [11 13],[25. 35.] ; [10. 14.],0
b4,1,0.677461,0.172998,[32 28] ; [14 10],[32.85714286 27.14285714] ; [13.14285714 10.85714286],0
n3,1,0.72158,0.126984,[18 10] ; [7 5],[17.5 10.5] ; [7.5 4.5],0
a4,1,0.765293,0.089125,[18 42] ; [ 8 16],[18.57142857 41.42857143] ; [ 7.42857143 16.57142857],0
n2,1,0.78146,0.07696,[15 13] ; [7 5],[15.4 12.6] ; [6.6 5.4],0
n5,1,0.792904,0.068928,[14 46] ; [ 6 17],[14.45783133 45.54216867] ; [ 5.54216867 17.45783133],0
d2,1,0.832152,0.04492,[24 36] ; [ 9 15],[23.57142857 36.42857143] ; [ 9.42857143 14.57142857],0
p7,1,0.833437,0.044224,[25 35] ; [ 9 14],[24.57831325 35.42168675] ; [ 9.42168675 13.57831325],0
a1,1,0.852504,0.034568,[ 2 58] ; [ 1 23],[ 2.14285714 57.85714286] ; [ 0.85714286 23.14285714],0
d4,1,0.871291,0.02625,[46 14] ; [18  6],[45.71428571 14.28571429] ; [18.28571429  5.71428571],0
v3,1,0.894677,0.017527,[14 44] ; [ 5 17],[13.775 44.225] ; [ 5.225 16.775],0
a5,1,1.0,0.0,[30 30] ; [12 12],[30. 30.] ; [12. 12.],0
