Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.000355,12.753636,[52 24] ; [38  1],[59.47826087 16.52173913] ; [30.52173913  8.47826087],1
v2,1,0.000424,12.421203,[22 52] ; [25 14],[30.77876106 43.22123894] ; [16.22123894 22.77876106],1
p7,1,0.00046,12.271795,[30 47] ; [28 10],[38.83478261 38.16521739] ; [19.16521739 18.83478261],1
p3,1,0.000489,12.155844,[14 64] ; [19 20],[22. 56.] ; [11. 28.],1
p10,1,0.000502,12.107027,[33 44] ; [30  9],[41.81896552 35.18103448] ; [21.18103448 17.81896552],1
p2,1,0.000579,11.842663,[40 37] ; [33  6],[48.45689655 28.54310345] ; [24.54310345 14.45689655],1
p4,1,0.00068,11.542732,[18 59] ; [21 17],[26.11304348 50.88695652] ; [12.88695652 25.11304348],1
p6,1,0.001079,10.6875,[ 6 70] ; [12 26],[12. 64.] ; [ 6. 32.],0
s8,1,0.002585,9.079753,[ 7 71] ; [12 27],[12.66666667 65.33333333] ; [ 6.33333333 32.66666667],0
n4,1,0.006137,7.509628,[44 34] ; [32  7],[50.66666667 27.33333333] ; [25.33333333 13.66666667],0
n6,1,0.006617,7.374202,[46 31] ; [33  6],[52.43965517 24.56034483] ; [26.56034483 12.43965517],0
p9,1,0.00671,7.349109,[38 37] ; [30  9],[44.73684211 30.26315789] ; [23.26315789 15.73684211],0
d1,1,0.009232,6.777439,[21 57] ; [20 19],[27.33333333 50.66666667] ; [13.66666667 25.33333333],0
p11,1,0.019842,5.425706,[45 33] ; [31  8],[50.66666667 27.33333333] ; [25.33333333 13.66666667],0
v3,1,0.023749,5.11285,[14 60] ; [15 24],[18.99115044 55.00884956] ; [10.00884956 28.99115044],0
r3,1,0.024724,5.043103,[53 25] ; [34  5],[58. 20.] ; [29. 10.],0
r4,1,0.032245,4.585426,[42 36] ; [29 10],[47.33333333 30.66666667] ; [23.66666667 15.33333333],0
d5,1,0.035297,4.430769,[38 40] ; [27 12],[43.33333333 34.66666667] ; [21.66666667 17.33333333],0
v1,1,0.03958,4.235789,[24 52] ; [20 19],[29.07826087 46.92173913] ; [14.92173913 24.07826087],0
n5,1,0.045504,3.999853,[47 30] ; [31  8],[51.77586207 25.22413793] ; [26.22413793 12.77586207],0
p5,1,0.07848,3.096096,[ 2 75] ; [ 4 35],[ 3.98275862 73.01724138] ; [ 2.01724138 36.98275862],0
r1,1,0.113653,2.502674,[40 38] ; [26 13],[44. 34.] ; [22. 17.],0
