Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,78.314207,[108   1] ; [17 28],[88.47402597 20.52597403] ; [36.52597403  8.47402597],1
p11,1,0.000812,11.213773,[86 24] ; [23 22],[77.35483871 32.64516129] ; [31.64516129 13.35483871],1
v4,1,0.000993,10.841465,[106   3] ; [37  8],[101.21428571   7.78571429] ; [41.78571429  3.21428571],1
n5,1,0.00132,10.3138,[83 27] ; [22 23],[74.51612903 35.48387097] ; [30.48387097 14.51612903],0
p2,1,0.002814,8.924413,[89 21] ; [26 19],[81.61290323 28.38709677] ; [33.38709677 11.61290323],0
r4,1,0.008061,7.019928,[99 11] ; [33 12],[93.67741935 16.32258065] ; [38.32258065  6.67741935],0
p4,1,0.010767,6.503386,[59 51] ; [14 31],[51.80645161 58.19354839] ; [21.19354839 23.80645161],0
a2,1,0.01347,6.106247,[19 91] ; [16 29],[24.83870968 85.16129032] ; [10.16129032 34.83870968],0
a8,1,0.016773,5.719992,[ 7 94] ; [ 8 30],[10.89928058 90.10071942] ; [ 4.10071942 33.89928058],0
b1,1,0.025683,4.977222,[33 77] ; [22 23],[39.03225806 70.96774194] ; [15.96774194 29.03225806],0
d2,1,0.02623,4.940806,[44 65] ; [27 18],[50.25324675 58.74675325] ; [20.74675325 24.25324675],0
n6,1,0.031416,4.630071,[88 21] ; [29 16],[82.81168831 26.18831169] ; [34.18831169 10.81168831],0
p5,1,0.055041,3.680858,[13 95] ; [ 1 44],[ 9.88235294 98.11764706] ; [ 4.11764706 40.88235294],0
p12,1,0.062681,3.465,[13 97] ; [ 1 43],[ 10. 100.] ; [ 4. 40.],0
p8,1,0.071385,3.25088,[35 74] ; [ 8 37],[30.43506494 78.56493506] ; [12.56493506 32.43506494],0
a3,1,0.102553,2.665385,[70 40] ; [34 10],[74.28571429 35.71428571] ; [29.71428571 14.28571429],0
s2,1,0.104498,2.63551,[61 47] ; [18 25],[56.50331126 51.49668874] ; [22.49668874 20.50331126],0
a4,1,0.113365,2.506673,[47 63] ; [25 19],[51.42857143 58.57142857] ; [20.57142857 23.42857143],0
s5,1,0.115099,2.482772,[33 70] ; [ 8 34],[29.12413793 73.87586207] ; [11.87586207 30.12413793],0
n2,1,0.125246,2.350465,[23  4] ; [9 5],[21.07317073  5.92682927] ; [10.92682927  3.07317073],0
u2,1,0.148915,2.083333,[26 14] ; [4 6],[24. 16.] ; [6. 4.],0
s6,1,0.220185,1.503162,[75 33] ; [26 18],[71.76315789 36.23684211] ; [29.23684211 14.76315789],0
r2,1,0.293924,1.10156,[105   5] ; [41  4],[103.61290323   6.38709677] ; [42.38709677  2.61290323],0
s8,1,0.344469,0.893728,[41 68] ; [13 31],[38.47058824 70.52941176] ; [15.52941176 28.47058824],0
u4,1,0.34926,0.876146,[  2 108] ; [ 2 43],[  2.83870968 107.16129032] ; [ 1.16129032 43.83870968],0
d5,1,0.360344,0.836694,[83 27] ; [37  8],[85.16129032 24.83870968] ; [34.83870968 10.16129032],0
s1,1,0.416798,0.659327,[  4 105] ; [ 3 42],[  4.95454545 104.04545455] ; [ 2.04545455 42.95454545],0
u3,1,0.425896,0.633988,[27 13] ; [6 5],[25.88235294 14.11764706] ; [7.11764706 3.88235294],0
p6,1,0.440199,0.595763,[21 88] ; [ 6 37],[19.36184211 89.63815789] ; [ 7.63815789 35.36184211],0
r3,1,0.443883,0.586223,[101   8] ; [40  5],[99.7987013  9.2012987] ; [41.2012987  3.7987013],0
p3,1,0.458318,0.55,[42 68] ; [14 30],[40. 70.] ; [16. 28.],0
a6,1,0.475667,0.50878,[75 35] ; [28 17],[73.09677419 36.90322581] ; [29.90322581 15.09677419],0
b5,1,0.475667,0.50878,[75 35] ; [28 17],[73.09677419 36.90322581] ; [29.90322581 15.09677419],0
s3,1,0.486966,0.483224,[57 51] ; [20 23],[55.07284768 52.92715232] ; [21.92715232 21.07284768],0
u1,1,0.510304,0.433443,[15 95] ; [ 8 37],[16.32258065 93.67741935] ; [ 6.67741935 38.32258065],0
n1,1,0.571042,0.320943,[11 16] ; [7 7],[11.85365854 15.14634146] ; [6.14634146 7.85365854],0
a1,1,0.58285,0.30165,[  3 107] ; [ 2 43],[  3.5483871 106.4516129] ; [ 1.4516129 43.5483871],0
n3,1,0.587775,0.293833,[17 10] ; [10  4],[17.7804878  9.2195122] ; [9.2195122 4.7804878],0
d4,1,0.623083,0.241558,[84 26] ; [36  9],[85.16129032 24.83870968] ; [34.83870968 10.16129032],0
s4,1,0.62344,0.241063,[16 93] ; [ 5 38],[15.05921053 93.94078947] ; [ 5.94078947 37.05921053],0
a7,1,0.63045,0.23145,[80 30] ; [31 14],[78.77419355 31.22580645] ; [32.22580645 12.77419355],0
d1,1,0.748613,0.1027,[58 52] ; [25 20],[58.90322581 51.09677419] ; [24.09677419 20.90322581],0
r1,1,0.758099,0.09485,[83 27] ; [35 10],[83.74193548 26.25806452] ; [34.25806452 10.74193548],0
s7,1,0.792183,0.06942,[44 62] ; [18 23],[44.70748299 61.29251701] ; [17.29251701 23.70748299],0
d3,1,0.801357,0.063298,[71 39] ; [30 15],[71.67741935 38.32258065] ; [29.32258065 15.67741935],0
a5,1,0.804242,0.061435,[81 29] ; [34 11],[81.61290323 28.38709677] ; [33.38709677 11.61290323],0
p1,1,0.83181,0.045106,[11 99] ; [ 4 41],[10.64516129 99.35483871] ; [ 4.35483871 40.64516129],0
v2,1,0.865984,0.028481,[63 41] ; [26 18],[62.54054054 41.45945946] ; [26.45945946 17.54054054],0
v3,1,0.915877,0.011157,[44 61] ; [18 24],[44.28571429 60.71428571] ; [17.71428571 24.28571429],0
b4,1,0.916697,0.01094,[65 45] ; [27 18],[65.29032258 44.70967742] ; [26.70967742 18.29032258],0
n4,1,0.96903,0.001507,[81 29] ; [33 12],[80.90322581 29.09677419] ; [33.09677419 11.90322581],0
b2,1,0.973338,0.001117,[25 36] ; [13 19],[24.92473118 36.07526882] ; [13.07526882 18.92473118],0
b3,1,0.973338,0.001117,[25 36] ; [13 19],[24.92473118 36.07526882] ; [13.07526882 18.92473118],0
