Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,87.831201,[ 5 51] ; [272 100],[36.24299065 19.75700935] ; [240.75700935 131.24299065],1
d3,1,0.0,54.570818,[16 39] ; [288  84],[39.15690867 15.84309133] ; [264.84309133 107.15690867],1
d5,1,0.0,30.679507,[32 23] ; [326  46],[46.11241218  8.88758782] ; [311.88758782  60.11241218],1
d2,1,1.8e-05,18.340107,[15 41] ; [213 158],[29.90163934 26.09836066] ; [198.09836066 172.90163934],1
a4,1,4.6e-05,16.619012,[13 43] ; [195 177],[27.21495327 28.78504673] ; [180.78504673 191.21495327],1
u2,1,0.000202,13.813854,[ 7 17] ; [57 23],[14.76923077  9.23076923] ; [49.23076923 30.76923077],1
a3,1,0.00066,11.598078,[32 24] ; [290  81],[42.2295082 13.7704918] ; [279.7704918  91.2295082],1
a2,1,0.000721,11.435431,[ 5 51] ; [114 258],[15.57009346 40.42990654] ; [103.42990654 268.57009346],1
u1,1,0.002339,9.262596,[ 4 52] ; [ 95 277],[12.95327103 43.04672897] ; [ 86.04672897 285.95327103],0
a5,1,0.003021,8.794666,[34 22] ; [293  79],[42.78504673 13.21495327] ; [284.21495327  87.78504673],0
p4,1,0.003197,8.691692,[27 29] ; [252 117],[36.76235294 19.23764706] ; [242.23764706 126.76235294],0
p3,1,0.006599,7.378874,[20 35] ; [207 163],[29.37647059 25.62352941] ; [197.62352941 172.37647059],0
b3,1,0.00692,7.293511,[ 7 29] ; [ 98 129],[14.37262357 21.62737643] ; [ 90.62737643 136.37262357],0
b2,1,0.00692,7.293511,[ 7 29] ; [ 98 129],[14.37262357 21.62737643] ; [ 90.62737643 136.37262357],0
p2,1,0.015145,5.899474,[41 15] ; [317  52],[47.17176471  8.82823529] ; [310.82823529  58.17176471],0
u3,1,0.028342,4.80717,[12 12] ; [59 21],[16.38461538  7.61538462] ; [54.61538462 25.38461538],0
n4,1,0.04418,4.04967,[38 17] ; [300  71],[43.63849765 11.36150235] ; [294.36150235  76.63849765],0
p8,1,0.046206,3.97407,[23 33] ; [202 163],[29.92874109 26.07125891] ; [195.07125891 169.92874109],0
p12,1,0.049464,3.859549,[ 2 54] ; [ 46 322],[ 6.33962264 49.66037736] ; [ 41.66037736 326.33962264],0
v2,1,0.055786,3.65845,[26 29] ; [215 138],[32.4877451 22.5122549] ; [208.5122549 144.4877451],0
v4,1,0.072615,3.222904,[54  2] ; [369   3],[55.34579439  0.65420561] ; [367.65420561   4.34579439],0
p9,1,0.076892,3.129391,[46 10] ; [327  36],[49.85202864  6.14797136] ; [323.14797136  39.85202864],0
s5,1,0.077148,3.123978,[21 34] ; [180 173],[27.09558824 27.90441176] ; [173.90441176 179.09558824],0
p1,1,0.095797,2.774163,[ 9 47] ; [ 33 336],[ 5.53411765 50.46588235] ; [ 36.46588235 332.53411765],0
s1,1,0.103381,2.652592,[ 5 50] ; [ 15 352],[ 2.60663507 52.39336493] ; [ 17.39336493 349.60663507],0
r1,1,0.122287,2.387786,[44 11] ; [325  46],[47.64084507  7.35915493] ; [321.35915493  49.64084507],0
s6,1,0.126438,2.335707,[44 10] ; [324  41],[47.42720764  6.57279236] ; [320.57279236  44.42720764],0
v1,1,0.128707,2.308029,[28 28] ; [218 141],[33.19518072 22.80481928] ; [212.80481928 146.19518072],0
b4,1,0.147521,2.097697,[28 28] ; [224 148],[32.97196262 23.02803738] ; [219.02803738 152.97196262],0
s4,1,0.162103,1.954501,[17 38] ; [ 82 285],[12.9028436 42.0971564] ; [ 86.0971564 280.9028436],0
a1,1,0.165127,1.926639,[ 1 55] ; [ 24 348],[ 3.27102804 52.72897196] ; [ 21.72897196 350.27102804],0
n2,1,0.171932,1.866013,[13  1] ; [56 17],[11.10344828  2.89655172] ; [57.89655172 15.10344828],0
p6,1,0.216485,1.527522,[20 36] ; [162 202],[24.26666667 31.73333333] ; [157.73333333 206.26666667],0
p11,1,0.218177,1.516323,[40 16] ; [293  79],[43.57009346 12.42990654] ; [289.42990654  82.57009346],0
b5,1,0.23815,1.391512,[30 26] ; [230 142],[34.01869159 21.98130841] ; [225.98130841 146.01869159],0
