Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.0,26.449275,[31 61] ; [42 12],[46. 46.] ; [27. 27.],1
s3,1,0.0,26.08831,[30 63] ; [41 13],[44.91836735 48.08163265] ; [26.08163265 27.91836735],1
s8,1,2.1e-05,18.060313,[12 80] ; [24 30],[22.68493151 69.31506849] ; [13.31506849 40.68493151],1
s7,1,0.000678,11.549624,[19 68] ; [25 25],[27.94160584 59.05839416] ; [16.05839416 33.94160584],1
p8,1,0.058422,3.581633,[27 66] ; [24 30],[32.26530612 60.73469388] ; [18.73469388 35.26530612],0
n5,1,0.062195,3.477858,[42 51] ; [33 21],[47.44897959 45.55102041] ; [27.55102041 26.44897959],0
n3,1,0.066127,3.376631,[23  8] ; [7 8],[20.2173913 10.7826087] ; [9.7826087 5.2173913],0
p10,1,0.082935,3.006435,[20 71] ; [19 35],[24.47586207 66.52413793] ; [14.52413793 39.47586207],0
n2,1,0.091267,2.851876,[20 13] ; [12  2],[22.46808511 10.53191489] ; [9.53191489 4.46808511],0
p7,1,0.095015,2.787281,[42 51] ; [31 21],[46.82068966 46.17931034] ; [26.17931034 25.82068966],0
s4,1,0.102047,2.673262,[ 9 84] ; [10 42],[12.1862069 80.8137931] ; [ 6.8137931 45.1862069],0
a1,1,0.120451,2.411449,[ 2 91] ; [ 4 50],[ 3.79591837 89.20408163] ; [ 2.20408163 51.79591837],0
p5,1,0.120451,2.411449,[ 2 91] ; [ 4 50],[ 3.79591837 89.20408163] ; [ 2.20408163 51.79591837],0
s1,1,0.122876,2.380274,[ 4 87] ; [ 6 48],[ 6.27586207 84.72413793] ; [ 3.72413793 50.27586207],0
s5,1,0.151797,2.054094,[15 76] ; [14 39],[18.32638889 72.67361111] ; [10.67361111 42.32638889],0
v3,1,0.166005,1.918658,[24 66] ; [20 33],[27.69230769 62.30769231] ; [16.30769231 36.69230769],0
u2,1,0.179684,1.800232,[18 23] ; [13  8],[20.5 20.5] ; [10.5 10.5],0
a6,1,0.195998,1.671946,[60 33] ; [29 25],[56.30612245 36.69387755] ; [32.69387755 21.30612245],0
d4,1,0.236945,1.398676,[67 25] ; [44 10],[69.94520548 22.05479452] ; [41.05479452 12.94520548],0
p6,1,0.240636,1.376867,[18 73] ; [15 38],[20.85416667 70.14583333] ; [12.14583333 40.85416667],0
p4,1,0.250114,1.322665,[37 55] ; [27 27],[40.32876712 51.67123288] ; [23.67123288 30.32876712],0
p3,1,0.259992,1.2688,[28 64] ; [21 32],[31.08965517 60.91034483] ; [17.91034483 35.08965517],0
u1,1,0.263762,1.248905,[11 82] ; [10 44],[13.28571429 79.71428571] ; [ 7.71428571 46.28571429],0
p11,1,0.264356,1.2458,[48 45] ; [33 21],[51.24489796 41.75510204] ; [29.75510204 24.24489796],0
v1,1,0.322896,0.977178,[32 61] ; [23 31],[34.79591837 58.20408163] ; [20.20408163 33.79591837],0
v2,1,0.340352,0.909104,[38 53] ; [26 26],[40.72727273 50.27272727] ; [23.27272727 28.72727273],0
a7,1,0.341738,0.903901,[64 29] ; [33 21],[61.36734694 31.63265306] ; [35.63265306 18.36734694],0
n1,1,0.352236,0.865385,[12 20] ; [ 3 10],[10.66666667 21.33333333] ; [4.33333333 8.66666667],0
d1,1,0.363075,0.82723,[41 52] ; [28 26],[43.65306122 49.34693878] ; [25.34693878 28.65306122],0
p2,1,0.36497,0.82072,[55 38] ; [36 18],[57.57142857 35.42857143] ; [33.42857143 20.57142857],0
d5,1,0.367282,0.812839,[66 27] ; [42 12],[68.32653061 24.67346939] ; [39.67346939 14.32653061],0
v4,1,0.370948,0.800486,[80 11] ; [50  4],[81.5862069  9.4137931] ; [48.4137931  5.5862069],0
a3,1,0.386381,0.750301,[50 43] ; [33 21],[52.51020408 40.48979592] ; [30.48979592 23.51020408],0
a8,1,0.460346,0.545052,[ 7 79] ; [ 6 44],[ 8.22058824 77.77941176] ; [ 4.77941176 45.22058824],0
b5,1,0.520837,0.412236,[55 38] ; [29 25],[53.14285714 39.85714286] ; [30.85714286 23.14285714],0
b4,1,0.525452,0.403179,[60 33] ; [32 22],[58.20408163 34.79591837] ; [33.79591837 20.20408163],0
d3,1,0.559152,0.341174,[54 39] ; [34 20],[55.67346939 37.32653061] ; [32.32653061 21.67346939],0
n4,1,0.60058,0.274122,[58 35] ; [36 18],[59.46938776 33.53061224] ; [34.53061224 19.46938776],0
b1,1,0.602278,0.271574,[51 42] ; [32 22],[52.51020408 40.48979592] ; [30.48979592 23.51020408],0
r1,1,0.645336,0.211831,[71 22] ; [43 11],[72.12244898 20.87755102] ; [41.87755102 12.12244898],0
a4,1,0.683422,0.1663,[32 60] ; [17 37],[30.87671233 61.12328767] ; [18.12328767 35.87671233],0
n6,1,0.817458,0.053276,[62 31] ; [37 17],[62.63265306 30.36734694] ; [36.36734694 17.63265306],0
