Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,3e-06,22.140556,[ 3 58] ; [11 12],[10.16666667 50.83333333] ; [ 3.83333333 19.16666667],1
s6,1,1.5e-05,18.768018,[16 45] ; [18  5],[24.69047619 36.30952381] ; [ 9.30952381 13.69047619],1
s2,1,0.000196,13.868352,[10 52] ; [13 10],[16.77647059 45.22352941] ; [ 6.22352941 16.77647059],1
s3,1,0.000326,12.915828,[16 44] ; [16  7],[23.13253012 36.86746988] ; [ 8.86746988 14.13253012],1
p6,1,0.000798,11.246043,[ 5 55] ; [ 9 14],[10.12048193 49.87951807] ; [ 3.87951807 19.12048193],1
u1,1,0.001138,10.588242,[ 3 59] ; [ 7 16],[ 7.29411765 54.70588235] ; [ 2.70588235 20.29411765],0
s5,1,0.002003,9.546985,[ 7 53] ; [ 9 12],[11.85185185 48.14814815] ; [ 4.14814815 16.85185185],0
p9,1,0.002468,9.1638,[16 43] ; [14  8],[21.85185185 37.14814815] ; [ 8.14814815 13.85185185],0
d3,1,0.002902,8.868035,[25 37] ; [17  5],[31. 31.] ; [11. 11.],0
r3,1,0.003694,8.428669,[32 29] ; [20  3],[37.76190476 23.23809524] ; [14.23809524  8.76190476],0
r4,1,0.004392,8.114043,[27 35] ; [18  5],[32.82352941 29.17647059] ; [12.17647059 10.82352941],0
d1,1,0.00499,7.882981,[22 40] ; [16  7],[27.71764706 34.28235294] ; [10.28235294 12.71764706],0
v2,1,0.008906,6.841555,[19 41] ; [14  8],[24.14634146 35.85365854] ; [ 8.85365854 13.14634146],0
a2,1,0.0136,6.089285,[ 9 53] ; [ 9 14],[13.12941176 48.87058824] ; [ 4.87058824 18.12941176],0
r1,1,0.016324,5.767641,[30 31] ; [18  5],[34.85714286 26.14285714] ; [13.14285714  9.85714286],0
n3,1,0.027311,4.871015,[10 14] ; [11  3],[13.26315789 10.73684211] ; [7.73684211 6.26315789],0
v4,1,0.029246,4.753051,[38 23] ; [20  3],[42.11904762 18.88095238] ; [15.88095238  7.11904762],0
s4,1,0.034509,4.469288,[ 7 55] ; [ 7 16],[10.21176471 51.78823529] ; [ 3.78823529 19.21176471],0
a3,1,0.037885,4.310194,[35 25] ; [19  4],[39.03614458 20.96385542] ; [14.96385542  8.03614458],0
v1,1,0.037953,4.307149,[13 49] ; [10 13],[16.77647059 45.22352941] ; [ 6.22352941 16.77647059],0
r2,1,0.038685,4.274663,[44 14] ; [22  1],[47.25925926 10.74074074] ; [18.74074074  4.25925926],0
n2,1,0.047905,3.913325,[12 14] ; [11  3],[14.95 11.05] ; [8.05 5.95],0
a6,1,0.048769,3.883288,[30 32] ; [16  6],[33.95238095 28.04761905] ; [12.04761905  9.95238095],0
d4,1,0.054162,3.707707,[40 22] ; [19  3],[43.54761905 18.45238095] ; [15.45238095  6.54761905],0
n4,1,0.056502,3.637206,[31 30] ; [17  6],[34.85714286 26.14285714] ; [13.14285714  9.85714286],0
n6,1,0.071105,3.257328,[29 32] ; [16  7],[32.67857143 28.32142857] ; [12.32142857 10.67857143],0
p10,1,0.073052,3.21307,[16 43] ; [11 12],[19.42682927 39.57317073] ; [ 7.57317073 15.42682927],0
a8,1,0.088474,2.901926,[ 5 53] ; [ 5 17],[ 7.25 50.75] ; [ 2.75 19.25],0
d2,1,0.090834,2.859535,[26 35] ; [14  8],[29.39759036 31.60240964] ; [10.60240964 11.39759036],0
a5,1,0.111211,2.536923,[37 25] ; [18  5],[40.11764706 21.88235294] ; [14.88235294  8.11764706],0
d5,1,0.131517,2.274509,[40 22] ; [18  4],[42.80952381 19.19047619] ; [15.19047619  6.80952381],0
p3,1,0.15321,2.040001,[10 51] ; [ 7 16],[12.3452381 48.6547619] ; [ 4.6547619 18.3452381],0
a7,1,0.164036,1.936619,[35 26] ; [17  6],[37.76190476 23.23809524] ; [14.23809524  8.76190476],0
b1,1,0.167249,1.907433,[30 32] ; [15  8],[32.82352941 29.17647059] ; [12.17647059 10.82352941],0
a4,1,0.19851,1.6533,[22 38] ; [12 11],[24.57831325 35.42168675] ; [ 9.42168675 13.57831325],0
n1,1,0.302936,1.061224,[10 15] ; [8 6],[11.53846154 13.46153846] ; [6.46153846 7.53846154],0
v3,1,0.345862,0.888581,[16 43] ; [ 8 13],[17.7 41.3] ; [ 6.3 14.7],0
p7,1,0.372801,0.794305,[15 45] ; [ 8 15],[16.62650602 43.37349398] ; [ 6.37349398 16.62650602],0
b3,1,0.434682,0.610281,[18 22] ; [ 5 10],[16.72727273 23.27272727] ; [6.27272727 8.72727273],0
b2,1,0.434682,0.610281,[18 22] ; [ 5 10],[16.72727273 23.27272727] ; [6.27272727 8.72727273],0
a1,1,0.477545,0.504465,[ 9 53] ; [ 2 21],[ 8.02352941 53.97647059] ; [ 2.97647059 20.02352941],0
b4,1,0.564982,0.331152,[28 34] ; [12 11],[29.17647059 32.82352941] ; [10.82352941 12.17647059],0
u3,1,0.619372,0.246751,[10 17] ; [2 2],[10.4516129 16.5483871] ; [1.5483871 2.4516129],0
p1,1,0.65409,0.200782,[ 6 56] ; [ 3 20],[ 6.56470588 55.43529412] ; [ 2.43529412 20.56470588],0
n5,1,0.671704,0.179615,[34 27] ; [14  9],[34.85714286 26.14285714] ; [13.14285714  9.85714286],0
p8,1,0.699686,0.148799,[11 50] ; [ 5 18],[11.61904762 49.38095238] ; [ 4.38095238 18.61904762],0
u2,1,0.739332,0.110714,[ 9 18] ; [1 3],[ 8.70967742 18.29032258] ; [1.29032258 2.70967742],0
p5,1,0.813859,0.055437,[ 2 59] ; [ 1 22],[ 2.17857143 58.82142857] ; [ 0.82142857 22.17857143],0
b5,1,0.815413,0.054498,[36 26] ; [14  9],[36.47058824 25.52941176] ; [13.52941176  9.47058824],0
s1,1,0.843133,0.039159,[ 7 54] ; [ 3 20],[ 7.26190476 53.73809524] ; [ 2.73809524 20.26190476],0
p4,1,0.860516,0.030877,[12 48] ; [ 5 18],[12.28915663 47.71084337] ; [ 4.71084337 18.28915663],0
