Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,8e-06,19.913972,[71  6] ; [33 22],[60.66666667 16.33333333] ; [43.33333333 11.66666667],1
s6,1,1.5e-05,18.781644,[49 27] ; [14 40],[36.83076923 39.16923077] ; [26.16923077 27.83076923],1
n5,1,0.000469,12.235175,[53 24] ; [21 34],[43.16666667 33.83333333] ; [30.83333333 24.16666667],1
s8,1,0.000724,11.426115,[32 44] ; [ 8 47],[23.20610687 52.79389313] ; [16.79389313 38.20610687],1
s7,1,0.000917,10.988659,[35 33] ; [11 40],[26.28571429 41.71428571] ; [19.71428571 31.28571429],1
p4,1,0.002049,9.505479,[35 41] ; [11 44],[26.6870229 49.3129771] ; [19.3129771 35.6870229],0
r4,1,0.003324,8.620408,[57 20] ; [27 28],[49. 28.] ; [35. 20.],0
b5,1,0.003796,8.379072,[53 24] ; [24 31],[44.91666667 32.08333333] ; [32.08333333 22.91666667],0
u1,1,0.004662,8.006015,[16 61] ; [ 2 53],[10.5 66.5] ; [ 7.5 47.5],0
s2,1,0.008905,6.841822,[38 38] ; [15 40],[30.7480916 45.2519084] ; [22.2519084 32.7480916],0
n2,1,0.015388,5.871487,[25 10] ; [12 17],[20.234375 14.765625] ; [16.765625 12.234375],0
r3,1,0.016194,5.781731,[61 16] ; [33 22],[54.83333333 22.16666667] ; [39.16666667 15.83333333],0
v2,1,0.028758,4.782043,[35 41] ; [14 38],[29.09375 46.90625] ; [19.90625 32.09375],0
p2,1,0.045308,4.007143,[43 34] ; [21 34],[37.33333333 39.66666667] ; [26.66666667 28.33333333],0
n4,1,0.048276,3.900366,[51 26] ; [27 28],[45.5 31.5] ; [32.5 22.5],0
s5,1,0.057107,3.619459,[23 51] ; [ 8 42],[18.5 55.5] ; [12.5 37.5],0
a1,1,0.058706,3.573583,[ 3 74] ; [ 7 48],[ 5.83333333 71.16666667] ; [ 4.16666667 50.83333333],0
p9,1,0.062935,3.458294,[42 30] ; [22 31],[36.864 35.136] ; [27.136 25.864],0
p10,1,0.085388,2.95924,[35 39] ; [17 36],[30.2992126 43.7007874] ; [21.7007874 31.2992126],0
d1,1,0.093165,2.818811,[45 32] ; [24 31],[40.25 36.75] ; [28.75 26.25],0
d5,1,0.130907,2.281714,[62 15] ; [38 17],[58.33333333 18.66666667] ; [41.66666667 13.33333333],0
b1,1,0.140499,2.172482,[45 32] ; [25 30],[40.83333333 36.16666667] ; [29.16666667 25.83333333],0
p3,1,0.140694,2.170355,[23 54] ; [10 44],[19.39694656 57.60305344] ; [13.60305344 40.39694656],0
p8,1,0.154892,2.023401,[19 58] ; [ 8 47],[15.75 61.25] ; [11.25 43.75],0
a6,1,0.156118,2.011429,[38 39] ; [34 21],[42. 35.] ; [30. 25.],0
s4,1,0.195567,1.675171,[18 58] ; [ 8 47],[15.08396947 60.91603053] ; [10.91603053 44.08396947],0
s3,1,0.241093,1.374194,[36 40] ; [20 34],[32.73846154 43.26153846] ; [23.26153846 30.73846154],0
p6,1,0.264167,1.246789,[12 63] ; [ 5 49],[ 9.88372093 65.11627907] ; [ 7.11627907 46.88372093],0
d4,1,0.271955,1.206857,[61 16] ; [39 16],[58.33333333 18.66666667] ; [41.66666667 13.33333333],0
r2,1,0.288285,1.127614,[67  9] ; [44 10],[64.89230769 11.10769231] ; [46.10769231  7.89230769],0
v3,1,0.382546,0.762503,[25 50] ; [13 37],[22.8 52.2] ; [15.2 34.8],0
b3,1,0.387534,0.746667,[14 28] ; [13 17],[15.75 26.25] ; [11.25 18.75],0
b2,1,0.387534,0.746667,[14 28] ; [13 17],[15.75 26.25] ; [11.25 18.75],0
r1,1,0.402023,0.702266,[53 24] ; [34 21],[50.75 26.25] ; [36.25 18.75],0
a7,1,0.432566,0.615924,[54 23] ; [35 20],[51.91666667 25.08333333] ; [37.08333333 17.91666667],0
n1,1,0.465577,0.532454,[16 18] ; [11 18],[14.57142857 19.42857143] ; [12.42857143 16.57142857],0
a2,1,0.471673,0.518053,[18 59] ; [10 45],[16.33333333 60.66666667] ; [11.66666667 43.33333333],0
a8,1,0.492575,0.470897,[ 3 64] ; [ 4 50],[ 3.87603306 63.12396694] ; [ 3.12396694 50.87603306],0
d2,1,0.507748,0.438705,[39 37] ; [25 30],[37.12977099 38.87022901] ; [26.87022901 28.12977099],0
u2,1,0.523429,0.407131,[11 19] ; [10 12],[12.11538462 17.88461538] ; [ 8.88461538 13.11538462],0
d3,1,0.601442,0.272827,[51 26] ; [34 21],[49.58333333 27.41666667] ; [35.41666667 19.58333333],0
v1,1,0.626291,0.237124,[28 48] ; [18 37],[26.6870229 49.3129771] ; [19.3129771 35.6870229],0
a5,1,0.655937,0.198496,[45 32] ; [30 25],[43.75 33.25] ; [31.25 23.75],0
b4,1,0.655937,0.198496,[45 32] ; [30 25],[43.75 33.25] ; [31.25 23.75],0
a3,1,0.7663,0.088339,[47 29] ; [32 22],[46.18461538 29.81538462] ; [32.81538462 21.18461538],0
a4,1,0.803984,0.061601,[33 42] ; [23 32],[32.30769231 42.69230769] ; [23.69230769 31.30769231],0
s1,1,0.807517,0.059356,[ 6 70] ; [ 5 50],[ 6.38167939 69.61832061] ; [ 4.61832061 50.38167939],0
p1,1,0.856908,0.032512,[ 9 68] ; [ 7 48],[ 9.33333333 67.66666667] ; [ 6.66666667 48.33333333],0
n3,1,0.885739,0.020649,[17 17] ; [14 13],[17.27868852 16.72131148] ; [13.72131148 13.27868852],0
