Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,26.872564,[ 8 18] ; [89 20],[18.68148148  7.31851852] ; [78.31851852 30.68148148],1
v4,1,0.000505,12.096037,[20  7] ; [103   5],[24.6  2.4] ; [98.4  9.6],1
s4,1,0.001736,9.810013,[13 14] ; [21 89],[ 6.70072993 20.29927007] ; [27.29927007 82.70072993],0
r3,1,0.023008,5.167927,[22  4] ; [105   4],[24.45925926  1.54074074] ; [102.54074074   6.45925926],0
a8,1,0.064986,3.405327,[ 1 24] ; [19 80],[ 4.03225806 20.96774194] ; [15.96774194 83.03225806],0
a5,1,0.072864,3.217287,[16 11] ; [84 26],[19.7080292  7.2919708] ; [80.2919708 29.7080292],0
u1,1,0.07295,3.215366,[ 2 25] ; [25 85],[ 5.32116788 21.67883212] ; [21.67883212 88.32116788],0
s2,1,0.083346,2.998408,[12 15] ; [69 41],[15.96350365 11.03649635] ; [65.03649635 44.96350365],0
r4,1,0.088044,2.909772,[20  7] ; [96 14],[22.86131387  4.13868613] ; [93.13868613 16.86131387],0
p2,1,0.088044,2.909772,[20  7] ; [96 14],[22.86131387  4.13868613] ; [93.13868613 16.86131387],0
n6,1,0.096566,2.761364,[19  8] ; [91 17],[22.  5.] ; [88. 20.],0
b5,1,0.102786,2.661771,[11 16] ; [64 46],[14.7810219 12.2189781] ; [60.2189781 49.7810219],0
p9,1,0.106564,2.604459,[17  8] ; [89 19],[19.92481203  5.07518797] ; [86.07518797 21.92481203],0
v1,1,0.140137,2.176455,[15 11] ; [45 63],[11.64179104 14.35820896] ; [48.35820896 59.64179104],0
d5,1,0.173707,1.850654,[24  3] ; [84 25],[21.44117647  5.55882353] ; [86.55882353 22.44117647],0
r1,1,0.186232,1.747179,[19  8] ; [90 20],[21.48175182  5.51824818] ; [87.51824818 22.48175182],0
r2,1,0.202021,1.627707,[24  3] ; [103   5],[25.4  1.6] ; [101.6   6.4],0
p5,1,0.212275,1.55584,[ 1 26] ; [13 97],[ 2.75912409 24.24087591] ; [11.24087591 98.75912409],0
u3,1,0.267505,1.229497,[5 1] ; [16 11],[3.81818182 2.18181818] ; [17.18181818  9.81818182],0
p1,1,0.299737,1.075365,[ 1 26] ; [11 99],[ 2.3649635 24.6350365] ; [  9.6350365 100.3649635],0
p11,1,0.300558,1.071719,[18  9] ; [84 26],[20.10218978  6.89781022] ; [81.89781022 28.10218978],0
p3,1,0.323135,0.976215,[12 15] ; [60 49],[14.29411765 12.70588235] ; [57.70588235 51.29411765],0
s3,1,0.372858,0.794118,[15 12] ; [70 38],[17. 10.] ; [68. 40.],0
a4,1,0.388244,0.744436,[11 16] ; [55 55],[13.00729927 13.99270073] ; [52.99270073 57.00729927],0
p6,1,0.458109,0.55051,[ 8 17] ; [44 66],[ 9.62962963 15.37037037] ; [42.37037037 67.62962963],0
a2,1,0.475019,0.510277,[ 6 21] ; [32 78],[ 7.48905109 19.51094891] ; [30.51094891 79.48905109],0
v2,1,0.562209,0.335894,[15 11] ; [56 53],[13.67407407 12.32592593] ; [57.32592593 51.67407407],0
d4,1,0.565028,0.331073,[21  6] ; [90 19],[22.03676471  4.96323529] ; [88.96323529 20.03676471],0
p10,1,0.576818,0.311406,[19  7] ; [86 24],[20.07352941  5.92647059] ; [84.92647059 25.07352941],0
n2,1,0.593231,0.285326,[9 3] ; [19  4],[9.6 2.4] ; [18.4  4.6],0
b1,1,0.611103,0.258572,[12 15] ; [43 67],[10.83941606 16.16058394] ; [44.16058394 65.83941606],0
p8,1,0.617079,0.249994,[11 14] ; [54 55],[12.12686567 12.87313433] ; [52.87313433 56.12686567],0
a6,1,0.632207,0.229079,[16 11] ; [70 39],[17.07352941  9.92647059] ; [68.92647059 40.07352941],0
b4,1,0.650672,0.205054,[17 10] ; [64 46],[15.96350365 11.03649635] ; [65.03649635 44.96350365],0
d1,1,0.672526,0.178661,[14 13] ; [62 48],[14.97810219 12.02189781] ; [61.02189781 48.97810219],0
s6,1,0.684085,0.165564,[20  7] ; [75 32],[19.14179104  7.85820896] ; [75.85820896 31.14179104],0
p12,1,0.70458,0.143752,[ 1 26] ; [  6 103],[ 1.38970588 25.61029412] ; [  5.61029412 103.38970588],0
d3,1,0.827114,0.0477,[19  8] ; [79 30],[19.45588235  7.54411765] ; [78.54411765 30.45588235],0
b2,1,0.855822,0.033013,[ 6 12] ; [26 47],[ 6.32967033 11.67032967] ; [25.67032967 47.32967033],0
b3,1,0.855822,0.033013,[ 6 12] ; [26 47],[ 6.32967033 11.67032967] ; [25.67032967 47.32967033],0
a3,1,0.858044,0.031992,[21  6] ; [83 26],[20.64705882  6.35294118] ; [83.35294118 25.64705882],0
a7,1,0.887685,0.019947,[20  7] ; [80 30],[19.7080292  7.2919708] ; [80.2919708 29.7080292],0
n1,1,0.918123,0.010568,[5 7] ; [10 13],[5.14285714 6.85714286] ; [ 9.85714286 13.14285714],0
s5,1,0.922834,0.009383,[ 9 16] ; [40 68],[ 9.21052632 15.78947368] ; [39.78947368 68.21052632],0
n3,1,0.92809,0.008145,[7 4] ; [15  8],[7.11764706 3.88235294] ; [14.88235294  8.11764706],0
