Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,7.7e-05,15.63101,[ 3 10] ; [27  5],[8.66666667 4.33333333] ; [21.33333333 10.66666667],1
r4,1,0.000747,11.368007,[5 8] ; [28  4],[9.53333333 3.46666667] ; [23.46666667  8.53333333],1
v3,1,0.012818,6.194074,[ 1 12] ; [15 17],[4.62222222 8.37777778] ; [11.37777778 20.62222222],0
a6,1,0.020296,5.386273,[5 8] ; [24  8],[8.37777778 4.62222222] ; [20.62222222 11.37777778],0
r3,1,0.028303,4.809541,[9 4] ; [30  2],[11.26666667  1.73333333] ; [27.73333333  4.26666667],0
s4,1,0.03199,4.599016,[4 9] ; [ 2 29],[ 1.77272727 11.22727273] ; [ 4.22727273 26.77272727],0
d3,1,0.036134,4.390782,[5 8] ; [23  9],[8.08888889 4.91111111] ; [19.91111111 12.08888889],0
r2,1,0.036636,4.367246,[10  3] ; [30  1],[11.81818182  1.18181818] ; [28.18181818  2.81818182],0
p3,1,0.039642,4.23314,[ 1 12] ; [12 19],[3.84090909 9.15909091] ; [ 9.15909091 21.84090909],0
r1,1,0.048452,3.894231,[8 5] ; [28  4],[10.4  2.6] ; [25.6  6.4],0
d1,1,0.053134,3.739698,[4 9] ; [20 12],[6.93333333 6.06666667] ; [17.06666667 14.93333333],0
n6,1,0.059544,3.550044,[7 6] ; [26  6],[9.53333333 3.46666667] ; [23.46666667  8.53333333],0
v1,1,0.066569,3.365658,[ 1 12] ; [11 21],[3.46666667 9.53333333] ; [ 8.53333333 23.46666667],0
a5,1,0.094495,2.796077,[5 8] ; [21 11],[7.51111111 5.48888889] ; [18.48888889 13.51111111],0
s3,1,0.094495,2.796077,[5 8] ; [21 11],[7.51111111 5.48888889] ; [18.48888889 13.51111111],0
d4,1,0.094894,2.78932,[8 5] ; [27  5],[10.11111111  2.88888889] ; [24.88888889  7.11111111],0
s2,1,0.097449,2.746808,[ 3 10] ; [16 16],[5.48888889 7.51111111] ; [13.51111111 18.48888889],0
d5,1,0.146259,2.110837,[9 4] ; [28  4],[10.68888889  2.31111111] ; [26.31111111  5.68888889],0
a3,1,0.146375,2.109624,[11  2] ; [20 12],[8.95555556 4.04444444] ; [22.04444444  9.95555556],0
p6,1,0.160952,1.965261,[4 9] ; [ 4 27],[ 2.36363636 10.63636364] ; [ 5.63636364 25.36363636],0
p2,1,0.16474,1.930167,[7 6] ; [24  8],[8.95555556 4.04444444] ; [22.04444444  9.95555556],0
p11,1,0.16474,1.930167,[7 6] ; [24  8],[8.95555556 4.04444444] ; [22.04444444  9.95555556],0
b5,1,0.173049,1.856327,[4 9] ; [17 15],[6.06666667 6.93333333] ; [14.93333333 17.06666667],0
s6,1,0.173049,1.856327,[4 9] ; [17 15],[6.06666667 6.93333333] ; [14.93333333 17.06666667],0
v4,1,0.347008,0.884367,[11  2] ; [29  2],[11.81818182  1.18181818] ; [28.18181818  2.81818182],0
b4,1,0.352236,0.865385,[10  3] ; [20 12],[8.66666667 4.33333333] ; [21.33333333 10.66666667],0
a4,1,0.366511,0.815459,[5 8] ; [ 8 24],[3.75555556 9.24444444] ; [ 9.24444444 22.75555556],0
v2,1,0.425539,0.634969,[5 8] ; [16 15],[6.20454545 6.79545455] ; [14.79545455 16.20454545],0
a2,1,0.478001,0.503421,[ 1 12] ; [ 5 27],[ 1.73333333 11.26666667] ; [ 4.26666667 27.73333333],0
p8,1,0.481924,0.494505,[5 8] ; [16 16],[6.06666667 6.93333333] ; [14.93333333 17.06666667],0
d2,1,0.481924,0.494505,[5 8] ; [16 16],[6.06666667 6.93333333] ; [14.93333333 17.06666667],0
a7,1,0.497224,0.460857,[8 5] ; [23  9],[8.95555556 4.04444444] ; [22.04444444  9.95555556],0
s8,1,0.536527,0.382015,[4 9] ; [13 19],[4.91111111 8.08888889] ; [12.08888889 19.91111111],0
n1,1,0.558185,0.342857,[4 3] ; [2 3],[3.5 3.5] ; [2.5 2.5],0
s7,1,0.66534,0.187102,[6 7] ; [16 14],[6.65116279 6.34883721] ; [15.34883721 14.65116279],0
p4,1,0.682286,0.167564,[5 8] ; [14 17],[5.61363636 7.38636364] ; [13.38636364 17.61363636],0
s5,1,0.691615,0.157343,[4 9] ; [ 8 24],[3.46666667 9.53333333] ; [ 8.53333333 23.46666667],0
p7,1,0.80353,0.061892,[8 5] ; [19 10],[8.35714286 4.64285714] ; [18.64285714 10.35714286],0
n3,1,0.852876,0.034392,[5 2] ; [4 2],[4.84615385 2.15384615] ; [4.15384615 1.84615385],0
a8,1,0.891613,0.018568,[ 2 11] ; [ 4 25],[ 1.85714286 11.14285714] ; [ 4.14285714 24.85714286],0
b2,1,0.896446,0.01694,[2 6] ; [ 5 17],[1.86666667 6.13333333] ; [ 5.13333333 16.86666667],0
b3,1,0.896446,0.01694,[2 6] ; [ 5 17],[1.86666667 6.13333333] ; [ 5.13333333 16.86666667],0
b1,1,0.951917,0.003636,[8 5] ; [20 12],[8.08888889 4.91111111] ; [19.91111111 12.08888889],0
