Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,29.414766,[221 100] ; [ 96 116],[190.91369606 130.08630394] ; [126.08630394  85.91369606],1
v3,1,5e-06,20.964103,[172 149] ; [ 72 143],[146.12686567 174.87313433] ; [ 97.87313433 117.12686567],1
p9,1,8.4e-05,15.457583,[295  30] ; [171  46],[279.42804428  45.57195572] ; [186.57195572  30.42804428],1
p10,1,9.4e-05,15.26351,[292  33] ; [170  49],[276.01102941  48.98897059] ; [185.98897059  33.01102941],1
p7,1,0.000327,12.909576,[234  82] ; [128  88],[215.02255639 100.97744361] ; [146.97744361  69.02255639],1
p4,1,0.000385,12.603318,[232  95] ; [123  96],[212.60989011 114.39010989] ; [142.39010989  76.60989011],1
p6,1,0.000391,12.57398,[150 172] ; [ 69 151],[130.10701107 191.89298893] ; [ 88.89298893 131.10701107],1
s8,1,0.000482,12.185644,[181 144] ; [ 89 131],[161.00917431 163.99082569] ; [108.99082569 111.00917431],1
p2,1,0.001017,10.79686,[291  36] ; [174  47],[277.47262774  49.52737226] ; [187.52737226  33.47262774],0
p8,1,0.003111,8.74123,[201 120] ; [108 109],[184.366171 136.633829] ; [124.633829  92.366171],0
p3,1,0.005066,7.855615,[190 137] ; [101 119],[173.96160878 153.03839122] ; [117.03839122 102.96160878],0
r3,1,0.01202,6.307864,[320   9] ; [203  16],[313.99087591  15.00912409] ; [209.00912409   9.99087591],0
a3,1,0.015214,5.89147,[260  67] ; [155  65],[248.08957952  78.91042048] ; [166.91042048  53.08957952],0
u4,1,0.015507,5.857897,[ 12 318] ; [  1 221],[  7.77173913 322.22826087] ; [  5.22826087 216.77173913],0
a5,1,0.016043,5.798134,[269  61] ; [161  60],[257.53176044  72.46823956] ; [172.46823956  48.53176044],0
p11,1,0.017201,5.675775,[278  52] ; [169  53],[267.22826087  62.77173913] ; [179.77173913  42.22826087],0
r4,1,0.022828,5.18155,[321   9] ; [207  15],[315.65217391  14.34782609] ; [212.34782609   9.65217391],0
p5,1,0.023658,5.119531,[ 55 271] ; [ 22 198],[ 45.97435897 280.02564103] ; [ 31.02564103 188.97435897],0
d4,1,0.032747,4.558955,[283  45] ; [173  45],[273.93406593  54.06593407] ; [182.06593407  35.93406593],0
b5,1,0.036,4.397085,[205 125] ; [118 104],[193.09782609 136.90217391] ; [129.90217391  92.09782609],0
s5,1,0.037885,4.310158,[133 188] ; [ 70 145],[121.57276119 199.42723881] ; [ 81.42723881 133.57276119],0
d1,1,0.062217,3.477275,[219 111] ; [130  92],[208.64130435 121.35869565] ; [140.35869565  81.64130435],0
b3,1,0.071571,3.246629,[ 96 126] ; [41 82],[ 88.15652174 133.84347826] ; [48.84347826 74.15652174],0
b2,1,0.071571,3.246629,[ 96 126] ; [41 82],[ 88.15652174 133.84347826] ; [48.84347826 74.15652174],0
u1,1,0.101674,2.679084,[ 82 248] ; [ 42 180],[ 74.13043478 255.86956522] ; [ 49.86956522 172.13043478],0
v4,1,0.10755,2.589854,[323   7] ; [210  10],[319.8  10.2] ; [213.2   6.8],0
n3,1,0.113451,2.505478,[40 13] ; [35 22],[36.13636364 16.86363636] ; [38.86363636 18.13636364],0
p12,1,0.120936,2.405162,[ 37 290] ; [ 16 203],[ 31.74175824 295.25824176] ; [ 21.25824176 197.74175824],0
b1,1,0.132728,2.26031,[126 204] ; [ 99 123],[134.51086957 195.48913043] ; [ 90.48913043 131.51086957],0
d3,1,0.172055,1.86495,[242  87] ; [150  70],[234.9143898  94.0856102] ; [157.0856102  62.9143898],0
s1,1,0.177657,1.817113,[  9 313] ; [ 11 208],[ 11.9038817 310.0961183] ; [  8.0961183 210.9038817],0
r2,1,0.185485,1.75312,[321   7] ; [212   9],[318.44080146   9.55919854] ; [214.55919854   6.44080146],0
s2,1,0.192347,1.69955,[185 138] ; [113 106],[177.5904059 145.4095941] ; [120.4095941  98.5904059],0
d5,1,0.196836,1.665699,[278  50] ; [178  43],[272.43715847  55.56284153] ; [183.56284153  37.43715847],0
n6,1,0.197749,1.658924,[303  25] ; [198  24],[298.77818182  29.22181818] ; [202.22181818  19.77818182],0
n2,1,0.198305,1.654815,[44  9] ; [43 16],[41.16964286 11.83035714] ; [45.83035714 13.16964286],0
a2,1,0.287063,1.133344,[100 230] ; [ 58 164],[ 94.45652174 235.54347826] ; [ 63.54347826 158.45652174],0
s7,1,0.304805,1.053053,[179 134] ; [110  99],[173.28927203 139.71072797] ; [115.71072797  93.28927203],0
a4,1,0.305189,1.051382,[167 160] ; [103 118],[161.11313869 165.88686131] ; [108.88686131 112.11313869],0
s6,1,0.328325,0.955492,[240  86] ; [150  65],[235.00924214  90.99075786] ; [154.99075786  60.00924214],0
n1,1,0.358651,0.842612,[26 27] ; [23 34],[23.60909091 29.39090909] ; [25.39090909 31.60909091],0
u3,1,0.365513,0.818862,[46 24] ; [39 28],[43.43065693 26.56934307] ; [41.56934307 25.43065693],0
a6,1,0.365951,0.817366,[234  94] ; [149  71],[229.24087591  98.75912409] ; [153.75912409  66.24087591],0
b4,1,0.390248,0.738171,[195 135] ; [123  99],[190.10869565 139.89130435] ; [127.89130435  94.10869565],0
a8,1,0.402266,0.701543,[ 52 239] ; [ 30 170],[ 48.598778 242.401222] ; [ 33.401222 166.598778],0
n4,1,0.40384,0.696863,[300  30] ; [197  25],[297.11956522  32.88043478] ; [199.88043478  22.11956522],0
a1,1,0.454439,0.559556,[ 18 312] ; [  9 213],[ 16.14130435 313.85869565] ; [ 10.85869565 211.14130435],0
d2,1,0.460398,0.544927,[179 149] ; [113 107],[174.77372263 153.22627737] ; [117.22627737 102.77372263],0
s3,1,0.477323,0.504973,[186 135] ; [133  85],[189.97959184 131.02040816] ; [129.02040816  88.97959184],0
s4,1,0.534398,0.386021,[ 47 276] ; [ 36 182],[ 49.55452865 273.44547135] ; [ 33.44547135 184.55452865],0
a7,1,0.649541,0.20648,[245  84] ; [160  60],[242.70491803  86.29508197] ; [162.29508197  57.70491803],0
p1,1,0.658292,0.195605,[ 32 296] ; [ 19 201],[ 30.52554745 297.47445255] ; [ 20.47445255 199.52554745],0
u2,1,0.826716,0.047924,[39 31] ; [38 28],[39.63235294 30.36764706] ; [37.36764706 28.63235294],0
