Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,5e-06,20.888277,[125   9] ; [24 13],[116.76023392  17.23976608] ; [32.23976608  4.76023392],1
a5,1,5.9e-05,16.12303,[103  30] ; [16 21],[93.1 39.9] ; [25.9 11.1],1
v4,1,0.000174,14.094761,[132   2] ; [31  6],[127.73099415   6.26900585] ; [35.26900585  1.73099415],1
p4,1,0.010841,6.491179,[79 50] ; [13 22],[72.36585366 56.63414634] ; [19.63414634 15.36585366],0
u1,1,0.011126,6.445071,[ 27 107] ; [ 1 36],[ 21.94152047 112.05847953] ; [ 6.05847953 30.94152047],0
p11,1,0.01992,5.418915,[105  29] ; [22 15],[99.52046784 34.47953216] ; [27.47953216  9.52046784],0
r2,1,0.021252,5.306035,[129   3] ; [33  4],[126.53254438   5.46745562] ; [35.46745562  1.53254438],0
p10,1,0.02434,5.070268,[106  24] ; [23 13],[101.02409639  28.97590361] ; [27.97590361  8.02409639],0
r3,1,0.026588,4.917338,[126   7] ; [31  6],[122.82941176  10.17058824] ; [34.17058824  2.82941176],0
p2,1,0.030909,4.65801,[106  25] ; [23 13],[101.19161677  29.80838323] ; [27.80838323  8.19161677],0
u3,1,0.040958,4.177741,[24 17] ; [3 9],[20.88679245 20.11320755] ; [6.11320755 5.88679245],0
p7,1,0.065992,3.379993,[83 44] ; [18 19],[78.21341463 48.78658537] ; [22.78658537 14.21341463],0
a6,1,0.073218,3.209352,[96 37] ; [21 16],[91.53529412 41.46470588] ; [25.46470588 11.53529412],0
p3,1,0.078344,3.098931,[69 62] ; [13 23],[64.32335329 66.67664671] ; [17.67664671 18.32335329],0
s2,1,0.088079,2.909145,[53 81] ; [ 9 28],[48.58479532 85.41520468] ; [13.41520468 23.58479532],0
a8,1,0.091969,2.83956,[ 15 102] ; [ 1 34],[ 12.31578947 104.68421053] ; [ 3.68421053 31.31578947],0
s5,1,0.097475,2.746373,[36 96] ; [ 5 31],[32.21428571 99.78571429] ; [ 8.78571429 27.21428571],0
s3,1,0.103192,2.655512,[59 70] ; [11 25],[54.72727273 74.27272727] ; [15.27272727 20.72727273],0
b2,1,0.116576,2.462733,[22 55] ; [ 9 10],[24.86458333 52.13541667] ; [ 6.13541667 12.86458333],0
b3,1,0.116576,2.462733,[22 55] ; [ 9 10],[24.86458333 52.13541667] ; [ 6.13541667 12.86458333],0
n5,1,0.119501,2.423844,[103  30] ; [24 13],[99.35882353 33.64117647] ; [27.64117647  9.35882353],0
a7,1,0.155872,2.013828,[104  28] ; [25 12],[100.75739645  31.24260355] ; [28.24260355  8.75739645],0
d1,1,0.169617,1.886327,[75 59] ; [16 21],[71.30994152 62.69005848] ; [19.69005848 17.30994152],0
a2,1,0.211665,1.560003,[35 99] ; [ 6 31],[ 32.12865497 101.87134503] ; [ 8.87134503 28.12865497],0
s7,1,0.227037,1.45933,[39 83] ; [ 8 29],[36.06289308 85.93710692] ; [10.93710692 26.06289308],0
v2,1,0.294279,1.099943,[98 32] ; [24 12],[95.54216867 34.45783133] ; [26.45783133  9.54216867],0
p12,1,0.300217,1.073228,[ 15 116] ; [ 2 34],[ 13.33532934 117.66467066] ; [ 3.66467066 32.33532934],0
