Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,3e-06,21.699517,[27 31] ; [224  68],[41.59428571 16.40571429] ; [209.40571429  82.59428571],1
n5,1,9.1e-05,15.309503,[29 28] ; [222  69],[41.11206897 15.88793103] ; [209.88793103  81.11206897],1
p11,1,0.001354,10.26724,[41 17] ; [255  37],[49.05142857  8.94857143] ; [246.94857143  45.05142857],0
r4,1,0.001843,9.69926,[44 14] ; [264  28],[51.04  6.96] ; [256.96  35.04],0
d5,1,0.010107,6.61586,[39 19] ; [239  52],[46.20057307 11.79942693] ; [231.79942693  59.20057307],0
b1,1,0.013991,6.039275,[28 30] ; [ 92 200],[19.88571429 38.11428571] ; [100.11428571 191.88571429],0
p2,1,0.017952,5.600822,[42 15] ; [250  40],[47.96541787  9.03458213] ; [244.03458213  45.96541787],0
s1,1,0.023641,5.120786,[ 3 53] ; [  3 286],[ 0.97391304 55.02608696] ; [  5.02608696 283.97391304],0
r3,1,0.034501,4.469725,[51  7] ; [276  14],[54.5  3.5] ; [272.5  17.5],0
r2,1,0.035768,4.408143,[50  8] ; [269  17],[53.78488372  4.21511628] ; [265.21511628  20.78488372],0
d1,1,0.067637,3.339454,[26 32] ; [169 123],[32.31428571 25.68571429] ; [162.68571429 129.31428571],0
v2,1,0.074392,3.183357,[23 31] ; [153 121],[28.97560976 25.02439024] ; [147.02439024 126.97560976],0
a5,1,0.0891,2.890564,[35 23] ; [209  83],[40.43428571 17.56571429] ; [203.56571429  88.43428571],0
n2,1,0.096544,2.761718,[12  1] ; [42 18],[9.61643836 3.38356164] ; [44.38356164 15.61643836],0
v4,1,0.099341,2.716098,[52  6] ; [276  14],[54.66666667  3.33333333] ; [273.33333333  16.66666667],0
s5,1,0.100896,2.691328,[ 9 47] ; [ 74 206],[13.83333333 42.16666667] ; [ 69.16666667 210.83333333],0
u2,1,0.119823,2.419634,[16  7] ; [57 53],[12.62406015 10.37593985] ; [60.37593985 49.62406015],0
s3,1,0.121171,2.402118,[28 29] ; [109 177],[22.76676385 34.23323615] ; [114.23323615 171.76676385],0
p4,1,0.123818,2.368344,[25 32] ; [160 131],[30.30172414 26.69827586] ; [154.69827586 136.30172414],0
p8,1,0.149372,2.078652,[25 33] ; [154 134],[30.00578035 27.99421965] ; [148.99421965 139.00578035],0
d2,1,0.157641,1.996712,[19 39] ; [124 166],[23.83333333 34.16666667] ; [119.16666667 170.83333333],0
s4,1,0.161053,1.964315,[ 5 53] ; [ 45 241],[ 8.43023256 49.56976744] ; [ 41.56976744 244.43023256],0
p3,1,0.166223,1.916683,[20 38] ; [129 162],[24.76217765 33.23782235] ; [124.23782235 166.76217765],0
v1,1,0.179292,1.803487,[24 31] ; [152 132],[28.55457227 26.44542773] ; [147.44542773 136.55457227],0
b5,1,0.196696,1.66674,[40 18] ; [175 117],[35.62857143 22.37142857] ; [179.37142857 112.62857143],0
a6,1,0.214914,1.538013,[37 21] ; [210  82],[40.93142857 17.06857143] ; [206.06857143  85.93142857],0
a7,1,0.244977,1.351724,[40 18] ; [221  69],[43.5 14.5] ; [217.5  72.5],0
p6,1,0.257153,1.284017,[12 43] ; [ 85 205],[15.46376812 39.53623188] ; [ 81.53623188 208.46376812],0
p7,1,0.281451,1.16007,[28 26] ; [172 116],[31.57894737 22.42105263] ; [168.42105263 119.57894737],0
r1,1,0.30616,1.047171,[40 17] ; [222  68],[43.03746398 13.96253602] ; [218.96253602  71.03746398],0
p12,1,0.327121,0.960262,[ 2 56] ; [ 20 271],[ 3.65616046 54.34383954] ; [ 18.34383954 272.65616046],0
b3,1,0.335925,0.92592,[ 8 22] ; [53 95],[10.28089888 19.71910112] ; [50.71910112 97.28089888],0
b2,1,0.335925,0.92592,[ 8 22] ; [53 95],[10.28089888 19.71910112] ; [50.71910112 97.28089888],0
d4,1,0.338107,0.917594,[45 13] ; [242  50],[47.56 10.44] ; [239.44  52.56],0
u3,1,0.348202,0.88,[14  8] ; [58 52],[12. 10.] ; [60. 50.],0
p9,1,0.364897,0.82097,[53  5] ; [274  16],[54.5  3.5] ; [272.5  17.5],0
u1,1,0.385905,0.751805,[ 5 53] ; [ 37 255],[ 6.96 51.04] ; [ 35.04 256.96],0
a2,1,0.391806,0.73333,[ 8 50] ; [ 54 238],[10.27428571 47.72571429] ; [ 51.72571429 240.27428571],0
s6,1,0.393063,0.729445,[28 30] ; [154 129],[30.95601173 27.04398827] ; [151.04398827 131.95601173],0
s2,1,0.408945,0.681865,[21 36] ; [ 90 198],[18.33913043 38.66086957] ; [ 92.66086957 195.33913043],0
d3,1,0.410386,0.677681,[36 21] ; [200  91],[38.65517241 18.34482759] ; [197.34482759  93.65517241],0
v3,1,0.443789,0.586465,[15 39] ; [ 93 188],[17.40895522 36.59104478] ; [ 90.59104478 190.40895522],0
b4,1,0.46761,0.527617,[33 25] ; [181 111],[35.46285714 22.53714286] ; [178.53714286 113.46285714],0
a4,1,0.518556,0.416765,[21 37] ; [119 173],[23.2 34.8] ; [116.8 175.2],0
a1,1,0.520298,0.413302,[ 3 55] ; [ 10 282],[ 2.15428571 55.84571429] ; [ 10.84571429 281.15428571],0
s8,1,0.581944,0.303102,[14 44] ; [ 61 231],[12.42857143 45.57142857] ; [ 62.57142857 229.42857143],0
p5,1,0.669439,0.182259,[ 4 54] ; [ 25 266],[ 4.81948424 53.18051576] ; [ 24.18051576 266.81948424],0
p1,1,0.782506,0.076206,[ 5 53] ; [ 22 269],[ 4.48710602 53.51289398] ; [ 22.51289398 268.48710602],0
n3,1,0.789144,0.071515,[10  3] ; [44 16],[9.61643836 3.38356164] ; [44.38356164 15.61643836],0
a3,1,0.814282,0.055181,[35 23] ; [181 111],[35.79428571 22.20571429] ; [180.20571429 111.79428571],0
n1,1,0.956299,0.003003,[4 9] ; [18 42],[3.91780822 9.08219178] ; [18.08219178 41.91780822],0
a8,1,0.970716,0.001348,[ 6 49] ; [ 29 241],[ 5.92307692 49.07692308] ; [ 29.07692308 240.92307692],0
