Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2e-06,22.334004,[50 33] ; [ 3 27],[38.92920354 44.07079646] ; [14.07079646 15.92920354],1
r3,1,0.000113,14.905415,[70 13] ; [14 15],[62.25 20.75] ; [21.75  7.25],1
p9,1,0.000464,12.254894,[64 15] ; [13 15],[56.85046729 22.14953271] ; [20.14953271  7.85046729],1
p2,1,0.000921,10.979866,[54 29] ; [ 9 21],[46.27433628 36.72566372] ; [16.72566372 13.27433628],1
r2,1,0.00101,10.809374,[67 15] ; [14 14],[60.38181818 21.61818182] ; [20.61818182  7.38181818],0
u3,1,0.001243,10.425548,[18 14] ; [ 1 14],[12.93617021 19.06382979] ; [6.06382979 8.93617021],0
n6,1,0.002102,9.458424,[66 17] ; [15 15],[59.49557522 23.50442478] ; [21.50442478  8.49557522],0
p4,1,0.014763,5.944548,[31 52] ; [ 4 26],[25.7079646 57.2920354] ; [ 9.2920354 20.7079646],0
u2,1,0.015931,5.810473,[16 16] ; [ 2 13],[12.25531915 19.74468085] ; [5.74468085 9.25531915],0
p10,1,0.021039,5.323542,[54 28] ; [12 17],[48.75675676 33.24324324] ; [17.24324324 11.75675676],0
s2,1,0.021763,5.264655,[33 50] ; [ 5 25],[27.91150442 55.08849558] ; [10.08849558 19.91150442],0
p11,1,0.027882,4.835372,[55 28] ; [13 17],[49.94690265 33.05309735] ; [18.05309735 11.94690265],0
b5,1,0.032533,4.570172,[57 26] ; [14 16],[52.15044248 30.84955752] ; [18.84955752 11.15044248],0
s8,1,0.038798,4.269672,[20 63] ; [ 2 28],[16.15929204 66.84070796] ; [ 5.84070796 24.15929204],0
n2,1,0.040424,4.2,[24  8] ; [4 6],[21.33333333 10.66666667] ; [6.66666667 3.33333333],0
p3,1,0.045124,4.013997,[23 59] ; [ 3 27],[19.03571429 62.96428571] ; [ 6.96428571 23.03571429],0
s6,1,0.047464,3.928859,[36 46] ; [ 7 23],[31.48214286 50.51785714] ; [11.51785714 18.48214286],0
p8,1,0.057463,3.609131,[19 64] ; [ 2 27],[15.5625 67.4375] ; [ 5.4375 23.5625],0
v1,1,0.071805,3.241279,[31 48] ; [ 6 23],[27.06481481 51.93518519] ; [ 9.93518519 19.06481481],0
a4,1,0.084243,2.981083,[35 48] ; [ 7 22],[31.125 51.875] ; [10.875 18.125],0
p1,1,0.088828,2.895481,[ 7 76] ; [ 6 24],[ 9.54867257 73.45132743] ; [ 3.45132743 26.54867257],0
p6,1,0.089107,2.890424,[17 65] ; [ 2 27],[14.03603604 67.96396396] ; [ 4.96396396 24.03603604],0
a5,1,0.093485,2.813312,[48 35] ; [12 18],[44.07079646 38.92920354] ; [15.92920354 14.07079646],0
s5,1,0.104838,2.63036,[19 58] ; [ 3 26],[15.98113208 61.01886792] ; [ 6.01886792 22.98113208],0
b4,1,0.107757,2.586807,[47 36] ; [22  8],[50.68141593 32.31858407] ; [18.31858407 11.68141593],0
p12,1,0.113844,2.500027,[ 1 81] ; [ 2 28],[ 2.19642857 79.80357143] ; [ 0.80357143 29.19642857],0
s3,1,0.130702,2.284153,[33 50] ; [ 7 22],[29.64285714 53.35714286] ; [10.35714286 18.64285714],0
d5,1,0.149245,2.079949,[59 24] ; [17 13],[55.82300885 27.17699115] ; [20.17699115  9.82300885],0
a7,1,0.198518,1.653242,[50 33] ; [14 16],[47.00884956 35.99115044] ; [16.99115044 13.00884956],0
a1,1,0.205055,1.606002,[ 5 78] ; [ 4 26],[ 6.61061947 76.38938053] ; [ 2.38938053 27.61061947],0
n3,1,0.209482,1.575,[20 12] ; [4 6],[18.28571429 13.71428571] ; [5.71428571 4.28571429],0
s7,1,0.212105,1.556999,[24 56] ; [ 5 23],[21.48148148 58.51851852] ; [ 7.51851852 20.48148148],0
d4,1,0.212173,1.556536,[60 23] ; [18 12],[57.2920354 25.7079646] ; [20.7079646  9.2920354],0
a3,1,0.275672,1.188303,[51 32] ; [15 15],[48.47787611 34.52212389] ; [17.52212389 12.47787611],0
n4,1,0.343148,0.898636,[50 33] ; [21  9],[52.15044248 30.84955752] ; [18.84955752 11.15044248],0
