Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.009865,6.659119,[5 4] ; [ 1 13],[2.34782609 6.65217391] ; [ 3.65217391 10.34782609],0
d1,1,0.014979,5.918881,[7 2] ; [ 4 11],[4.125 4.875] ; [6.875 8.125],0
d5,1,0.018678,5.531429,[8 1] ; [6 9],[5.25 3.75] ; [8.75 6.25],0
p6,1,0.054319,3.702857,[6 3] ; [ 4 11],[3.75 5.25] ; [6.25 8.75],0
v3,1,0.073638,3.2,[5 4] ; [ 3 12],[3. 6.] ; [ 5. 10.],0
p7,1,0.112123,2.524038,[7 1] ; [7 6],[5.33333333 2.66666667] ; [8.66666667 4.33333333],0
p3,1,0.11259,2.517483,[6 3] ; [ 5 10],[4.125 4.875] ; [6.875 8.125],0
n4,1,0.134481,2.24,[7 2] ; [7 8],[5.25 3.75] ; [8.75 6.25],0
d2,1,0.156992,2.002963,[5 4] ; [ 4 11],[3.375 5.625] ; [5.625 9.375],0
b1,1,0.205903,1.6,[6 3] ; [6 9],[4.5 4.5] ; [7.5 7.5],0
v1,1,0.205903,1.6,[6 3] ; [6 9],[4.5 4.5] ; [7.5 7.5],0
p2,1,0.231101,1.434074,[7 2] ; [8 7],[5.625 3.375] ; [9.375 5.625],0
a5,1,0.231101,1.434074,[7 2] ; [8 7],[5.625 3.375] ; [9.375 5.625],0
a2,1,0.264616,1.244444,[2 7] ; [ 1 14],[1.125 7.875] ; [ 1.875 13.125],0
r4,1,0.285049,1.142857,[5 4] ; [ 5 10],[3.75 5.25] ; [6.25 8.75],0
s2,1,0.285049,1.142857,[5 4] ; [ 5 10],[3.75 5.25] ; [6.25 8.75],0
n1,1,0.307741,1.040344,[3 1] ; [4 5],[2.15384615 1.84615385] ; [4.84615385 4.15384615],0
n6,1,0.32179,0.981658,[8 1] ; [10  4],[7.04347826 1.95652174] ; [10.95652174  3.04347826],0
r1,1,0.3411,0.906294,[6 3] ; [7 8],[4.875 4.125] ; [8.125 6.875],0
b3,1,0.345099,0.891396,[3 5] ; [2 9],[2.10526316 5.89473684] ; [2.89473684 8.10526316],0
b2,1,0.345099,0.891396,[3 5] ; [2 9],[2.10526316 5.89473684] ; [2.89473684 8.10526316],0
d4,1,0.371093,0.8,[7 2] ; [9 6],[6. 3.] ; [10.  5.],0
a7,1,0.371093,0.8,[5 4] ; [11  4],[6. 3.] ; [10.  5.],0
a6,1,0.459033,0.548252,[5 4] ; [6 9],[4.125 4.875] ; [6.875 8.125],0
p5,1,0.465209,0.533333,[3 6] ; [ 3 12],[2.25 6.75] ; [ 3.75 11.25],0
s5,1,0.465209,0.533333,[3 6] ; [ 3 12],[2.25 6.75] ; [ 3.75 11.25],0
r2,1,0.482016,0.494298,[6 2] ; [13  2],[6.60869565 1.39130435] ; [12.39130435  2.60869565],0
a3,1,0.492519,0.471018,[7 2] ; [9 5],[6.26086957 2.73913043] ; [9.73913043 4.26086957],0
d3,1,0.562069,0.336134,[7 2] ; [10  5],[6.375 2.625] ; [10.625  4.375],0
p1,1,0.571608,0.32,[1 8] ; [ 3 12],[1.5 7.5] ; [ 2.5 12.5],0
p10,1,0.571608,0.32,[8 1] ; [12  3],[7.5 1.5] ; [12.5  2.5],0
b5,1,0.586214,0.296296,[5 4] ; [10  5],[5.625 3.375] ; [9.375 5.625],0
u3,1,0.67329,0.177778,[1 1] ; [4 2],[1.25 0.75] ; [3.75 2.25],0
u2,1,0.67329,0.177778,[1 1] ; [4 2],[1.25 0.75] ; [3.75 2.25],0
s8,1,0.727943,0.121008,[3 6] ; [ 4 11],[2.625 6.375] ; [ 4.375 10.625],0
b4,1,0.727943,0.121008,[6 3] ; [11  4],[6.375 2.625] ; [10.625  4.375],0
p11,1,0.743971,0.106667,[6 3] ; [9 6],[5.625 3.375] ; [9.375 5.625],0
p9,1,0.807671,0.059259,[7 2] ; [11  4],[6.75 2.25] ; [11.25  3.75],0
s6,1,0.830696,0.045714,[4 5] ; [6 9],[3.75 5.25] ; [6.25 8.75],0
n3,1,0.852876,0.034392,[2 2] ; [4 5],[1.84615385 2.15384615] ; [4.15384615 4.84615385],0
s4,1,0.896743,0.016842,[2 7] ; [ 3 12],[1.875 7.125] ; [ 3.125 11.875],0
s7,1,0.940259,0.005617,[4 5] ; [6 8],[3.91304348 5.08695652] ; [6.08695652 7.91304348],0
s3,1,1.0,0.0,[3 6] ; [4 8],[3. 6.] ; [4. 8.],0
