Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,0.0,145.159489,[687 117] ; [10 43],[653.8949825 150.1050175] ; [43.1050175  9.8949825],1
r2,1,0.0,133.0616,[787  18] ; [32 18],[771.10526316  33.89473684] ; [47.89473684  2.10526316],1
a5,1,4e-06,21.339206,[601 206] ; [24 29],[586.48255814 220.51744186] ; [38.51744186 14.48255814],1
p10,1,0.00013,14.640763,[652 143] ; [30 20],[641.64497041 153.35502959] ; [40.35502959  9.64497041],1
n5,1,0.000977,10.869916,[599 203] ; [28 24],[588.82201405 213.17798595] ; [38.17798595 13.82201405],1
u1,1,0.001885,9.658011,[151 657] ; [ 1 52],[142.64343786 665.35656214] ; [ 9.35656214 43.64343786],0
n4,1,0.002075,9.482189,[621 184] ; [31 22],[611.72494172 193.27505828] ; [40.27505828 12.72494172],0
a4,1,0.00264,9.040927,[368 437] ; [13 40],[357.46503497 447.53496503] ; [23.53496503 29.46503497],0
p9,1,0.002802,8.932395,[676 117] ; [37 16],[668.3321513 124.6678487] ; [44.6678487  8.3321513],0
n6,1,0.002945,8.841005,[684 119] ; [37 16],[676.35864486 126.64135514] ; [44.64135514  8.35864486],0
a2,1,0.004321,8.14366,[200 608] ; [ 4 49],[191.44250871 616.55749129] ; [12.55749129 40.44250871],0
p11,1,0.00486,7.930759,[649 159] ; [34 19],[640.95702671 167.04297329] ; [42.04297329 10.95702671],0
a7,1,0.006508,7.403891,[594 211] ; [30 23],[585.45454545 219.54545455] ; [38.54545455 14.45454545],0
s5,1,0.006728,7.344242,[268 505] ; [ 8 42],[259.23207776 513.76792224] ; [16.76792224 33.23207776],0
s8,1,0.007072,7.254487,[364 438] ; [14 39],[354.56842105 447.43157895] ; [23.43157895 29.56842105],0
p7,1,0.012067,6.301013,[512 272] ; [25 27],[503.59808612 280.40191388] ; [33.40191388 18.59808612],0
v3,1,0.016981,5.698332,[318 455] ; [13 40],[309.76150121 463.23849879] ; [21.23849879 31.76150121],0
s6,1,0.018528,5.545518,[541 249] ; [28 25],[533.22657177 256.77342823] ; [35.77342823 17.22657177],0
u3,1,0.019616,5.445755,[143  88] ; [ 8 14],[137.86956522  93.13043478] ; [13.13043478  8.86956522],0
p4,1,0.020358,5.380889,[483 315] ; [23 29],[475.04470588 322.95529412] ; [30.95529412 21.04470588],0
a3,1,0.035111,4.439779,[575 230] ; [30 22],[568.29054842 236.70945158] ; [36.70945158 15.29054842],0
a8,1,0.036149,4.390081,[105 627] ; [ 2 49],[100.03065134 631.96934866] ; [ 6.96934866 44.03065134],0
d5,1,0.037105,4.345574,[655 149] ; [37 16],[649.2042007 154.7957993] ; [42.7957993 10.2042007],0
d2,1,0.038362,4.288907,[391 413] ; [18 35],[383.70595099 420.29404901] ; [25.29404901 27.70595099],0
p8,1,0.043448,4.077897,[419 373] ; [20 32],[411.95260664 380.04739336] ; [27.04739336 24.95260664],0
v1,1,0.054058,3.71092,[433 355] ; [20 29],[426.48028674 361.51971326] ; [26.51971326 22.48028674],0
a6,1,0.054359,3.70165,[557 247] ; [30 23],[550.69778296 253.30221704] ; [36.30221704 16.69778296],0
p3,1,0.064103,3.427905,[406 396] ; [19 32],[399.58968347 402.41031653] ; [25.41031653 25.58968347],0
b1,1,0.070187,3.278646,[296 512] ; [26 27],[302.17886179 505.82113821] ; [19.82113821 33.17886179],0
d1,1,0.086255,2.942908,[478 330] ; [25 28],[472.03716609 335.96283391] ; [30.96283391 22.03716609],0
p12,1,0.10978,2.557381,[ 65 733] ; [ 1 50],[ 62.03533569 735.96466431] ; [ 3.96466431 47.03533569],0
p6,1,0.115516,2.477084,[293 498] ; [13 37],[287.80737218 503.19262782] ; [18.19262782 31.80737218],0
b3,1,0.123629,2.370729,[185 301] ; [ 6 20],[181.30078125 304.69921875] ; [ 9.69921875 16.30078125],0
b2,1,0.123629,2.370729,[185 301] ; [ 6 20],[181.30078125 304.69921875] ; [ 9.69921875 16.30078125],0
