Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b4,1,0.007595,7.126617,[13  6] ; [ 3 11],[9.21212121 9.78787879] ; [6.78787879 7.21212121],0
s2,1,0.009032,6.816492,[ 1 18] ; [6 8],[ 4.03030303 14.96969697] ; [ 2.96969697 11.03030303],0
p7,1,0.023587,5.124779,[ 6 13] ; [10  4],[9.21212121 9.78787879] ; [6.78787879 7.21212121],0
p8,1,0.046317,3.970037,[ 5 14] ; [8 5],[ 7.71875 11.28125] ; [5.28125 7.71875],0
v3,1,0.064946,3.406337,[ 1 18] ; [ 4 10],[ 2.87878788 16.12121212] ; [ 2.12121212 11.87878788],0
d2,1,0.150451,2.067669,[ 7 12] ; [ 2 12],[ 5.18181818 13.81818182] ; [ 3.81818182 10.18181818],0
s7,1,0.15789,1.994317,[ 2 15] ; [4 8],[ 3.51724138 13.48275862] ; [2.48275862 9.51724138],0
s5,1,0.159657,1.977476,[ 1 18] ; [ 3 11],[ 2.3030303 16.6969697] ; [ 1.6969697 12.3030303],0
p2,1,0.166926,1.91034,[ 9 10] ; [10  4],[10.93939394  8.06060606] ; [8.06060606 5.93939394],0
s6,1,0.177968,1.814515,[ 4 15] ; [6 8],[ 5.75757576 13.24242424] ; [4.24242424 9.75757576],0
a4,1,0.177968,1.814515,[ 4 15] ; [6 8],[ 5.75757576 13.24242424] ; [4.24242424 9.75757576],0
u2,1,0.182422,1.777778,[5 5] ; [5 1],[6.25 3.75] ; [3.75 2.25],0
s3,1,0.186832,1.742425,[ 3 16] ; [5 9],[ 4.60606061 14.39393939] ; [ 3.39393939 10.60606061],0
n2,1,0.201352,1.63254,[4 6] ; [5 2],[5.29411765 4.70588235] ; [3.70588235 3.29411765],0
a5,1,0.207656,1.587696,[ 8 11] ; [9 5],[9.78787879 9.21212121] ; [7.21212121 6.78787879],0
p6,1,0.209351,1.575906,[ 2 16] ; [ 4 10],[ 3.375 14.625] ; [ 2.625 11.375],0
u3,1,0.210075,1.570909,[2 8] ; [3 3],[3.125 6.875] ; [1.875 4.125],0
d4,1,0.213024,1.550752,[11  8] ; [11  3],[12.66666667  6.33333333] ; [9.33333333 4.66666667],0
p9,1,0.264521,1.244942,[ 8 10] ; [9 5],[9.5625 8.4375] ; [7.4375 6.5625],0
v1,1,0.319137,0.992481,[ 5 14] ; [6 8],[ 6.33333333 12.66666667] ; [4.66666667 9.33333333],0
n1,1,0.322888,0.977211,[1 9] ; [2 5],[1.76470588 8.23529412] ; [1.23529412 5.76470588],0
p5,1,0.334679,0.930709,[ 1 18] ; [ 2 11],[ 1.78125 17.21875] ; [ 1.21875 11.78125],0
b1,1,0.340987,0.906718,[12  7] ; [11  3],[13.24242424  5.75757576] ; [9.75757576 4.24242424],0
s8,1,0.387985,0.745247,[ 2 17] ; [ 3 11],[ 2.87878788 16.12121212] ; [ 2.12121212 11.87878788],0
b5,1,0.449731,0.57133,[12  7] ; [7 7],[10.93939394  8.06060606] ; [8.06060606 5.93939394],0
n3,1,0.485845,0.485714,[6 4] ; [3 4],[5.29411765 4.70588235] ; [3.70588235 3.29411765],0
r3,1,0.505643,0.443072,[13  6] ; [8 6],[12.09090909  6.90909091] ; [8.90909091 5.09090909],0
d1,1,0.517585,0.418703,[ 6 13] ; [ 3 11],[ 5.18181818 13.81818182] ; [ 3.81818182 10.18181818],0
p10,1,0.578709,0.308326,[ 9 10] ; [8 6],[9.78787879 9.21212121] ; [7.21212121 6.78787879],0
a3,1,0.578709,0.308326,[ 9 10] ; [8 6],[9.78787879 9.21212121] ; [7.21212121 6.78787879],0
v4,1,0.618402,0.24812,[12  7] ; [10  4],[12.66666667  6.33333333] ; [9.33333333 4.66666667],0
b2,1,0.622252,0.242716,[3 8] ; [1 5],[2.58823529 8.41176471] ; [1.41176471 4.58823529],0
b3,1,0.622252,0.242716,[3 8] ; [1 5],[2.58823529 8.41176471] ; [1.41176471 4.58823529],0
