Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,105.793645,[337  73] ; [58 96],[287.14539007 122.85460993] ; [107.85460993  46.14539007],1
d3,1,0.0,80.834766,[354  57] ; [77 77],[313.52389381  97.47610619] ; [117.47610619  36.52389381],1
a2,1,0.0,38.789338,[150 261] ; [ 15 139],[120.02654867 290.97345133] ; [ 44.97345133 109.02654867],1
u1,1,0.0,31.55649,[118 293] ; [ 10 144],[ 93.11150442 317.88849558] ; [ 34.88849558 119.11150442],1
b5,1,0.0,25.682718,[275 136] ; [67 87],[248.78230088 162.21769912] ; [93.21769912 60.78230088],1
r4,1,3.4e-05,17.192052,[384  27] ; [126  28],[370.99115044  40.00884956] ; [139.00884956  14.99115044],1
v4,1,0.00141,10.192562,[396  13] ; [139  15],[388.6589698  20.3410302] ; [146.3410302   7.6589698],0
r2,1,0.005057,7.858958,[393  14] ; [137  14],[386.57706093  20.42293907] ; [143.42293907   7.57706093],0
r1,1,0.006688,7.354936,[348  61] ; [116  38],[337.07992895  71.92007105] ; [126.92007105  27.07992895],0
r3,1,0.009864,6.659244,[392  15] ; [140  14],[385.96078431  21.03921569] ; [146.03921569   7.96078431],0
d1,1,0.014278,6.003462,[307 104] ; [99 55],[295.3380531 115.6619469] ; [110.6619469  43.3380531],0
b4,1,0.016503,5.748509,[254 157] ; [78 76],[241.5079646 169.4920354] ; [90.4920354 63.5079646],0
b1,1,0.02243,5.212084,[154 257] ; [74 80],[165.85486726 245.14513274] ; [62.14513274 91.85486726],0
a8,1,0.057378,3.611602,[ 66 296] ; [ 17 132],[ 58.79843444 303.20156556] ; [ 24.20156556 124.79843444],0
u3,1,0.067026,3.354392,[61 37] ; [11 15],[56.90322581 41.09677419] ; [15.09677419 10.90322581],0
p4,1,0.067489,3.343062,[276 133] ; [90 62],[266.8342246 142.1657754] ; [99.1657754 52.8342246],0
b3,1,0.08483,2.969852,[ 99 154] ; [51 53],[106.30252101 146.69747899] ; [43.69747899 60.30252101],0
b2,1,0.08483,2.969852,[ 99 154] ; [51 53],[106.30252101 146.69747899] ; [43.69747899 60.30252101],0
a3,1,0.090735,2.861292,[313  96] ; [128  26],[320.37122558  88.62877442] ; [120.62877442  33.37122558],0
v2,1,0.099091,2.720109,[242 154] ; [80 70],[233.53846154 162.46153846] ; [88.46153846 61.53846154],0
u2,1,0.106532,2.604926,[60 37] ; [11 14],[56.45081967 40.54918033] ; [14.54918033 10.45081967],0
s5,1,0.130496,2.286589,[136 257] ; [62 87],[143.56826568 249.43173432] ; [54.43173432 94.56826568],0
s6,1,0.138006,2.200058,[292 111] ; [99 51],[284.94213382 118.05786618] ; [106.05786618  43.94213382],0
p12,1,0.196478,1.668366,[ 42 368] ; [ 10 140],[ 38.07142857 371.92857143] ; [ 13.92857143 136.07142857],0
s8,1,0.19913,1.648743,[192 215] ; [82 72],[198.78431373 208.21568627] ; [75.21568627 78.78431373],0
s7,1,0.214177,1.542963,[205 186] ; [87 62],[211.42962963 179.57037037] ; [80.57037037 68.42962963],0
p8,1,0.223061,1.484568,[234 171] ; [78 72],[227.67567568 177.32432432] ; [84.32432432 65.67567568],0
n2,1,0.274626,1.193494,[64 17] ; [28 12],[61.58677686 19.41322314] ; [30.41322314  9.58677686],0
a4,1,0.318226,0.996225,[215 195] ; [73 80],[209.73357016 200.26642984] ; [78.26642984 74.73357016],0
d5,1,0.330963,0.945127,[367  44] ; [133  21],[363.71681416  47.28318584] ; [136.28318584  17.71681416],0
n1,1,0.369044,0.806882,[36 42] ; [15 25],[33.71186441 44.28813559] ; [17.28813559 22.71186441],0
s2,1,0.427497,0.629615,[229 175] ; [81 72],[224.84739677 179.15260323] ; [85.15260323 67.84739677],0
a1,1,0.491203,0.47389,[ 23 388] ; [ 11 143],[ 24.73274336 386.26725664] ; [  9.26725664 144.73274336],0
s3,1,0.511826,0.430332,[240 163] ; [87 67],[236.59066427 166.40933573] ; [90.40933573 63.59066427],0
v3,1,0.540398,0.374803,[168 224] ; [70 83],[171.1853211 220.8146789] ; [66.8146789 86.1853211],0
n3,1,0.586156,0.296388,[54 26] ; [25 15],[52.66666667 27.33333333] ; [26.33333333 13.66666667],0
p6,1,0.589637,0.290912,[166 241] ; [57 92],[163.23920863 243.76079137] ; [59.76079137 89.23920863],0
p9,1,0.597344,0.27902,[353  52] ; [135  17],[354.82944345  50.17055655] ; [133.17055655  18.82944345],0
p5,1,0.670777,0.180695,[ 56 352] ; [ 23 129],[ 57.55714286 350.44285714] ; [ 21.44285714 130.55714286],0
p3,1,0.677827,0.172582,[219 192] ; [78 74],[216.81527531 194.18472469] ; [80.18472469 71.81527531],0
p1,1,0.723115,0.125528,[ 36 374] ; [ 12 141],[ 34.95559503 375.04440497] ; [ 13.04440497 139.95559503],0
p2,1,0.734903,0.114657,[350  61] ; [126  24],[348.72727273  62.27272727] ; [127.27272727  22.72727273],0
p10,1,0.78407,0.075086,[350  58] ; [129  23],[348.98571429  59.01428571] ; [130.01428571  21.98571429],0
n6,1,0.838548,0.041514,[372  37] ; [140  13],[372.61209964  36.38790036] ; [139.38790036  13.61209964],0
d2,1,0.849129,0.036188,[231 179] ; [87 65],[231.99288256 178.00711744] ; [86.00711744 65.99288256],0
p7,1,0.864155,0.029271,[262 137] ; [99 50],[262.84489051 136.15510949] ; [98.15510949 50.84489051],0
v1,1,0.873237,0.025456,[237 163] ; [90 60],[237.81818182 162.18181818] ; [89.18181818 60.81818182],0
n4,1,0.909479,0.012927,[367  44] ; [137  17],[366.62654867  44.37345133] ; [137.37345133  16.62654867],0
a5,1,0.928747,0.007996,[327  84] ; [122  32],[326.61769912  84.38230088] ; [122.38230088  31.61769912],0
p11,1,0.932601,0.007153,[335  76] ; [126  28],[335.34690265  75.65309735] ; [125.65309735  28.34690265],0
s1,1,0.940339,0.005602,[ 11 392] ; [  4 149],[ 10.87230216 392.12769784] ; [  4.12769784 148.87230216],0
u4,1,0.963501,0.002094,[ 13 397] ; [  5 149],[ 13.08510638 396.91489362] ; [  4.91489362 149.08510638],0
s4,1,0.996619,1.8e-05,[ 63 339] ; [ 24 129],[ 63.01621622 338.98378378] ; [ 23.98378378 129.01621622],0
