Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,9.6e-05,15.216128,[ 3 10] ; [15  1],[8.06896552 4.93103448] ; [9.93103448 6.06896552],1
p11,1,0.005389,7.743956,[ 3 10] ; [12  4],[6.72413793 6.27586207] ; [8.27586207 7.72413793],0
p10,1,0.006051,7.534997,[4 9] ; [13  3],[7.62068966 5.37931034] ; [9.37931034 6.62068966],0
n6,1,0.018191,5.577627,[5 8] ; [13  3],[8.06896552 4.93103448] ; [9.93103448 6.06896552],0
p6,1,0.024098,5.087534,[ 2 11] ; [9 7],[4.93103448 8.06896552] ; [6.06896552 9.93103448],0
s8,1,0.030726,4.668183,[ 1 12] ; [7 9],[3.5862069 9.4137931] ; [ 4.4137931 11.5862069],0
r3,1,0.043742,4.066506,[7 6] ; [14  2],[9.4137931 3.5862069] ; [11.5862069  4.4137931],0
p4,1,0.071254,3.253889,[ 3 10] ; [9 7],[5.37931034 7.62068966] ; [6.62068966 9.37931034],0
s6,1,0.17964,1.800598,[5 8] ; [9 5],[6.74074074 6.25925926] ; [7.25925926 6.74074074],0
u2,1,0.186858,1.742222,[2 1] ; [1 4],[1.125 1.875] ; [1.875 3.125],0
p8,1,0.187039,1.740789,[ 2 10] ; [6 9],[3.55555556 8.44444444] ; [ 4.44444444 10.55555556],0
v2,1,0.197631,1.659799,[5 8] ; [10  6],[6.72413793 6.27586207] ; [8.27586207 7.72413793],0
s2,1,0.197631,1.659799,[5 8] ; [10  6],[6.72413793 6.27586207] ; [8.27586207 7.72413793],0
a6,1,0.197631,1.659799,[5 8] ; [10  6],[6.72413793 6.27586207] ; [8.27586207 7.72413793],0
r4,1,0.295694,1.093514,[4 9] ; [8 8],[5.37931034 7.62068966] ; [6.62068966 9.37931034],0
d2,1,0.295694,1.093514,[9 4] ; [8 8],[7.62068966 5.37931034] ; [9.37931034 6.62068966],0
d4,1,0.320742,0.98592,[11  2] ; [11  5],[9.86206897 3.13793103] ; [12.13793103  3.86206897],0
v1,1,0.320742,0.98592,[ 2 11] ; [ 5 11],[3.13793103 9.86206897] ; [ 3.86206897 12.13793103],0
d1,1,0.340405,0.908906,[8 5] ; [7 9],[6.72413793 6.27586207] ; [8.27586207 7.72413793],0
p3,1,0.340405,0.908906,[5 8] ; [9 7],[6.27586207 6.72413793] ; [7.72413793 8.27586207],0
d3,1,0.378715,0.774871,[6 7] ; [10  6],[7.17241379 5.82758621] ; [8.82758621 7.17241379],0
b5,1,0.378715,0.774871,[6 7] ; [10  6],[7.17241379 5.82758621] ; [8.82758621 7.17241379],0
s4,1,0.453319,0.56234,[ 3 10] ; [ 2 14],[ 2.24137931 10.75862069] ; [ 2.75862069 13.24137931],0
s5,1,0.472423,0.516303,[ 3 10] ; [5 9],[3.85185185 9.14814815] ; [4.14814815 9.85185185],0
p7,1,0.588439,0.292788,[6 7] ; [9 7],[6.72413793 6.27586207] ; [8.27586207 7.72413793],0
r1,1,0.588439,0.292788,[7 6] ; [7 9],[6.27586207 6.72413793] ; [7.72413793 8.27586207],0
a3,1,0.624321,0.239841,[10  3] ; [11  5],[9.4137931 3.5862069] ; [11.5862069  4.4137931],0
n5,1,0.684498,0.165106,[8 5] ; [11  5],[8.51724138 4.48275862] ; [10.48275862  5.51724138],0
n4,1,0.684498,0.165106,[8 5] ; [11  5],[8.51724138 4.48275862] ; [10.48275862  5.51724138],0
d5,1,0.684498,0.165106,[8 5] ; [11  5],[8.51724138 4.48275862] ; [10.48275862  5.51724138],0
a4,1,0.684498,0.165106,[5 8] ; [ 5 11],[4.48275862 8.51724138] ; [ 5.51724138 10.48275862],0
b4,1,0.684498,0.165106,[8 5] ; [11  5],[8.51724138 4.48275862] ; [10.48275862  5.51724138],0
a5,1,0.773675,0.082697,[8 5] ; [9 7],[7.62068966 5.37931034] ; [9.37931034 6.62068966],0
b1,1,0.773675,0.082697,[8 5] ; [9 7],[7.62068966 5.37931034] ; [9.37931034 6.62068966],0
a7,1,0.836687,0.042491,[6 7] ; [8 8],[6.27586207 6.72413793] ; [7.72413793 8.27586207],0
a8,1,0.84313,0.039161,[ 3 10] ; [ 3 12],[ 2.78571429 10.21428571] ; [ 3.21428571 11.78571429],0
s7,1,0.898768,0.016184,[4 8] ; [5 9],[4.15384615 7.84615385] ; [4.84615385 9.15384615],0
r2,1,0.907008,0.013645,[8 4] ; [11  5],[8.14285714 3.85714286] ; [10.85714286  5.14285714],0
b2,1,1.0,0.0,[4 6] ; [4 6],[4. 6.] ; [4. 6.],0
v3,1,1.0,0.0,[3 9] ; [ 4 12],[3. 9.] ; [ 4. 12.],0
b3,1,1.0,0.0,[4 6] ; [4 6],[4. 6.] ; [4. 6.],0
