Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,8.3e-05,15.492171,[ 5 19] ; [199 123],[14.15028902  9.84971098] ; [189.84971098 132.15028902],1
r4,1,0.000316,12.973786,[17  7] ; [299  24],[21.85590778  2.14409222] ; [294.14409222  28.85590778],1
p10,1,0.000823,11.189102,[15  8] ; [286  35],[20.125  2.875] ; [280.875  40.125],1
a4,1,0.002517,9.127855,[ 5 19] ; [170 152],[12.13872832 11.86127168] ; [162.86127168 159.13872832],0
b1,1,0.003438,8.559167,[17  7] ; [130 193],[10.16714697 13.83285303] ; [136.83285303 186.16714697],0
a5,1,0.006534,7.396801,[14 10] ; [263  60],[19.15850144  4.84149856] ; [257.84149856  65.15850144],0
p11,1,0.01083,6.493037,[15  9] ; [269  54],[19.6426513  4.3573487] ; [264.3573487  58.6426513],0
d1,1,0.015123,5.902125,[10 14] ; [214 109],[15.49279539  8.50720461] ; [208.50720461 114.49279539],0
p2,1,0.017597,5.635867,[17  7] ; [283  39],[20.80924855  3.19075145] ; [279.19075145  42.80924855],0
b2,1,0.018346,5.562774,[ 2 13] ; [103 129],[6.37651822 8.62348178] ; [ 98.62348178 133.37651822],0
b3,1,0.018346,5.562774,[ 2 13] ; [103 129],[6.37651822 8.62348178] ; [ 98.62348178 133.37651822],0
p4,1,0.020106,5.402677,[12 12] ; [233  89],[16.99421965  7.00578035] ; [228.00578035  93.99421965],0
v3,1,0.032887,4.551638,[ 6 16] ; [160 155],[10.83679525 11.16320475] ; [155.16320475 159.83679525],0
p6,1,0.033074,4.541961,[ 6 17] ; [157 163],[10.93002915 12.06997085] ; [152.06997085 167.93002915],0
p9,1,0.033527,4.518676,[18  5] ; [294  27],[20.86046512  2.13953488] ; [291.13953488  29.86046512],0
d2,1,0.035854,4.404026,[ 8 15] ; [185 138],[12.82947977 10.17052023] ; [180.17052023 142.82947977],0
s8,1,0.041274,4.164736,[13 11] ; [236  85],[17.32173913  6.67826087] ; [231.67826087  89.32173913],0
u1,1,0.044078,4.053559,[ 2 22] ; [ 87 236],[ 6.1556196 17.8443804] ; [ 82.8443804 240.1556196],0
p8,1,0.046877,3.949801,[ 9 14] ; [191 126],[13.52941176  9.47058824] ; [186.47058824 130.52941176],0
a2,1,0.063409,3.445907,[ 3 21] ; [ 98 225],[ 6.98559078 17.01440922] ; [ 94.01440922 228.98559078],0
n4,1,0.149019,2.082269,[20  4] ; [296  26],[21.91907514  2.08092486] ; [294.08092486  27.91907514],0
d4,1,0.153977,2.032401,[17  6] ; [274  48],[19.4  3.6] ; [271.6  50.4],0
r1,1,0.172198,1.863707,[18  6] ; [275  47],[20.32369942  3.67630058] ; [272.67630058  49.32369942],0
p5,1,0.188051,1.732821,[ 2 22] ; [ 61 258],[ 4.40816327 19.59183673] ; [ 58.59183673 260.40816327],0
s5,1,0.208716,1.580311,[ 8 16] ; [144 165],[10.95495495 13.04504505] ; [141.04504505 167.95495495],0
p12,1,0.237103,1.397736,[ 1 23] ; [ 39 281],[ 2.79069767 21.20930233] ; [ 37.20930233 282.79069767],0
a8,1,0.253372,1.304617,[ 6 16] ; [ 51 240],[ 4.00638978 17.99361022] ; [ 52.99361022 238.00638978],0
d3,1,0.277838,1.177636,[14  9] ; [231  92],[16.28612717  6.71387283] ; [228.71387283  94.28612717],0
a3,1,0.286687,1.135116,[18  6] ; [268  53],[19.89565217  4.10434783] ; [266.10434783  54.89565217],0
a7,1,0.292066,1.110071,[14 10] ; [222 101],[16.32276657  7.67723343] ; [219.67723343 103.32276657],0
s2,1,0.337798,0.918772,[16  8] ; [243  79],[17.96531792  6.03468208] ; [241.03468208  80.96531792],0
s6,1,0.375433,0.785604,[19  5] ; [272  45],[20.48093842  3.51906158] ; [270.51906158  46.48093842],0
r3,1,0.385069,0.754456,[21  2] ; [308  15],[21.8699422  1.1300578] ; [307.1300578  15.8699422],0
s1,1,0.394741,0.724287,[ 2 21] ; [ 15 304],[ 1.14327485 21.85672515] ; [ 15.85672515 303.14327485],0
b4,1,0.411801,0.673595,[11 13] ; [176 147],[12.93371758 11.06628242] ; [174.06628242 148.93371758],0
s4,1,0.448509,0.574417,[ 6 18] ; [ 60 261],[ 4.59130435 19.40869565] ; [ 61.40869565 259.59130435],0
p7,1,0.518905,0.416069,[17  5] ; [221  91],[15.67664671  6.32335329] ; [222.32335329  89.67664671],0
v4,1,0.585965,0.29669,[22  1] ; [315   8],[22.4017341  0.5982659] ; [314.5982659   8.4017341],0
d5,1,0.597486,0.278804,[18  5] ; [266  56],[18.93333333  4.06666667] ; [265.06666667  56.93333333],0
b5,1,0.655077,0.199559,[13 11] ; [190 133],[14.04034582  9.95965418] ; [188.95965418 134.04034582],0
a6,1,0.671722,0.179594,[16  7] ; [210 112],[15.06666667  7.93333333] ; [210.93333333 111.06666667],0
u2,1,0.688216,0.161024,[4 2] ; [32 23],[3.54098361 2.45901639] ; [32.45901639 22.54098361],0
r2,1,0.712626,0.135668,[21  1] ; [311  10],[21.29446064  0.70553936] ; [310.70553936  10.29446064],0
n3,1,0.728956,0.120072,[6 4] ; [42 22],[6.48648649 3.51351351] ; [41.51351351 22.48648649],0
s3,1,0.745601,0.105265,[17  6] ; [246  74],[17.63556851  5.36443149] ; [245.36443149  74.63556851],0
v2,1,0.842415,0.039524,[15  9] ; [191 125],[14.54117647  9.45882353] ; [191.45882353 124.54117647],0
n1,1,0.891134,0.018733,[5 4] ; [34 30],[4.80821918 4.19178082] ; [34.19178082 29.80821918],0
v1,1,0.948829,0.004119,[14  9] ; [189 125],[13.85459941  9.14540059] ; [189.14540059 124.85459941],0
u3,1,0.952683,0.003521,[4 2] ; [36 19],[3.93442623 2.06557377] ; [36.06557377 18.93442623],0
