Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.000858,11.111799,[ 3 10] ; [48 19],[8.2875 4.7125] ; [42.7125 24.2875],1
d5,1,0.002296,9.29626,[4 9] ; [49 17],[8.72151899 4.27848101] ; [44.27848101 21.72151899],0
d3,1,0.002309,9.285714,[ 2 11] ; [40 25],[7. 6.] ; [35. 30.],0
a6,1,0.007527,7.142756,[5 8] ; [50 16],[9.05063291 3.94936709] ; [45.94936709 20.05063291],0
d4,1,0.008808,6.861365,[4 9] ; [45 20],[8.16666667 4.83333333] ; [40.83333333 24.16666667],0
r3,1,0.009648,6.698739,[6 7] ; [53 13],[9.70886076 3.29113924] ; [49.29113924 16.70886076],0
r1,1,0.009815,6.668197,[4 9] ; [46 21],[8.125 4.875] ; [41.875 25.125],0
v4,1,0.011014,6.463125,[7 6] ; [56 10],[10.36708861  2.63291139] ; [52.63291139 13.36708861],0
v1,1,0.031368,4.632727,[ 2 11] ; [31 34],[5.5 7.5] ; [27.5 37.5],0
s4,1,0.051523,3.791199,[4 9] ; [ 7 60],[ 1.7875 11.2125] ; [ 9.2125 57.7875],0
s8,1,0.096569,2.76131,[ 1 12] ; [20 47],[3.4125 9.5875] ; [17.5875 49.4125],0
s2,1,0.098098,2.736189,[ 2 11] ; [26 40],[4.60759494 8.39240506] ; [23.39240506 42.60759494],0
v3,1,0.102089,2.672603,[ 1 12] ; [18 43],[3.33783784 9.66216216] ; [15.66216216 45.33783784],0
s3,1,0.105036,2.627368,[4 9] ; [36 29],[6.66666667 6.33333333] ; [33.33333333 31.66666667],0
s7,1,0.11637,2.465513,[ 1 10] ; [21 44],[3.18421053 7.81578947] ; [18.81578947 46.18421053],0
p9,1,0.125309,2.349673,[6 6] ; [47 18],[8.25974026 3.74025974] ; [44.74025974 20.25974026],0
n4,1,0.129772,2.29523,[7 6] ; [50 17],[9.2625 3.7375] ; [47.7375 19.2625],0
d2,1,0.13483,2.235993,[ 3 10] ; [30 36],[5.43037975 7.56962025] ; [27.56962025 38.43037975],0
p2,1,0.139452,2.184,[6 7] ; [44 21],[8.33333333 4.66666667] ; [41.66666667 23.33333333],0
a7,1,0.149267,2.079725,[6 7] ; [45 22],[8.2875 4.7125] ; [42.7125 24.2875],0
b5,1,0.157727,1.995881,[5 8] ; [40 27],[7.3125 5.6875] ; [37.6875 29.3125],0
a3,1,0.171322,1.871336,[6 6] ; [47 20],[8.05063291 3.94936709] ; [44.94936709 22.05063291],0
s6,1,0.18684,1.742358,[4 9] ; [34 33],[6.175 6.825] ; [31.825 35.175],0
a4,1,0.20498,1.606532,[ 3 10] ; [28 39],[5.0375 7.9625] ; [25.9625 41.0375],0
n2,1,0.217044,1.52381,[4 3] ; [20  5],[5.25 1.75] ; [18.75  6.25],0
a8,1,0.218049,1.517163,[4 9] ; [10 52],[ 2.42666667 10.57333333] ; [11.57333333 50.42666667],0
p7,1,0.290516,1.11723,[9 4] ; [33 29],[7.28 5.72] ; [34.72 27.28],0
a2,1,0.309177,1.03419,[ 1 12] ; [13 54],[ 2.275 10.725] ; [11.725 55.275],0
a5,1,0.313409,1.016255,[6 7] ; [41 26],[7.6375 5.3625] ; [39.3625 27.6375],0
b4,1,0.313451,1.016077,[5 8] ; [36 31],[6.6625 6.3375] ; [34.3375 32.6625],0
s1,1,0.44628,0.580082,[ 1 12] ; [ 2 61],[ 0.51315789 12.48684211] ; [ 2.48684211 60.51315789],0
b2,1,0.478001,0.503421,[1 5] ; [12 27],[1.73333333 4.26666667] ; [11.26666667 27.73333333],0
b3,1,0.478001,0.503421,[1 5] ; [12 27],[1.73333333 4.26666667] ; [11.26666667 27.73333333],0
p4,1,0.493745,0.468355,[4 9] ; [27 39],[5.10126582 7.89873418] ; [25.89873418 40.10126582],0
p10,1,0.546102,0.364347,[6 6] ; [38 26],[6.94736842 5.05263158] ; [37.05263158 26.94736842],0
p6,1,0.620147,0.245661,[4 9] ; [15 47],[3.29333333 9.70666667] ; [15.70666667 46.29333333],0
p3,1,0.620832,0.2447,[4 9] ; [16 50],[3.29113924 9.70886076] ; [16.70886076 49.29113924],0
n1,1,0.665984,0.186335,[3 4] ; [12 11],[3.5 3.5] ; [11.5 11.5],0
b1,1,0.674479,0.176407,[8 5] ; [37 30],[7.3125 5.6875] ; [37.6875 29.3125],0
n3,1,0.797923,0.065555,[4 3] ; [15  9],[4.29032258 2.70967742] ; [14.70967742  9.29032258],0
p11,1,0.848594,0.036448,[7 6] ; [38 29],[7.3125 5.6875] ; [37.6875 29.3125],0
a1,1,0.882757,0.021749,[ 1 12] ; [ 6 61],[ 1.1375 11.8625] ; [ 5.8625 61.1375],0
s5,1,0.891921,0.018462,[ 2 11] ; [11 54],[ 2.16666667 10.83333333] ; [10.83333333 54.16666667],0
u2,1,0.89466,0.017532,[4 3] ; [12  8],[4.14814815 2.85185185] ; [11.85185185  8.14814815],0
v2,1,0.950414,0.003867,[5 6] ; [28 35],[4.90540541 6.09459459] ; [28.09459459 34.90540541],0
p8,1,0.971889,0.001242,[4 8] ; [21 43],[3.94736842 8.05263158] ; [21.05263158 42.94736842],0
