Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,5.3e-05,16.320696,[ 2 14] ; [45 21],[9.17073171 6.82926829] ; [37.82926829 28.17073171],1
v4,1,0.00114,10.585463,[ 5 11] ; [49 17],[10.53658537  5.46341463] ; [43.46341463 22.53658537],0
r3,1,0.003174,8.70465,[ 6 10] ; [50 16],[10.92682927  5.07317073] ; [45.07317073 20.92682927],0
r1,1,0.023167,5.155943,[ 6 10] ; [45 21],[9.95121951 6.04878049] ; [41.04878049 24.95121951],0
a8,1,0.041438,4.158004,[ 3 12] ; [ 3 62],[ 1.125 13.875] ; [ 4.875 60.125],0
p1,1,0.103171,2.65583,[ 3 13] ; [ 4 62],[ 1.36585366 14.63414634] ; [ 5.63414634 60.36585366],0
n2,1,0.148235,2.090323,[1 4] ; [17 14],[2.5 2.5] ; [15.5 15.5],0
n6,1,0.158707,1.9865,[7 9] ; [41 24],[9.48148148 6.51851852] ; [38.51851852 26.48148148],0
s5,1,0.192558,1.697934,[ 1 15] ; [13 52],[ 2.7654321 13.2345679] ; [11.2345679 53.7654321],0
b5,1,0.221046,1.497565,[10  6] ; [30 36],[7.80487805 8.19512195] ; [32.19512195 33.80487805],0
p10,1,0.233232,1.421042,[ 1 15] ; [12 53],[ 2.56790123 13.43209877] ; [10.43209877 54.56790123],0
p3,1,0.258426,1.277168,[ 2 13] ; [18 48],[ 3.7037037 11.2962963] ; [16.2962963 49.7037037],0
a5,1,0.267289,1.230608,[7 9] ; [39 27],[8.97560976 7.02439024] ; [37.02439024 28.97560976],0
v3,1,0.272254,1.205357,[ 3 13] ; [21 43],[ 4.8 11.2] ; [19.2 44.8],0
p11,1,0.33371,0.934445,[ 4 12] ; [25 41],[ 5.65853659 10.34146341] ; [23.34146341 42.65853659],0
s7,1,0.348599,0.878549,[ 2 13] ; [15 46],[ 3.35526316 11.64473684] ; [13.64473684 47.35526316],0
b4,1,0.355323,0.854357,[11  5] ; [37 29],[9.36585366 6.63414634] ; [38.63414634 27.36585366],0
d1,1,0.41352,0.668658,[ 5 11] ; [28 38],[6.43902439 9.56097561] ; [26.56097561 39.43902439],0
n4,1,0.509528,0.435037,[8 8] ; [39 27],[9.17073171 6.82926829] ; [37.82926829 28.17073171],0
d5,1,0.584624,0.298818,[9 7] ; [42 24],[9.95121951 6.04878049] ; [41.04878049 24.95121951],0
a2,1,0.603626,0.269562,[ 3 13] ; [ 9 57],[ 2.34146341 13.65853659] ; [ 9.65853659 56.34146341],0
s1,1,0.603626,0.269562,[ 3 13] ; [ 9 57],[ 2.34146341 13.65853659] ; [ 9.65853659 56.34146341],0
d2,1,0.614916,0.253078,[7 9] ; [33 32],[7.90123457 8.09876543] ; [32.09876543 32.90123457],0
p4,1,0.619893,0.246018,[ 3 13] ; [16 49],[ 3.75308642 12.24691358] ; [15.24691358 49.75308642],0
s3,1,0.624089,0.240162,[6 9] ; [22 44],[5.18518519 9.81481481] ; [22.81481481 43.18518519],0
s4,1,0.680117,0.169994,[ 2 14] ; [ 6 60],[ 1.56097561 14.43902439] ; [ 6.43902439 59.56097561],0
b3,1,0.692472,0.156423,[4 9] ; [14 24],[4.58823529 8.41176471] ; [13.41176471 24.58823529],0
b2,1,0.692472,0.156423,[4 9] ; [14 24],[4.58823529 8.41176471] ; [13.41176471 24.58823529],0
p6,1,0.694817,0.15392,[ 1 13] ; [ 7 59],[ 1.4 12.6] ; [ 6.6 59.4],0
b1,1,0.719828,0.128658,[10  6] ; [38 28],[9.36585366 6.63414634] ; [38.63414634 27.36585366],0
p5,1,0.732148,0.117149,[ 1 14] ; [ 3 63],[ 0.74074074 14.25925926] ; [ 3.25925926 62.74074074],0
a7,1,0.73368,0.11576,[9 7] ; [34 32],[8.3902439 7.6097561] ; [34.6097561 31.3902439],0
u3,1,0.735213,0.114379,[3 4] ; [14 14],[3.4 3.6] ; [13.6 14.4],0
n3,1,0.737342,0.112476,[2 3] ; [13 14],[2.34375 2.65625] ; [12.65625 14.34375],0
d4,1,0.750703,0.100941,[11  5] ; [48 18],[11.51219512  4.48780488] ; [47.48780488 18.51219512],0
p8,1,0.750881,0.100792,[ 2 13] ; [11 55],[ 2.40740741 12.59259259] ; [10.59259259 55.40740741],0
s6,1,0.78449,0.074787,[7 9] ; [26 39],[6.51851852 9.48148148] ; [26.48148148 38.51851852],0
a1,1,0.827872,0.047276,[ 2 14] ; [ 7 59],[ 1.75609756 14.24390244] ; [ 7.24390244 58.75609756],0
p7,1,0.828291,0.047043,[ 4 12] ; [18 47],[ 4.34567901 11.65432099] ; [17.65432099 47.34567901],0
a3,1,0.863649,0.029491,[9 6] ; [38 28],[8.7037037 6.2962963] ; [38.2962963 27.7037037],0
v2,1,0.874373,0.024997,[ 6 10] ; [23 42],[ 5.72839506 10.27160494] ; [23.27160494 41.72839506],0
a6,1,0.913379,0.011833,[8 8] ; [34 32],[8.19512195 7.80487805] ; [33.80487805 32.19512195],0
u2,1,0.939919,0.005681,[3 4] ; [12 15],[3.08823529 3.91176471] ; [11.91176471 15.08823529],0
a4,1,0.943489,0.005025,[ 6 10] ; [25 40],[6.12345679 9.87654321] ; [24.87654321 40.12345679],0
s2,1,0.950335,0.00388,[ 4 12] ; [17 49],[ 4.09756098 11.90243902] ; [16.90243902 49.09756098],0
v1,1,0.950335,0.00388,[ 4 12] ; [17 49],[ 4.09756098 11.90243902] ; [16.90243902 49.09756098],0
n1,1,0.953847,0.00335,[2 3] ; [12 17],[2.05882353 2.94117647] ; [11.94117647 17.05882353],0
n5,1,0.989073,0.000188,[9 7] ; [37 29],[8.97560976 7.02439024] ; [37.02439024 28.97560976],0
d3,1,0.989073,0.000188,[7 9] ; [29 37],[7.02439024 8.97560976] ; [28.97560976 37.02439024],0
