Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,1e-06,24.240632,[73  6] ; [31 24],[61.31343284 17.68656716] ; [42.68656716 12.31343284],1
r4,1,0.00034,12.834599,[58 21] ; [24 32],[47.98518519 31.01481481] ; [34.01481481 21.98518519],1
r3,1,0.001209,10.476194,[63 16] ; [30 26],[54.42222222 24.57777778] ; [38.57777778 17.42222222],0
n5,1,0.001261,10.399443,[57 22] ; [25 31],[47.98518519 31.01481481] ; [34.01481481 21.98518519],0
s8,1,0.004562,8.045538,[16 62] ; [ 2 54],[10.47761194 67.52238806] ; [ 7.52238806 48.47761194],0
s7,1,0.006635,7.36921,[21 56] ; [ 4 47],[15.0390625 61.9609375] ; [ 9.9609375 41.0390625],0
p10,1,0.006989,7.275692,[38 39] ; [14 40],[30.5648855 46.4351145] ; [21.4351145 32.5648855],0
p7,1,0.007079,7.252747,[39 38] ; [15 40],[31.5 45.5] ; [22.5 32.5],0
b5,1,0.007654,7.112775,[56 23] ; [27 29],[48.57037037 30.42962963] ; [34.42962963 21.57037037],0
s6,1,0.007703,7.10121,[34 44] ; [12 44],[26.7761194 51.2238806] ; [19.2238806 36.7761194],0
n4,1,0.012095,6.29693,[55 24] ; [27 29],[47.98518519 31.01481481] ; [34.01481481 21.98518519],0
n2,1,0.014378,5.991153,[22  9] ; [11 17],[17.33898305 13.66101695] ; [15.66101695 12.33898305],0
p9,1,0.024276,5.074794,[40 35] ; [18 36],[33.72093023 41.27906977] ; [24.27906977 29.72093023],0
r2,1,0.039815,4.225745,[68  9] ; [41 14],[63.58333333 13.41666667] ; [45.41666667  9.58333333],0
p4,1,0.040089,4.214121,[29 47] ; [12 44],[23.60606061 52.39393939] ; [17.39393939 38.60606061],0
p2,1,0.040835,4.182859,[46 32] ; [23 33],[40.1641791 37.8358209] ; [28.8358209 27.1641791],0
p8,1,0.042923,4.09845,[27 51] ; [10 44],[21.86363636 56.13636364] ; [15.13636364 38.86363636],0
p1,1,0.047266,3.935882,[ 2 77] ; [ 6 50],[ 4.68148148 74.31851852] ; [ 3.31851852 52.68148148],0
a1,1,0.05714,3.618513,[ 3 76] ; [ 7 49],[ 5.85185185 73.14814815] ; [ 4.14814815 51.85185185],0
p6,1,0.074043,3.191039,[18 59] ; [ 6 48],[14.10687023 62.89312977] ; [ 9.89312977 44.10687023],0
v2,1,0.078796,3.089563,[31 48] ; [13 40],[26.33333333 52.66666667] ; [17.66666667 35.33333333],0
a6,1,0.085671,2.953888,[39 40] ; [36 20],[43.88888889 35.11111111] ; [31.11111111 24.88888889],0
u2,1,0.089,2.892366,[ 8 24] ; [10 11],[10.86792453 21.13207547] ; [ 7.13207547 13.86792453],0
s1,1,0.098626,2.727618,[ 2 77] ; [ 5 51],[ 4.0962963 74.9037037] ; [ 2.9037037 53.0962963],0
r1,1,0.124966,2.353949,[52 26] ; [30 26],[47.73134328 30.26865672] ; [34.26865672 21.73134328],0
n1,1,0.134418,2.240722,[15 14] ; [ 9 19],[12.21052632 16.78947368] ; [11.78947368 16.21052632],0
v1,1,0.136331,2.218889,[29 49] ; [14 42],[25.02985075 52.97014925] ; [17.97014925 38.02985075],0
p5,1,0.14096,2.167443,[ 6 72] ; [ 1 53],[ 4.13636364 73.86363636] ; [ 2.86363636 51.13636364],0
a4,1,0.186302,1.746623,[27 50] ; [26 30],[30.68421053 46.31578947] ; [22.31578947 33.68421053],0
b4,1,0.19241,1.699071,[39 40] ; [34 22],[42.71851852 36.28148148] ; [30.28148148 25.71851852],0
u1,1,0.224738,1.473855,[ 9 70] ; [ 3 53],[ 7.02222222 71.97777778] ; [ 4.97777778 51.02222222],0
d2,1,0.302822,1.061723,[32 46] ; [28 28],[34.92537313 43.07462687] ; [25.07462687 30.92537313],0
d4,1,0.321723,0.981927,[58 21] ; [36 19],[55.41791045 23.58208955] ; [38.58208955 16.41791045],0
b3,1,0.3268,0.961538,[11 28] ; [14 22],[13. 26.] ; [12. 24.],0
b2,1,0.3268,0.961538,[11 28] ; [14 22],[13. 26.] ; [12. 24.],0
p3,1,0.329184,0.952105,[26 52] ; [14 41],[23.45864662 54.54135338] ; [16.54135338 38.45864662],0
v3,1,0.371582,0.798367,[23 56] ; [11 39],[20.82170543 58.17829457] ; [13.17829457 36.82170543],0
s4,1,0.451033,0.568055,[12 67] ; [ 6 50],[10.53333333 68.46666667] ; [ 7.46666667 48.53333333],0
d5,1,0.482488,0.493234,[58 21] ; [38 18],[56.17777778 22.82222222] ; [39.82222222 16.17777778],0
b1,1,0.492538,0.470976,[39 40] ; [31 25],[40.96296296 38.03703704] ; [29.03703704 26.96296296],0
u3,1,0.504106,0.446281,[14 19] ; [ 7 14],[12.83333333 20.16666667] ; [ 8.16666667 12.83333333],0
d3,1,0.52807,0.398105,[46 33] ; [29 26],[44.21641791 34.78358209] ; [30.78358209 24.21641791],0
a5,1,0.530203,0.394003,[48 31] ; [31 25],[46.22962963 32.77037037] ; [32.77037037 23.22962963],0
d1,1,0.546903,0.362894,[38 41] ; [24 32],[36.28148148 42.71851852] ; [25.71851852 30.28148148],0
a2,1,0.590474,0.289605,[14 65] ; [12 44],[15.21481481 63.78518519] ; [10.78518519 45.21481481],0
n3,1,0.617859,0.248889,[17 13] ; [13 13],[16.07142857 13.92857143] ; [13.92857143 12.07142857],0
a3,1,0.717629,0.130776,[46 30] ; [35 20],[46.99236641 29.00763359] ; [34.00763359 20.99236641],0
s5,1,0.774878,0.081796,[13 65] ; [ 8 46],[12.40909091 65.59090909] ; [ 8.59090909 45.40909091],0
a8,1,0.910206,0.012719,[ 7 64] ; [ 5 49],[ 6.816 64.184] ; [ 5.184 48.816],0
s3,1,0.918813,0.01039,[19 58] ; [14 41],[19.25 57.75] ; [13.75 41.25],0
a7,1,0.92528,0.008796,[50 29] ; [35 21],[49.74074074 29.25925926] ; [35.25925926 20.74074074],0
