Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.054181,3.707108,[1 9] ; [7 8],[3.2 6.8] ; [ 4.8 10.2],0
p7,1,0.07222,3.231838,[7 3] ; [ 5 10],[4.8 5.2] ; [7.2 7.8],0
p3,1,0.07222,3.231838,[7 3] ; [ 5 10],[4.8 5.2] ; [7.2 7.8],0
r4,1,0.07222,3.231838,[7 3] ; [ 5 10],[4.8 5.2] ; [7.2 7.8],0
a8,1,0.089686,2.88,[3 6] ; [ 1 14],[1.5 7.5] ; [ 2.5 12.5],0
p2,1,0.095581,2.777778,[8 2] ; [7 8],[6. 4.] ; [9. 6.],0
d1,1,0.095581,2.777778,[2 8] ; [8 7],[4. 6.] ; [6. 9.],0
p9,1,0.095581,2.777778,[8 2] ; [7 8],[6. 4.] ; [9. 6.],0
b1,1,0.141326,2.163462,[3 7] ; [9 6],[4.8 5.2] ; [7.2 7.8],0
p4,1,0.173568,1.851852,[8 2] ; [8 7],[6.4 3.6] ; [9.6 5.4],0
b5,1,0.233762,1.417824,[5 5] ; [11  4],[6.4 3.6] ; [9.6 5.4],0
s8,1,0.233762,1.417824,[5 5] ; [ 4 11],[3.6 6.4] ; [5.4 9.6],0
v2,1,0.233762,1.417824,[5 5] ; [11  4],[6.4 3.6] ; [9.6 5.4],0
n5,1,0.233762,1.417824,[5 5] ; [11  4],[6.4 3.6] ; [9.6 5.4],0
n4,1,0.233762,1.417824,[5 5] ; [11  4],[6.4 3.6] ; [9.6 5.4],0
p10,1,0.249561,1.325758,[7 3] ; [7 8],[5.6 4.4] ; [8.4 6.6],0
d5,1,0.275234,1.190476,[6 4] ; [12  3],[7.2 2.8] ; [10.8  4.2],0
a5,1,0.293622,1.102941,[8 2] ; [9 6],[6.8 3.2] ; [10.2  4.8],0
b3,1,0.301409,1.067949,[2 3] ; [ 2 10],[1.17647059 3.82352941] ; [2.82352941 9.17647059],0
b2,1,0.301409,1.067949,[2 3] ; [ 2 10],[1.17647059 3.82352941] ; [2.82352941 9.17647059],0
d2,1,0.3268,0.961538,[4 6] ; [9 6],[5.2 4.8] ; [7.8 7.2],0
p11,1,0.404657,0.694444,[7 3] ; [8 7],[6. 4.] ; [9. 6.],0
r1,1,0.404657,0.694444,[7 3] ; [8 7],[6. 4.] ; [9. 6.],0
b4,1,0.48384,0.490196,[6 4] ; [11  4],[6.8 3.2] ; [10.2  4.8],0
r3,1,0.504036,0.446429,[9 1] ; [12  3],[8.4 1.6] ; [12.6  2.4],0
s3,1,0.513292,0.42735,[6 4] ; [7 8],[5.2 4.8] ; [7.8 7.2],0
v3,1,0.558185,0.342857,[4 6] ; [ 4 10],[3.33333333 6.66666667] ; [4.66666667 9.33333333],0
a3,1,0.609834,0.260417,[7 3] ; [9 6],[6.4 3.6] ; [9.6 5.4],0
a6,1,0.621685,0.243506,[5 5] ; [6 9],[4.4 5.6] ; [6.6 8.4],0
r2,1,0.621685,0.243506,[5 5] ; [9 6],[5.6 4.4] ; [8.4 6.6],0
s2,1,0.621685,0.243506,[5 5] ; [6 9],[4.4 5.6] ; [6.6 8.4],0
p5,1,0.656005,0.198413,[2 8] ; [ 2 13],[1.6 8.4] ; [ 2.4 12.6],0
d4,1,0.702195,0.146199,[8 2] ; [11  4],[7.6 2.4] ; [11.4  3.6],0
n6,1,0.702195,0.146199,[8 2] ; [11  4],[7.6 2.4] ; [11.4  3.6],0
d3,1,0.742174,0.108225,[6 4] ; [8 7],[5.6 4.4] ; [8.4 6.6],0
s5,1,0.855702,0.033069,[3 7] ; [ 4 11],[2.8 7.2] ; [ 4.2 10.8],0
a7,1,0.87018,0.026709,[5 5] ; [7 8],[4.8 5.2] ; [7.2 7.8],0
s7,1,0.940259,0.005617,[4 6] ; [5 8],[3.91304348 6.08695652] ; [5.08695652 7.91304348],0
p6,1,1.0,0.0,[4 6] ; [6 9],[4. 6.] ; [6. 9.],0
s4,1,1.0,0.0,[2 8] ; [ 3 12],[2. 8.] ; [ 3. 12.],0
v1,1,1.0,0.0,[4 6] ; [6 9],[4. 6.] ; [6. 9.],0
