Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,0.01476,5.94489,[ 8 34] ; [9 9],[11.9 30.1] ; [ 5.1 12.9],0
p10,1,0.02278,5.185185,[28 14] ; [17  1],[31.5 10.5] ; [13.5  4.5],0
a5,1,0.035328,4.429255,[23 19] ; [15  3],[26.6 15.4] ; [11.4  6.6],0
a4,1,0.046849,3.950786,[12 30] ; [10  8],[15.4 26.6] ; [ 6.6 11.4],0
s6,1,0.052615,3.756107,[27 15] ; [16  2],[30.1 11.9] ; [12.9  5.1],0
r4,1,0.094022,2.804135,[32 10] ; [17  1],[34.3  7.7] ; [14.7  3.3],0
r1,1,0.102015,2.673758,[26 16] ; [15  3],[28.7 13.3] ; [12.3  5.7],0
p9,1,0.103843,2.645503,[29 13] ; [16  2],[31.5 10.5] ; [13.5  4.5],0
s2,1,0.12322,2.375913,[14 27] ; [10  8],[16.6779661 24.3220339] ; [ 7.3220339 10.6779661],0
v1,1,0.12322,2.375913,[14 27] ; [10  8],[16.6779661 24.3220339] ; [ 7.3220339 10.6779661],0
s3,1,0.164052,1.936475,[17 24] ; [11  7],[19.45762712 21.54237288] ; [8.54237288 9.45762712],0
p7,1,0.175334,1.836735,[20 22] ; [12  6],[22.4 19.6] ; [9.6 8.4],0
a2,1,0.184844,1.758242,[ 4 38] ; [ 4 14],[ 5.6 36.4] ; [ 2.4 15.6],0
n3,1,0.243216,1.361855,[11  5] ; [1 2],[10.10526316  5.89473684] ; [1.89473684 1.10526316],0
p8,1,0.256843,1.285692,[12 29] ; [ 8 10],[13.89830508 27.10169492] ; [ 6.10169492 11.89830508],0
b5,1,0.315335,1.008198,[29 13] ; [10  8],[27.3 14.7] ; [11.7  6.3],0
r2,1,0.32074,0.985925,[35  6] ; [17  1],[36.13559322  4.86440678] ; [15.86440678  2.13559322],0
a7,1,0.355228,0.854693,[32  9] ; [12  6],[30.57627119 10.42372881] ; [13.42372881  4.57627119],0
d4,1,0.424122,0.638864,[31 11] ; [15  3],[32.2  9.8] ; [13.8  4.2],0
s8,1,0.451926,0.565817,[ 8 34] ; [ 5 13],[ 9.1 32.9] ; [ 3.9 14.1],0
b1,1,0.491641,0.472933,[13 29] ; [ 4 14],[11.9 30.1] ; [ 5.1 12.9],0
u2,1,0.551149,0.355263,[ 6 12] ; [2 7],[ 5.33333333 12.66666667] ; [2.66666667 6.33333333],0
p4,1,0.573138,0.31746,[20 22] ; [10  8],[21. 21.] ; [9. 9.],0
a3,1,0.610299,0.25974,[24 18] ; [9 9],[23.1 18.9] ; [9.9 8.1],0
a6,1,0.645485,0.21164,[26 16] ; [10  8],[25.2 16.8] ; [10.8  7.2],0
n5,1,0.671616,0.179718,[28 14] ; [13  5],[28.7 13.3] ; [12.3  5.7],0
p11,1,0.679278,0.17094,[28 14] ; [11  7],[27.3 14.7] ; [11.7  6.3],0
d2,1,0.679278,0.17094,[14 28] ; [ 7 11],[14.7 27.3] ; [ 6.3 11.7],0
b4,1,0.679278,0.17094,[28 14] ; [11  7],[27.3 14.7] ; [11.7  6.3],0
d1,1,0.734749,0.114796,[19 23] ; [9 9],[19.6 22.4] ; [8.4 9.6],0
p3,1,0.775097,0.081633,[17 25] ; [ 8 10],[17.5 24.5] ; [ 7.5 10.5],0
u3,1,0.785351,0.074176,[9 9] ; [5 4],[9.33333333 8.66666667] ; [4.66666667 4.33333333],0
n6,1,0.796095,0.066773,[33  8] ; [15  3],[33.3559322  7.6440678] ; [14.6440678  3.3559322],0
n4,1,0.821297,0.05102,[22 20] ; [10  8],[22.4 19.6] ; [9.6 8.4],0
v3,1,0.846736,0.037359,[ 8 32] ; [ 4 14],[ 8.27586207 31.72413793] ; [ 3.72413793 14.27586207],0
u1,1,0.851024,0.035273,[ 4 38] ; [ 2 16],[ 4.2 37.8] ; [ 1.8 16.2],0
v2,1,0.860081,0.031071,[19 21] ; [9 9],[19.31034483 20.68965517] ; [8.68965517 9.31034483],0
b2,1,0.890782,0.018855,[ 4 14] ; [2 8],[ 3.85714286 14.14285714] ; [2.14285714 7.85714286],0
b3,1,0.890782,0.018855,[ 4 14] ; [2 8],[ 3.85714286 14.14285714] ; [2.14285714 7.85714286],0
n2,1,0.8908,0.018849,[10  6] ; [2 1],[10.10526316  5.89473684] ; [1.89473684 1.10526316],0
p2,1,0.898614,0.016234,[31 11] ; [13  5],[30.8 11.2] ; [13.2  4.8],0
d3,1,0.902047,0.015148,[28 13] ; [12  6],[27.79661017 13.20338983] ; [12.20338983  5.79661017],0
r3,1,0.93007,0.007701,[37  5] ; [16  2],[37.1  4.9] ; [15.9  2.1],0
d5,1,0.939851,0.005694,[30 11] ; [13  5],[29.88135593 11.11864407] ; [13.11864407  4.88135593],0
