Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,0.000246,13.44,[ 1 29] ; [6 6],[ 5. 25.] ; [ 2. 10.],1
n6,1,0.004244,8.176389,[13 17] ; [11  1],[17.14285714 12.85714286] ; [6.85714286 5.14285714],0
s2,1,0.004317,8.145455,[ 3 27] ; [6 6],[ 6.42857143 23.57142857] ; [2.57142857 9.42857143],0
r4,1,0.006685,7.355676,[ 1 29] ; [4 8],[ 3.57142857 26.42857143] ; [ 1.42857143 10.57142857],0
a5,1,0.007762,7.0875,[ 9 21] ; [9 3],[12.85714286 17.14285714] ; [5.14285714 6.85714286],0
p11,1,0.008104,7.01037,[ 7 23] ; [8 4],[10.71428571 19.28571429] ; [4.28571429 7.71428571],0
n4,1,0.029727,4.725,[17 13] ; [11  1],[20. 10.] ; [8. 4.],0
p9,1,0.029985,4.710145,[ 8 19] ; [8 4],[11.07692308 15.92307692] ; [4.92307692 7.07692308],0
b1,1,0.048607,3.888889,[20 10] ; [4 8],[17.14285714 12.85714286] ; [6.85714286 5.14285714],0
r1,1,0.053007,3.743704,[ 8 22] ; [7 5],[10.71428571 19.28571429] ; [4.28571429 7.71428571],0
p3,1,0.05719,3.617058,[ 5 25] ; [5 6],[ 7.31707317 22.68292683] ; [2.68292683 8.31707317],0
p10,1,0.05884,3.569771,[10 19] ; [8 4],[12.73170732 16.26829268] ; [5.26829268 6.73170732],0
p4,1,0.060549,3.522295,[ 6 23] ; [6 6],[ 8.48780488 20.51219512] ; [3.51219512 8.48780488],0
p2,1,0.063237,3.45039,[12 18] ; [8 3],[14.63414634 15.36585366] ; [5.36585366 5.63414634],0
v4,1,0.063409,3.445909,[13 17] ; [9 3],[15.71428571 14.28571429] ; [6.28571429 5.71428571],0
a3,1,0.095593,2.777574,[14 16] ; [9 3],[16.42857143 13.57142857] ; [6.57142857 5.42857143],0
s8,1,0.097435,2.747027,[ 2 28] ; [3 9],[ 3.57142857 26.42857143] ; [ 1.42857143 10.57142857],0
a4,1,0.097506,2.745875,[ 5 24] ; [5 7],[ 7.07317073 21.92682927] ; [2.92682927 9.07317073],0
d2,1,0.103016,2.658226,[ 9 20] ; [7 5],[11.31707317 17.68292683] ; [4.68292683 7.31707317],0
p6,1,0.107009,2.597845,[ 2 27] ; [3 9],[ 3.53658537 25.46341463] ; [ 1.46341463 10.53658537],0
s4,1,0.135922,2.223529,[ 4 26] ; [4 8],[ 5.71428571 24.28571429] ; [2.28571429 9.71428571],0
n5,1,0.136399,2.218125,[21  9] ; [11  1],[22.85714286  7.14285714] ; [9.14285714 2.85714286],0
d3,1,0.147299,2.1,[ 8 22] ; [6 6],[10. 20.] ; [4. 8.],0
v1,1,0.149091,2.081525,[ 6 24] ; [5 7],[ 7.85714286 22.14285714] ; [3.14285714 8.85714286],0
v3,1,0.176998,1.822654,[ 5 25] ; [4 7],[ 6.58536585 23.41463415] ; [2.41463415 8.58536585],0
