Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,51.179448,[28 46] ; [109  17],[50.69 23.31] ; [86.31 39.69],1
r2,1,4e-06,21.491436,[50 21] ; [119   7],[60.90862944 10.09137056] ; [108.09137056  17.90862944],1
r3,1,8e-06,20.060384,[48 25] ; [114  11],[59.72727273 13.27272727] ; [102.27272727  22.72727273],1
d4,1,4.5e-05,16.656911,[41 33] ; [102  22],[53.44444444 20.55555556] ; [89.55555556 34.44444444],1
v4,1,9.4e-05,15.250745,[48 25] ; [110  14],[58.54822335 14.45177665] ; [99.45177665 24.54822335],1
v2,1,0.000181,14.019609,[18 55] ; [62 57],[30.41666667 42.58333333] ; [49.58333333 69.41666667],1
p1,1,0.000793,11.256468,[11 62] ; [  3 122],[ 5.16161616 67.83838384] ; [  8.83838384 116.16161616],1
a5,1,0.000942,10.938758,[31 43] ; [83 43],[42.18 31.82] ; [71.82 54.18],1
a3,1,0.001368,10.248728,[36 37] ; [90 35],[46.45454545 26.54545455] ; [79.54545455 45.45454545],0
d3,1,0.001387,10.222443,[30 42] ; [82 44],[40.72727273 31.27272727] ; [71.27272727 54.72727273],0
p11,1,0.00156,10.006848,[35 39] ; [88 38],[45.51 28.49] ; [77.49 48.51],0
p2,1,0.001751,9.794012,[34 39] ; [87 39],[44.38693467 28.61306533] ; [76.61306533 49.38693467],0
a4,1,0.005379,7.747484,[18 55] ; [56 70],[27.14572864 45.85427136] ; [46.85427136 79.14572864],0
v1,1,0.005422,7.733076,[13 58] ; [47 79],[21.62436548 49.37563452] ; [38.37563452 87.62436548],0
d1,1,0.006184,7.495807,[24 50] ; [66 60],[33.3 40.7] ; [56.7 69.3],0
p7,1,0.014303,6.000374,[18 54] ; [53 72],[25.94923858 46.05076142] ; [45.05076142 79.94923858],0
a7,1,0.034502,4.469665,[38 35] ; [84 41],[44.97979798 28.02020202] ; [77.02020202 47.97979798],0
u3,1,0.063708,3.438113,[11 27] ; [18 18],[14.89189189 23.10810811] ; [14.10810811 21.89189189],0
d5,1,0.070518,3.270913,[43 30] ; [90 36],[48.78894472 24.21105528] ; [84.21105528 41.78894472],0
a2,1,0.087254,2.924312,[ 6 68] ; [ 21 105],[ 9.99 64.01] ; [ 17.01 108.99],0
n4,1,0.129006,2.304423,[42 32] ; [85 41],[46.99 27.01] ; [80.01 45.99],0
a6,1,0.140894,2.168164,[41 33] ; [83 43],[45.88 28.12] ; [78.12 47.88],0
b2,1,0.157426,1.998778,[19 22] ; [23 47],[15.51351351 25.48648649] ; [26.48648649 43.51351351],0
b3,1,0.157426,1.998778,[19 22] ; [23 47],[15.51351351 25.48648649] ; [26.48648649 43.51351351],0
u2,1,0.168075,1.900032,[14 24] ; [19 17],[16.94594595 21.05405405] ; [16.05405405 19.94594595],0
v3,1,0.185065,1.756471,[15 58] ; [35 85],[18.9119171 54.0880829] ; [31.0880829 88.9119171],0
p3,1,0.220493,1.50116,[11 62] ; [28 98],[14.30653266 58.69346734] ; [ 24.69346734 101.30653266],0
n6,1,0.2227,1.486886,[44 30] ; [85 40],[47.96984925 26.03015075] ; [81.03015075 43.96984925],0
p10,1,0.230779,1.436051,[36 35] ; [75 51],[40.00507614 30.99492386] ; [70.99492386 55.00507614],0
a8,1,0.233842,1.417338,[ 5 66] ; [ 15 105],[ 7.43455497 63.56544503] ; [ 12.56544503 107.43455497],0
s2,1,0.245404,1.34928,[10 64] ; [ 25 100],[13.01507538 60.98492462] ; [ 21.98492462 103.01507538],0
s5,1,0.255558,1.292659,[ 5 66] ; [ 15 108],[ 7.31958763 63.68041237] ; [ 12.68041237 110.31958763],0
s8,1,0.319052,0.99283,[ 7 67] ; [ 18 108],[ 9.25 64.75] ; [ 15.75 110.25],0
s4,1,0.325117,0.968251,[ 9 65] ; [ 10 116],[ 7.03 66.97] ; [ 11.97 114.03],0
a1,1,0.336023,0.925546,[ 6 68] ; [  6 120],[ 4.44 69.56] ; [  7.56 118.44],0
n1,1,0.339594,0.911964,[ 8 22] ; [15 25],[ 9.85714286 20.14285714] ; [13.14285714 26.85714286],0
b5,1,0.432293,0.616655,[43 31] ; [66 60],[40.33 33.67] ; [68.67 57.33],0
b4,1,0.592846,0.285922,[40 34] ; [73 53],[41.81 32.19] ; [71.19 54.81],0
d2,1,0.610949,0.258795,[29 43] ; [55 70],[30.70050761 41.29949239] ; [53.29949239 71.70050761],0
p5,1,0.624278,0.2399,[ 1 72] ; [  3 123],[ 1.46733668 71.53266332] ; [  2.53266332 123.46733668],0
p9,1,0.635788,0.224293,[44 25] ; [76 50],[42.46153846 26.53846154] ; [77.53846154 48.46153846],0
s1,1,0.64316,0.214633,[ 2 71] ; [  5 120],[ 2.58080808 70.41919192] ; [  4.41919192 120.58080808],0
p12,1,0.698845,0.149676,[ 1 72] ; [  1 124],[ 0.73737374 72.26262626] ; [  1.26262626 123.73737374],0
n2,1,0.81351,0.055649,[19 12] ; [24 17],[18.51388889 12.48611111] ; [24.48611111 16.51388889],0
n3,1,0.835895,0.04291,[18 13] ; [23 15],[18.42028986 12.57971014] ; [22.57971014 15.42028986],0
b1,1,0.844191,0.038626,[31 43] ; [51 75],[30.34 43.66] ; [51.66 74.34],0
u1,1,0.878953,0.023194,[ 6 68] ; [ 11 115],[ 6.29 67.71] ; [ 10.71 115.29],0
n5,1,0.883328,0.021536,[44 30] ; [73 52],[43.50753769 30.49246231] ; [73.49246231 51.50753769],0
s7,1,0.904905,0.014272,[11 59] ; [19 97],[11.29032258 58.70967742] ; [18.70967742 97.29032258],0
s3,1,0.907747,0.013428,[18 55] ; [32 94],[18.34170854 54.65829146] ; [31.65829146 94.34170854],0
p6,1,0.941869,0.005318,[10 61] ; [ 17 107],[ 9.83076923 61.16923077] ; [ 17.16923077 106.83076923],0
p8,1,0.978842,0.000703,[20 54] ; [34 91],[20.08040201 53.91959799] ; [33.91959799 91.08040201],0
