Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,23.620005,[46  4] ; [4 9],[39.68253968 10.31746032] ; [10.31746032  2.68253968],1
r2,1,6e-06,20.365962,[49  1] ; [7 6],[44.44444444  5.55555556] ; [11.55555556  1.44444444],1
b4,1,0.021528,5.283517,[33 17] ; [4 9],[29.36507937 20.63492063] ; [7.63492063 5.36507937],0
v4,1,0.03066,4.6719,[45  4] ; [9 4],[42.67741935  6.32258065] ; [11.32258065  1.67741935],0
r3,1,0.061674,3.491781,[47  3] ; [10  3],[45.23809524  4.76190476] ; [11.76190476  1.23809524],0
p2,1,0.078218,3.101538,[36 14] ; [6 7],[33.33333333 16.66666667] ; [8.66666667 4.33333333],0
a5,1,0.158384,1.98959,[37 13] ; [7 6],[34.92063492 15.07936508] ; [9.07936508 3.92063492],0
v3,1,0.193276,1.692465,[25 24] ; [4 9],[22.91935484 26.08064516] ; [6.08064516 6.91935484],0
a6,1,0.2107,1.566612,[29 21] ; [10  3],[30.95238095 19.04761905] ; [8.04761905 4.95238095],0
u3,1,0.222969,1.48516,[10  7] ; [1 3],[8.9047619 8.0952381] ; [2.0952381 1.9047619],0
n4,1,0.22446,1.475628,[39 11] ; [8 5],[37.3015873 12.6984127] ; [9.6984127 3.3015873],0
n3,1,0.262193,1.257143,[12  4] ; [3 3],[10.90909091  5.09090909] ; [4.09090909 1.90909091],0
n1,1,0.269004,1.221818,[6 9] ; [4 2],[7.14285714 7.85714286] ; [2.85714286 3.14285714],0
a4,1,0.295877,1.092685,[23 26] ; [4 9],[21.33870968 27.66129032] ; [5.66129032 7.33870968],0
d4,1,0.351888,0.866637,[36 14] ; [11  2],[37.3015873 12.6984127] ; [9.6984127 3.3015873],0
n5,1,0.368803,0.807692,[30 20] ; [6 7],[28.57142857 21.42857143] ; [7.42857143 5.57142857],0
d2,1,0.384387,0.756625,[26 24] ; [5 8],[24.6031746 25.3968254] ; [6.3968254 6.6031746],0
s8,1,0.384901,0.754991,[13 35] ; [ 2 11],[11.80327869 36.19672131] ; [3.19672131 9.80327869],0
d3,1,0.451004,0.568127,[33 17] ; [10  3],[34.12698413 15.87301587] ; [8.87301587 4.12698413],0
s5,1,0.46458,0.534838,[12 36] ; [ 2 11],[11.01639344 36.98360656] ; [ 2.98360656 10.01639344],0
b5,1,0.50183,0.451065,[32 18] ; [7 6],[30.95238095 19.04761905] ; [8.04761905 4.95238095],0
s3,1,0.565401,0.330438,[27 22] ; [6 7],[26.08064516 22.91935484] ; [6.91935484 6.08064516],0
s1,1,0.599793,0.275308,[ 5 44] ; [ 2 11],[ 5.53225806 43.46774194] ; [ 1.46774194 11.53225806],0
p7,1,0.607826,0.263352,[26 22] ; [6 7],[25.18032787 22.81967213] ; [6.81967213 6.18032787],0
d5,1,0.622544,0.242308,[35 15] ; [10  3],[35.71428571 14.28571429] ; [9.28571429 3.71428571],0
b1,1,0.626046,0.237462,[27 23] ; [8 5],[27.77777778 22.22222222] ; [7.22222222 5.77777778],0
u2,1,0.659528,0.194098,[8 9] ; [1 2],[7.65 9.35] ; [1.35 1.65],0
p10,1,0.683591,0.166112,[10 39] ; [ 2 11],[ 9.48387097 39.51612903] ; [ 2.51612903 10.48387097],0
v2,1,0.728809,0.120208,[29 20] ; [7 6],[28.4516129 20.5483871] ; [7.5483871 5.4516129],0
s2,1,0.732327,0.116985,[21 27] ; [5 8],[20.45901639 27.54098361] ; [5.54098361 7.45901639],0
b3,1,0.73568,0.11396,[10 22] ; [3 5],[10.4 21.6] ; [2.6 5.4],0
b2,1,0.73568,0.11396,[10 22] ; [3 5],[10.4 21.6] ; [2.6 5.4],0
p4,1,0.787456,0.072692,[21 29] ; [6 7],[21.42857143 28.57142857] ; [5.57142857 7.42857143],0
p3,1,0.814847,0.054839,[19 31] ; [5 7],[19.35483871 30.64516129] ; [4.64516129 7.35483871],0
p1,1,0.823597,0.049694,[ 3 47] ; [ 1 12],[ 3.17460317 46.82539683] ; [ 0.82539683 12.17460317],0
a3,1,0.825762,0.048462,[33 17] ; [9 4],[33.33333333 16.66666667] ; [8.66666667 4.33333333],0
a2,1,0.829218,0.046528,[13 37] ; [ 3 10],[12.6984127 37.3015873] ; [3.3015873 9.6984127],0
n2,1,0.860503,0.030882,[12  3] ; [5 1],[12.14285714  2.85714286] ; [4.85714286 1.14285714],0
a7,1,0.869554,0.02697,[32 18] ; [8 5],[31.74603175 18.25396825] ; [8.25396825 4.74603175],0
p11,1,0.905486,0.014098,[26 24] ; [7 6],[26.19047619 23.80952381] ; [6.80952381 6.19047619],0
d1,1,0.905486,0.014098,[24 26] ; [6 7],[23.80952381 26.19047619] ; [6.19047619 6.80952381],0
p6,1,0.907674,0.01345,[11 36] ; [3 9],[11.15254237 35.84745763] ; [2.84745763 9.15254237],0
s4,1,0.920351,0.009998,[ 7 42] ; [ 2 11],[ 7.11290323 41.88709677] ; [ 1.88709677 11.11290323],0
s7,1,0.920439,0.009976,[18 27] ; [5 8],[17.84482759 27.15517241] ; [5.15517241 7.84482759],0
p8,1,0.932318,0.007213,[16 34] ; [4 9],[15.87301587 34.12698413] ; [4.12698413 8.87301587],0
n6,1,0.932318,0.007213,[34 16] ; [9 4],[34.12698413 15.87301587] ; [8.87301587 4.12698413],0
u1,1,0.956862,0.002926,[ 8 42] ; [ 2 11],[ 7.93650794 42.06349206] ; [ 2.06349206 10.93650794],0
s6,1,0.983587,0.000423,[26 22] ; [7 6],[25.96721311 22.03278689] ; [7.03278689 5.96721311],0
