Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.007078,7.25306,[24 17] ; [ 62 112],[16.4 24.6] ; [ 69.6 104.4],0
b1,1,0.0086,6.904059,[26 15] ; [ 73 106],[18.45 22.55] ; [80.55 98.45],0
p5,1,0.029529,4.736484,[10 31] ; [ 20 156],[ 5.66820276 35.33179724] ; [ 24.33179724 151.66820276],0
n4,1,0.046493,3.963637,[36  5] ; [130  48],[31.07762557  9.92237443] ; [134.92237443  43.07762557],0
a7,1,0.078304,3.099766,[21 20] ; [118  61],[25.90454545 15.09545455] ; [113.09545455  65.90454545],0
p3,1,0.116107,2.469064,[24 17] ; [80 98],[19.47031963 21.52968037] ; [84.52968037 93.47031963],0
a3,1,0.127287,2.32528,[32  9] ; [117  61],[27.89497717 13.10502283] ; [121.10502283  56.89497717],0
s6,1,0.130249,2.289529,[36  5] ; [135  40],[32.45833333  8.54166667] ; [138.54166667  36.45833333],0
s7,1,0.146233,2.111111,[26 12] ; [95 76],[22. 16.] ; [99. 72.],0
d5,1,0.173976,1.848342,[33  7] ; [129  50],[29.5890411 10.4109589] ; [132.4109589  46.5890411],0
r4,1,0.191157,1.70868,[38  3] ; [152  27],[35.40909091  5.59090909] ; [154.59090909  24.40909091],0
u1,1,0.202014,1.627755,[ 9 32] ; [ 25 154],[ 6.33636364 34.66363636] ; [ 27.66363636 151.33636364],0
n6,1,0.216919,1.524636,[35  6] ; [137  42],[32.05454545  8.94545455] ; [139.94545455  39.05454545],0
a4,1,0.227704,1.455149,[22 19] ; [ 77 101],[18.53424658 22.46575342] ; [80.46575342 97.53424658],0
v4,1,0.251006,1.317696,[40  1] ; [165  13],[38.37899543  2.62100457] ; [166.62100457  11.37899543],0
p12,1,0.255056,1.295393,[ 4 37] ; [  9 168],[ 2.44495413 38.55504587] ; [ 10.55504587 166.44495413],0
r1,1,0.265497,1.239864,[34  7] ; [133  45],[31.26484018  9.73515982] ; [135.73515982  42.26484018],0
r3,1,0.337932,0.918259,[39  2] ; [161  17],[37.44292237  3.55707763] ; [162.55707763  15.44292237],0
d1,1,0.373347,0.792493,[24 17] ; [91 88],[21.43181818 19.56818182] ; [93.56818182 85.43181818],0
a5,1,0.393636,0.727679,[29 12] ; [114  65],[26.65 14.35] ; [116.35  62.65],0
s2,1,0.396326,0.719444,[32  9] ; [128  51],[29.81818182 11.18181818] ; [130.18181818  48.81818182],0
p2,1,0.425537,0.634974,[33  8] ; [153  26],[34.66363636  6.33636364] ; [151.33636364  27.66363636],0
b4,1,0.449365,0.572254,[20 21] ; [99 80],[22.17727273 18.82272727] ; [96.82272727 82.17727273],0
p4,1,0.456223,0.555144,[27 14] ; [106  72],[24.89954338 16.10045662] ; [108.10045662  69.89954338],0
d3,1,0.470161,0.521597,[29 12] ; [116  63],[27.02272727 13.97727273] ; [117.97727273  61.02272727],0
n1,1,0.478271,0.502803,[5 3] ; [25 26],[4.06779661 3.93220339] ; [25.93220339 25.06779661],0
p9,1,0.503596,0.447351,[30 10] ; [142  36],[31.55963303  8.44036697] ; [140.44036697  37.55963303],0
u2,1,0.52551,0.403065,[4 5] ; [34 27],[4.88571429 4.11428571] ; [33.11428571 27.88571429],0
a8,1,0.536173,0.382678,[ 4 33] ; [ 25 145],[ 5.18357488 31.81642512] ; [ 23.81642512 146.18357488],0
a2,1,0.543405,0.369265,[10 31] ; [ 36 143],[ 8.57272727 32.42727273] ; [ 37.42727273 141.57272727],0
s8,1,0.559239,0.341023,[22 19] ; [87 92],[20.31363636 20.68636364] ; [88.68636364 90.31363636],0
p8,1,0.56546,0.330339,[18 23] ; [87 91],[19.65753425 21.34246575] ; [85.34246575 92.65753425],0
p1,1,0.583668,0.300342,[ 3 38] ; [ 18 160],[ 3.93150685 37.06849315] ; [ 17.06849315 160.93150685],0
a6,1,0.599972,0.275038,[27 14] ; [110  69],[25.53181818 15.46818182] ; [111.46818182  67.53181818],0
d4,1,0.602222,0.271657,[30 10] ; [141  38],[31.23287671  8.76712329] ; [139.76712329  39.23287671],0
p10,1,0.619738,0.246236,[30 11] ; [136  41],[31.22018349  9.77981651] ; [134.77981651  42.22018349],0
r2,1,0.648818,0.207394,[39  2] ; [164  12],[38.35483871  2.64516129] ; [164.64516129  11.35483871],0
n5,1,0.655632,0.198873,[32  9] ; [133  45],[30.89041096 10.10958904] ; [134.10958904  43.89041096],0
u3,1,0.661873,0.191257,[6 3] ; [36 25],[5.4 3.6] ; [36.6 24.4],0
p11,1,0.697244,0.151355,[31 10] ; [130  49],[30.00454545 10.99545455] ; [130.99545455  48.00454545],0
p7,1,0.742305,0.108111,[26 14] ; [107  65],[25.09433962 14.90566038] ; [107.90566038  64.09433962],0
p6,1,0.764299,0.089904,[16 25] ; [ 65 113],[15.16438356 25.83561644] ; [ 65.83561644 112.16438356],0
s1,1,0.795285,0.067316,[ 3 38] ; [ 11 166],[ 2.63302752 38.36697248] ; [ 11.36697248 165.63302752],0
s4,1,0.796957,0.066197,[12 29] ; [ 48 128],[11.33640553 29.66359447] ; [ 48.66359447 127.33640553],0
s5,1,0.799656,0.064411,[17 24] ; [ 68 105],[16.28504673 24.71495327] ; [ 68.71495327 104.28504673],0
n3,1,0.816949,0.053579,[5 3] ; [34 17],[5.28813559 2.71186441] ; [33.71186441 17.28813559],0
d2,1,0.83025,0.045959,[20 21] ; [84 95],[19.38181818 21.61818182] ; [84.61818182 94.38181818],0
b2,1,0.858155,0.031942,[10 19] ; [36 74],[ 9.5971223 19.4028777] ; [36.4028777 73.5971223],0
b3,1,0.858155,0.031942,[10 19] ; [36 74],[ 9.5971223 19.4028777] ; [36.4028777 73.5971223],0
b5,1,0.917746,0.010665,[23 18] ; [102  77],[23.29545455 17.70454545] ; [101.70454545  77.29545455],0
n2,1,0.92757,0.008263,[6 2] ; [39 12],[6.10169492 1.89830508] ; [38.89830508 12.10169492],0
a1,1,0.968316,0.001578,[ 2 39] ; [  9 170],[ 2.05 38.95] ; [  8.95 170.05],0
