Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,2.2e-05,18.026147,[45 15] ; [12 26],[34.89795918 25.10204082] ; [22.10204082 15.89795918],1
a7,1,0.015749,5.830632,[24 35] ; [25 13],[29.80412371 29.19587629] ; [19.19587629 18.80412371],0
n1,1,0.018422,5.555556,[16 14] ; [ 4 16],[12. 18.] ; [ 8. 12.],0
r3,1,0.019353,5.469318,[21 37] ; [23 15],[26.58333333 31.41666667] ; [17.41666667 20.58333333],0
d4,1,0.028011,4.82741,[32 27] ; [29  9],[37.10309278 21.89690722] ; [23.89690722 14.10309278],0
p2,1,0.044367,4.042553,[24 33] ; [24 14],[28.8 28.2] ; [19.2 18.8],0
a1,1,0.048741,3.884246,[ 9 51] ; [ 1 37],[ 6.12244898 53.87755102] ; [ 3.87755102 34.12244898],0
n2,1,0.049465,3.859509,[19 11] ; [ 7 13],[15.6 14.4] ; [10.4  9.6],0
p5,1,0.066538,3.366418,[ 8 50] ; [ 1 37],[ 5.4375 52.5625] ; [ 3.5625 34.4375],0
s4,1,0.093357,2.815517,[10 50] ; [ 2 36],[ 7.34693878 52.65306122] ; [ 4.65306122 33.34693878],0
b4,1,0.112031,2.525332,[33 27] ; [27 11],[36.73469388 23.26530612] ; [23.26530612 14.73469388],0
v2,1,0.133392,2.252581,[15 43] ; [15 22],[18.31578947 39.68421053] ; [11.68421053 25.31578947],0
p6,1,0.136601,2.215836,[ 9 48] ; [ 2 34],[ 6.74193548 50.25806452] ; [ 4.25806452 31.74193548],0
d2,1,0.144086,2.133772,[27 31] ; [12 26],[23.5625 34.4375] ; [15.4375 22.5625],0
a6,1,0.201963,1.628123,[30 30] ; [14 24],[26.93877551 33.06122449] ; [17.06122449 20.93877551],0
r1,1,0.210799,1.565928,[15 45] ; [14 24],[17.75510204 42.24489796] ; [11.24489796 26.75510204],0
a5,1,0.213524,1.547368,[33 27] ; [16 22],[30. 30.] ; [19. 19.],0
b5,1,0.213524,1.547368,[27 33] ; [22 16],[30. 30.] ; [19. 19.],0
d3,1,0.214574,1.540295,[25 34] ; [21 17],[27.97938144 31.02061856] ; [18.02061856 19.97938144],0
s5,1,0.23431,1.414503,[ 5 55] ; [ 6 31],[ 6.80412371 53.19587629] ; [ 4.19587629 32.80412371],0
n6,1,0.248356,1.332531,[35 24] ; [18 20],[32.2371134 26.7628866] ; [20.7628866 17.2371134],0
s3,1,0.287572,1.130952,[10 50] ; [ 9 26],[12. 48.] ; [ 7. 28.],0
r2,1,0.3832,0.76041,[35 24] ; [17 17],[32.98924731 26.01075269] ; [19.01075269 14.98924731],0
v4,1,0.42377,0.639836,[34 26] ; [24 13],[35.87628866 24.12371134] ; [22.12371134 14.87628866],0
v1,1,0.457885,0.551059,[17 42] ; [13 23],[18.63157895 40.36842105] ; [11.36842105 24.63157895],0
s6,1,0.465321,0.533065,[12 48] ; [10 28],[13.46938776 46.53061224] ; [ 8.53061224 29.46938776],0
s7,1,0.514677,0.424547,[13 44] ; [ 6 29],[11.77173913 45.22826087] ; [ 7.22826087 27.77173913],0
p10,1,0.520116,0.413664,[29 29] ; [16 21],[27.47368421 30.52631579] ; [17.52631579 19.47368421],0
p4,1,0.544104,0.367986,[17 41] ; [ 9 29],[15.70833333 42.29166667] ; [10.29166667 27.70833333],0
p1,1,0.547814,0.361248,[ 7 53] ; [ 3 35],[ 6.12244898 53.87755102] ; [ 3.87755102 34.12244898],0
s8,1,0.547814,0.361248,[ 7 53] ; [ 3 35],[ 6.12244898 53.87755102] ; [ 3.87755102 34.12244898],0
u1,1,0.565286,0.330634,[ 5 55] ; [ 2 36],[ 4.28571429 55.71428571] ; [ 2.71428571 35.28571429],0
u2,1,0.576347,0.312177,[10 16] ; [8 9],[10.88372093 15.11627907] ; [7.11627907 9.88372093],0
p9,1,0.586435,0.295947,[31 26] ; [18 19],[29.71276596 27.28723404] ; [19.28723404 17.71276596],0
