Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,1e-06,23.795154,[43 18] ; [38 80],[27.60335196 33.39664804] ; [53.39664804 64.60335196],1
p6,1,5.7e-05,16.210695,[27 31] ; [21 97],[15.81818182 42.18181818] ; [32.18181818 85.81818182],1
p2,1,0.001292,10.354198,[50 11] ; [69 50],[40.32777778 20.67222222] ; [78.67222222 40.32777778],0
p4,1,0.001618,9.939635,[36 25] ; [41 78],[26.09444444 34.90555556] ; [50.90555556 68.09444444],0
d3,1,0.01491,5.927124,[45 16] ; [65 53],[37.48603352 23.51396648] ; [72.51396648 45.48603352],0
p1,1,0.030167,4.699729,[ 7 53] ; [  4 114],[ 3.70786517 56.29213483] ; [  7.29213483 110.70786517],0
s8,1,0.037571,4.324358,[22 38] ; [26 92],[16.17977528 43.82022472] ; [31.82022472 86.17977528],0
p5,1,0.080294,3.058945,[ 5 56] ; [  3 116],[ 2.71111111 58.28888889] ; [  5.28888889 113.71111111],0
n1,1,0.094124,2.802391,[8 6] ; [17 35],[5.3030303 8.6969697] ; [19.6969697 32.3030303],0
p3,1,0.106411,2.606733,[26 35] ; [36 82],[21.12849162 39.87150838] ; [40.87150838 77.12849162],0
s3,1,0.111938,2.526644,[34 27] ; [51 67],[28.96648045 32.03351955] ; [56.03351955 61.96648045],0
s6,1,0.139774,2.180447,[36 24] ; [57 61],[31.34831461 28.65168539] ; [61.65168539 56.34831461],0
d1,1,0.154658,2.025698,[34 27] ; [53 66],[29.48333333 31.51666667] ; [57.51666667 61.48333333],0
v2,1,0.154832,2.023984,[32 29] ; [47 67],[27.53714286 33.46285714] ; [51.46285714 62.53714286],0
a4,1,0.158328,1.990121,[21 40] ; [54 65],[25.41666667 35.58333333] ; [49.58333333 69.41666667],0
n3,1,0.16015,1.97281,[8 7] ; [37 14],[10.22727273  4.77272727] ; [34.77272727 16.22727273],0
s7,1,0.216804,1.525403,[24 36] ; [34 77],[20.35087719 39.64912281] ; [37.64912281 73.35087719],0
d5,1,0.232011,1.428491,[48 13] ; [83 35],[44.6424581 16.3575419] ; [86.3575419 31.6424581],0
s2,1,0.274698,1.193135,[25 35] ; [39 78],[21.69491525 38.30508475] ; [42.30508475 74.69491525],0
a6,1,0.302793,1.061855,[39 22] ; [66 52],[35.78212291 25.21787709] ; [69.21787709 48.78212291],0
u3,1,0.304448,1.054608,[13 15] ; [27 19],[15.13513514 12.86486486] ; [24.86486486 21.13513514],0
a3,1,0.316288,1.004237,[33 28] ; [73 45],[36.12290503 24.87709497] ; [69.87709497 48.12290503],0
a7,1,0.320889,0.98532,[42 19] ; [73 46],[38.97222222 22.02777778] ; [76.02777778 42.97222222],0
s1,1,0.345218,0.890958,[ 2 58] ; [  8 110],[ 3.37078652 56.62921348] ; [  6.62921348 111.37078652],0
n6,1,0.351444,0.868237,[44 17] ; [77 41],[41.23463687 19.76536313] ; [79.76536313 38.23463687],0
u4,1,0.396437,0.719107,[ 3 58] ; [  3 116],[ 2.03333333 58.96666667] ; [  3.96666667 115.03333333],0
p9,1,0.403601,0.697571,[25 34] ; [42 75],[22.46022727 36.53977273] ; [44.53977273 72.46022727],0
b2,1,0.426089,0.63346,[ 9 28] ; [24 52],[10.80530973 26.19469027] ; [22.19469027 53.80530973],0
b3,1,0.426089,0.63346,[ 9 28] ; [24 52],[10.80530973 26.19469027] ; [22.19469027 53.80530973],0
u2,1,0.429231,0.624904,[11 17] ; [21 22],[12.61971831 15.38028169] ; [19.38028169 23.61971831],0
d2,1,0.462491,0.53986,[28 33] ; [61 57],[30.32960894 30.67039106] ; [58.67039106 59.32960894],0
v3,1,0.520424,0.413053,[18 41] ; [29 83],[16.21637427 42.78362573] ; [30.78362573 81.21637427],0
n5,1,0.530431,0.393566,[33 28] ; [58 60],[31.01117318 29.98882682] ; [59.98882682 58.01117318],0
v4,1,0.552072,0.353618,[56  5] ; [105  13],[54.86592179  6.13407821] ; [106.13407821  11.86592179],0
a1,1,0.586873,0.295255,[ 2 59] ; [  6 113],[ 2.71111111 58.28888889] ; [  5.28888889 113.71111111],0
r1,1,0.607133,0.26437,[46 14] ; [87 32],[44.58100559 15.41899441] ; [88.41899441 30.58100559],0
s4,1,0.641403,0.216912,[ 7 52] ; [ 17 101],[ 8. 51.] ; [ 16. 102.],0
p11,1,0.643406,0.214315,[34 27] ; [62 57],[32.53333333 28.46666667] ; [63.46666667 55.53333333],0
b5,1,0.655815,0.198647,[41 20] ; [76 43],[39.65 21.35] ; [77.35 41.65],0
n2,1,0.657621,0.196426,[11  4] ; [35 17],[10.29850746  4.70149254] ; [35.70149254 16.29850746],0
u1,1,0.707769,0.140515,[10 51] ; [ 17 102],[ 9.15 51.85] ; [ 17.85 101.15],0
a5,1,0.730147,0.118977,[37 24] ; [69 50],[35.92222222 25.07777778] ; [70.07777778 48.92222222],0
a2,1,0.752807,0.099187,[13 48] ; [23 96],[12.2 48.8] ; [23.8 95.2],0
