Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,59.269704,[106  12] ; [ 6 22],[90.52054795 27.47945205] ; [21.47945205  6.52054795],1
p10,1,0.0,30.445759,[94 20] ; [ 8 19],[82.46808511 31.53191489] ; [19.53191489  7.46808511],1
v4,1,0.0,26.979496,[110   7] ; [16 12],[101.66896552  15.33103448] ; [24.33103448  3.66896552],1
p9,1,0.0,26.419772,[98 18] ; [ 9 16],[88.02836879 27.97163121] ; [18.97163121  6.02836879],1
p11,1,1e-06,24.592713,[94 24] ; [ 9 19],[83.24657534 34.75342466] ; [19.75342466  8.24657534],1
n6,1,2e-06,23.142012,[103  15] ; [13 15],[93.75342466 24.24657534] ; [22.24657534  5.75342466],1
a1,1,4.6e-05,16.615223,[  1 117] ; [ 5 23],[  4.84931507 113.15068493] ; [ 1.15068493 26.84931507],1
p3,1,0.000118,14.828462,[59 57] ; [ 3 25],[49.94444444 66.05555556] ; [12.05555556 15.94444444],1
p2,1,0.000392,12.568512,[90 27] ; [12 16],[82.30344828 34.69655172] ; [19.69655172  8.30344828],1
v2,1,0.000639,11.657822,[53 57] ; [ 3 23],[45.29411765 64.70588235] ; [10.70588235 15.29411765],1
p4,1,0.000882,11.059564,[66 51] ; [ 6 22],[58.09655172 58.90344828] ; [13.90344828 14.09655172],1
p7,1,0.000945,10.931555,[72 42] ; [ 8 20],[64.22535211 49.77464789] ; [15.77464789 12.22535211],1
s6,1,0.001568,9.997469,[72 42] ; [ 8 19],[64.68085106 49.31914894] ; [15.31914894 11.68085106],0
r1,1,0.002529,9.11966,[81 35] ; [11 17],[74.11111111 41.88888889] ; [17.88888889 10.11111111],0
s3,1,0.004486,8.075659,[62 53] ; [ 6 20],[55.46099291 59.53900709] ; [12.53900709 13.46099291],0
n3,1,0.005161,7.822222,[22  2] ; [11  9],[18.  6.] ; [15.  5.],0
d5,1,0.006864,7.30814,[63 55] ; [ 7 21],[56.57534247 61.42465753] ; [13.42465753 14.57534247],0
r2,1,0.006928,7.29154,[106  11] ; [20  8],[101.66896552  15.33103448] ; [24.33103448  3.66896552],0
a7,1,0.012016,6.308435,[73 45] ; [10 18],[67.08219178 50.91780822] ; [15.91780822 12.08219178],0
u3,1,0.016234,5.777346,[28 31] ; [ 2 13],[23.91891892 35.08108108] ; [6.08108108 8.91891892],0
p8,1,0.019516,5.454696,[55 59] ; [ 6 20],[49.67142857 64.32857143] ; [11.32857143 14.67142857],0
s8,1,0.02354,5.128205,[44 73] ; [ 4 23],[39. 78.] ; [ 9. 18.],0
b3,1,0.038502,4.282703,[16 53] ; [ 9 10],[19.60227273 49.39772727] ; [ 5.39772727 13.60227273],0
b2,1,0.038502,4.282703,[16 53] ; [ 9 10],[19.60227273 49.39772727] ; [ 5.39772727 13.60227273],0
n2,1,0.046243,3.972737,[21  3] ; [13  8],[18.13333333  5.86666667] ; [15.86666667  5.13333333],0
v1,1,0.054796,3.688273,[56 59] ; [ 8 20],[51.46853147 63.53146853] ; [12.53146853 15.46853147],0
b5,1,0.066636,3.364011,[69 49] ; [11 17],[64.65753425 53.34246575] ; [15.34246575 12.65753425],0
n1,1,0.072006,3.236689,[ 8 15] ; [13  8],[10.97727273 12.02272727] ; [10.02272727 10.97727273],0
s2,1,0.093936,2.8056,[44 71] ; [ 6 22],[40.20979021 74.79020979] ; [ 9.79020979 18.20979021],0
s7,1,0.121428,2.39881,[47 61] ; [ 7 19],[43.52238806 64.47761194] ; [10.47761194 15.52238806],0
a8,1,0.139663,2.181664,[15 92] ; [ 1 26],[12.7761194 94.2238806] ; [ 3.2238806 23.7761194],0
b1,1,0.159394,1.979968,[46 72] ; [15 13],[49.30136986 68.69863014] ; [11.69863014 16.30136986],0
a6,1,0.159394,1.979968,[72 46] ; [13 15],[68.69863014 49.30136986] ; [16.30136986 11.69863014],0
s5,1,0.174472,1.844095,[30 83] ; [ 4 24],[27.24822695 85.75177305] ; [ 6.75177305 21.24822695],0
u2,1,0.220318,1.502298,[26 33] ; [ 4 11],[23.91891892 35.08108108] ; [6.08108108 8.91891892],0
d3,1,0.263362,1.250997,[33 84] ; [ 5 23],[30.66206897 86.33793103] ; [ 7.33793103 20.66206897],0
d2,1,0.27237,1.204772,[30 88] ; [10 18],[32.32876712 85.67123288] ; [ 7.67123288 20.32876712],0
s1,1,0.294952,1.096878,[  6 107] ; [ 3 25],[  7.21276596 105.78723404] ; [ 1.78723404 26.21276596],0
p6,1,0.31116,1.025747,[37 78] ; [ 6 21],[34.82394366 80.17605634] ; [ 8.17605634 18.82394366],0
v3,1,0.350581,0.871352,[41 75] ; [ 7 20],[38.93706294 77.06293706] ; [ 9.06293706 17.93706294],0
a5,1,0.686143,0.163292,[64 54] ; [14 14],[63.04109589 54.95890411] ; [14.95890411 13.04109589],0
d1,1,0.736152,0.113538,[  6 112] ; [ 1 27],[  5.65753425 112.34246575] ; [ 1.34246575 26.65753425],0
b4,1,0.795433,0.067217,[60 58] ; [15 13],[60.61643836 57.38356164] ; [14.38356164 13.61643836],0
a2,1,0.817582,0.053203,[ 10 108] ; [ 2 26],[  9.69863014 108.30136986] ; [ 2.30136986 25.69863014],0
p12,1,0.827847,0.047291,[  7 109] ; [ 2 26],[  7.25 108.75] ; [ 1.75 26.25],0
p1,1,0.836485,0.042597,[ 15 102] ; [ 4 24],[ 15.33103448 101.66896552] ; [ 3.66896552 24.33103448],0
p5,1,0.889841,0.019184,[ 14 102] ; [ 3 24],[ 13.79020979 102.20979021] ; [ 3.20979021 23.79020979],0
s4,1,0.892718,0.018189,[22 94] ; [ 5 23],[21.75 94.25] ; [ 5.25 22.75],0
n4,1,0.923499,0.009221,[97 20] ; [23  5],[96.82758621 20.17241379] ; [23.17241379  4.82758621],0
a4,1,0.951715,0.003667,[31 86] ; [ 7 20],[30.875 86.125] ; [ 7.125 19.875],0
a3,1,1.0,0.0,[59 59] ; [13 13],[59. 59.] ; [13. 13.],0
