Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,101.665709,[  6 105] ; [187 119],[51.37410072 59.62589928] ; [141.62589928 164.37410072],1
d4,1,0.0,66.003157,[53 57] ; [264  41],[84.02409639 25.97590361] ; [232.97590361  72.02409639],1
d3,1,0.0,36.750622,[43 68] ; [218  88],[69.47482014 41.52517986] ; [191.52517986 114.47482014],1
a5,1,0.0,33.269925,[47 64] ; [223  83],[71.8705036 39.1294964] ; [198.1294964 107.8705036],1
a7,1,1e-06,24.26365,[55 55] ; [230  75],[75.54216867 34.45783133] ; [209.45783133  95.54216867],1
a3,1,8e-06,19.911082,[46 62] ; [205 101],[65.47826087 42.52173913] ; [185.52173913 120.47826087],1
d2,1,1e-05,19.519974,[24 87] ; [138 165],[43.43478261 67.56521739] ; [118.56521739 184.43478261],1
a4,1,8.6e-05,15.429185,[24 86] ; [131 174],[41.08433735 68.91566265] ; [113.91566265 191.08433735],1
a2,1,0.000171,14.12116,[  5 106] ; [ 60 246],[17.30215827 93.69784173] ; [ 47.69784173 258.30215827],1
a6,1,0.000178,14.049814,[56 55] ; [215  91],[72.13669065 38.86330935] ; [198.86330935 107.13669065],1
r4,1,0.0002,13.828838,[71 40] ; [249  57],[85.17985612 25.82014388] ; [234.82014388  71.17985612],1
p2,1,0.000215,13.692628,[64 47] ; [231  72],[79.0942029 31.9057971] ; [215.9057971  87.0942029],1
r3,1,0.000237,13.511778,[84 25] ; [276  28],[95.01210654 13.98789346] ; [264.98789346  39.01210654],1
v2,1,0.000451,12.308821,[33 71] ; [151 141],[48.32323232 55.67676768] ; [135.67676768 156.32323232],1
r1,1,0.000582,11.831692,[62 48] ; [225  79],[76.25603865 33.74396135] ; [210.74396135  93.25603865],1
r2,1,0.001065,10.710182,[88 22] ; [274  25],[97.3594132 12.6405868] ; [264.6405868  34.3594132],0
p4,1,0.003189,8.69627,[30 78] ; [134 171],[42.88619855 65.11380145] ; [121.11380145 183.88619855],0
u1,1,0.004383,8.117864,[  4 107] ; [ 41 265],[11.97841727 99.02158273] ; [ 33.02158273 272.97841727],0
p10,1,0.006858,7.309723,[61 47] ; [215  89],[72.34951456 35.65048544] ; [203.65048544 100.34951456],0
p3,1,0.007099,7.247816,[24 87] ; [108 196],[35.3060241 75.6939759] ; [ 96.6939759 207.3060241],0
n6,1,0.008345,6.957984,[71 38] ; [237  67],[81.28813559 27.71186441] ; [226.71186441  77.28813559],0
v4,1,0.020605,5.359909,[88 21] ; [270  32],[94.94403893 14.05596107] ; [263.05596107  38.94403893],0
s1,1,0.025358,4.999295,[ 8 99] ; [  8 297],[  4.15533981 102.84466019] ; [ 11.84466019 293.15533981],0
s7,1,0.027959,4.830617,[14 92] ; [ 68 224],[21.83919598 84.16080402] ; [ 60.16080402 231.83919598],0
p7,1,0.065037,3.404045,[38 68] ; [139 162],[46.0982801 59.9017199] ; [130.9017199 170.0982801],0
p11,1,0.066262,3.373271,[69 42] ; [219  87],[76.6618705 34.3381295] ; [211.3381295  94.6618705],0
b1,1,0.094498,2.796025,[48 63] ; [105 201],[40.72661871 70.27338129] ; [112.27338129 193.72661871],0
p8,1,0.095764,2.774709,[32 77] ; [116 187],[39.15533981 69.84466019] ; [108.84466019 194.15533981],0
u3,1,0.121826,2.393692,[26 38] ; [53 47],[30.82926829 33.17073171] ; [48.17073171 51.82926829],0
