Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.000596,11.786973,[ 3 25] ; [23 23],[ 9.83783784 18.16216216] ; [16.16216216 29.83783784],1
a3,1,0.001287,10.360405,[14 14] ; [39  7],[20.05405405  7.94594595] ; [32.94594595 13.05405405],0
p9,1,0.006025,7.542744,[17  9] ; [42  4],[21.30555556  4.69444444] ; [37.69444444  8.30555556],0
p10,1,0.007901,7.055853,[18  9] ; [42  4],[22.19178082  4.80821918] ; [37.80821918  8.19178082],0
d2,1,0.008153,6.99955,[ 7 21] ; [26 20],[12.48648649 15.51351351] ; [20.51351351 25.48648649],0
v1,1,0.008377,6.951013,[ 9 18] ; [30 16],[14.42465753 12.57534247] ; [24.57534247 21.42465753],0
d1,1,0.011828,6.336459,[ 8 20] ; [27 19],[13.24324324 14.75675676] ; [21.75675676 24.24324324],0
p7,1,0.01995,5.416264,[12 13] ; [34 11],[16.42857143  8.57142857] ; [29.57142857 15.42857143],0
v2,1,0.032987,4.546472,[10 17] ; [26 15],[14.29411765 12.70588235] ; [21.70588235 19.29411765],0
u1,1,0.050962,3.809521,[ 1 27] ; [ 9 37],[ 3.78378378 24.21621622] ; [ 6.21621622 39.78378378],0
n3,1,0.061369,3.5,[3 5] ; [15  5],[5.14285714 2.85714286] ; [12.85714286  7.14285714],0
d3,1,0.087701,2.916067,[16 12] ; [35 11],[19.2972973  8.7027027] ; [31.7027027 14.2972973],0
p3,1,0.092717,2.826555,[ 9 19] ; [24 22],[12.48648649 15.51351351] ; [20.51351351 25.48648649],0
p4,1,0.112115,2.524157,[13 15] ; [30 16],[16.27027027 11.72972973] ; [26.72972973 19.27027027],0
a6,1,0.112356,2.520769,[15 13] ; [33 13],[18.16216216  9.83783784] ; [29.83783784 16.16216216],0
p11,1,0.135022,2.233789,[16 12] ; [34 12],[18.91891892  9.08108108] ; [31.08108108 14.91891892],0
u3,1,0.147299,2.1,[12  2] ; [4 3],[10.66666667  3.33333333] ; [5.33333333 1.66666667],0
r4,1,0.18992,1.718241,[21  7] ; [40  6],[23.08108108  4.91891892] ; [37.91891892  8.08108108],0
b5,1,0.225492,1.469075,[13 15] ; [28 18],[15.51351351 12.48648649] ; [25.48648649 20.51351351],0
a7,1,0.2317,1.430392,[24  4] ; [34 12],[21.94594595  6.05405405] ; [36.05405405  9.94594595],0
a8,1,0.266279,1.235817,[ 1 25] ; [ 5 38],[ 2.26086957 23.73913043] ; [ 3.73913043 39.26086957],0
n2,1,0.299328,1.077188,[5 3] ; [17  4],[6.06896552 1.93103448] ; [15.93103448  5.06896552],0
s4,1,0.319602,0.990576,[13 15] ; [16 30],[10.97297297 17.02702703] ; [18.02702703 27.97297297],0
s3,1,0.356131,0.851489,[20  8] ; [28 18],[18.16216216  9.83783784] ; [29.83783784 16.16216216],0
n6,1,0.357843,0.845449,[17 11] ; [32 13],[18.79452055  9.20547945] ; [30.20547945 14.79452055],0
r1,1,0.379535,0.772206,[18 10] ; [34 12],[19.67567568  8.32432432] ; [32.32432432 13.67567568],0
p5,1,0.381789,0.764932,[ 1 27] ; [ 4 41],[ 1.91780822 26.08219178] ; [ 3.08219178 41.91780822],0
b1,1,0.40072,0.706164,[10 18] ; [21 25],[11.72972973 16.27027027] ; [19.27027027 26.72972973],0
p1,1,0.410326,0.677857,[ 2 26] ; [ 6 39],[ 3.06849315 24.93150685] ; [ 4.93150685 40.06849315],0
p2,1,0.41438,0.666199,[23  5] ; [34 12],[21.56756757  6.43243243] ; [35.43243243 10.56756757],0
