Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,141.645803,[41 58] ; [328  23],[81.18 17.82] ; [287.82  63.18],1
n6,1,0.0,55.520359,[65 33] ; [330  21],[86.21380846 11.78619154] ; [308.78619154  42.21380846],1
v1,1,6e-06,20.453082,[37 58] ; [222 121],[56.17579909 38.82420091] ; [202.82420091 140.17579909],1
p4,1,5.3e-05,16.34099,[53 45] ; [263  87],[69.125 28.875] ; [246.875 103.125],1
s7,1,0.000151,14.361387,[34 61] ; [193 141],[50.26806527 44.73193473] ; [176.73193473 157.26806527],1
p11,1,0.000268,13.279762,[70 29] ; [303  48],[82.06 16.94] ; [290.94  60.06],1
p10,1,0.000276,13.228757,[74 24] ; [313  36],[84.84563758 13.15436242] ; [302.15436242  46.84563758],1
v3,1,0.002132,9.432034,[29 65] ; [164 173],[42.09280742 51.90719258] ; [150.90719258 186.09280742],0
a3,1,0.003853,8.35177,[70 29] ; [292  57],[79.99553571 19.00446429] ; [282.00446429  66.99553571],0
p8,1,0.004132,8.22487,[47 50] ; [222 122],[59.16780045 37.83219955] ; [209.83219955 134.16780045],0
s2,1,0.005675,7.650699,[45 54] ; [210 134],[56.98645598 42.01354402] ; [198.01354402 145.98645598],0
p5,1,0.006964,7.282254,[ 5 94] ; [ 54 296],[13.00890869 85.99109131] ; [ 45.99109131 304.00890869],0
p9,1,0.008695,6.884446,[80 18] ; [315  31],[87.18468468 10.81531532] ; [307.81531532  38.18468468],0
a8,1,0.009555,6.71607,[ 5 83] ; [ 51 256],[12.47594937 75.52405063] ; [ 43.52405063 263.47594937],0
p6,1,0.013571,6.093109,[31 65] ; [161 186],[41.60722348 54.39277652] ; [150.39277652 196.60722348],0
s8,1,0.015587,5.848821,[40 59] ; [188 159],[50.60986547 48.39013453] ; [177.39013453 169.60986547],0
p3,1,0.016312,5.76888,[46 53] ; [210 140],[56.4454343 42.5545657] ; [199.5545657 150.4454343],0
u1,1,0.020701,5.351786,[18 81] ; [105 246],[27.06 71.94] ; [ 95.94 255.06],0
d3,1,0.021508,5.285169,[95  4] ; [309  42],[88.88 10.12] ; [315.12  35.88],0
r4,1,0.022601,5.198948,[88 11] ; [334  17],[92.84  6.16] ; [329.16  21.84],0
a4,1,0.026145,4.946388,[47 52] ; [210 140],[56.66592428 42.33407572] ; [200.33407572 149.66592428],0
s6,1,0.028926,4.772,[62 37] ; [252  89],[70.65 28.35] ; [243.35  97.65],0
s5,1,0.032208,4.587409,[28 67] ; [139 195],[36.98135198 58.01864802] ; [130.01864802 203.98135198],0
p12,1,0.033422,4.524054,[ 4 95] ; [ 39 310],[ 9.50223214 89.49776786] ; [ 33.49776786 315.50223214],0
a5,1,0.038238,4.29439,[77 22] ; [303  48],[83.6 15.4] ; [296.4  54.6],0
a2,1,0.051247,3.800187,[27 72] ; [133 218],[35.2 63.8] ; [124.8 226.2],0
s3,1,0.057568,3.60609,[51 47] ; [215 128],[59.11111111 38.88888889] ; [206.88888889 136.11111111],0
b4,1,0.083379,2.997775,[66 33] ; [200 151],[58.52 40.48] ; [207.48 143.52],0
d2,1,0.093092,2.820068,[65 34] ; [259  90],[71.59821429 27.40178571] ; [252.40178571  96.59821429],0
p7,1,0.094402,2.797667,[61 36] ; [246  97],[67.67954545 29.32045455] ; [239.32045455 103.67954545],0
a7,1,0.109514,2.561222,[83 16] ; [267  83],[77.1714922 21.8285078] ; [272.8285078  77.1714922],0
n3,1,0.142401,2.151822,[22  4] ; [41 18],[19.27058824  6.72941176] ; [43.72941176 15.27058824],0
p1,1,0.166119,1.91762,[ 6 92] ; [ 38 313],[ 9.60356347 88.39643653] ; [ 34.39643653 316.60356347],0
r1,1,0.169781,1.884873,[81 17] ; [307  42],[85.06487696 12.93512304] ; [302.93512304  46.06487696],0
n1,1,0.214397,1.541482,[ 6 20] ; [21 36],[ 8.45783133 17.54216867] ; [18.54216867 38.45783133],0
r2,1,0.284682,1.144603,[93  5] ; [336  10],[94.68918919  3.31081081] ; [334.31081081  11.68918919],0
r3,1,0.347869,0.881214,[98  1] ; [338   9],[96.78026906  2.21973094] ; [339.21973094   7.78026906],0
b1,1,0.360768,0.835219,[32 67] ; [131 220],[35.86 63.14] ; [127.14 223.86],0
u2,1,0.37976,0.771479,[20  9] ; [35 24],[18.125 10.875] ; [36.875 22.125],0
a1,1,0.382104,0.763921,[ 3 96] ; [ 18 333],[ 4.62 94.38] ; [ 16.38 334.62],0
b2,1,0.421462,0.646236,[19 35] ; [ 93 133],[21.6 32.4] ; [ 90.4 135.6],0
b3,1,0.421462,0.646236,[19 35] ; [ 93 133],[21.6 32.4] ; [ 90.4 135.6],0
b5,1,0.4549,0.558414,[65 34] ; [216 135],[61.82 37.18] ; [219.18 131.82],0
u3,1,0.466249,0.530851,[20  9] ; [36 23],[18.45454545 10.54545455] ; [37.54545455 21.45454545],0
n2,1,0.536577,0.381921,[17  8] ; [44 15],[18.1547619  6.8452381] ; [42.8452381 16.1547619],0
d4,1,0.613628,0.254925,[98  1] ; [342   6],[97.44966443  1.55033557] ; [342.55033557   5.44966443],0
s4,1,0.654694,0.200033,[18 81] ; [ 56 288],[16.53724605 82.46275395] ; [ 57.46275395 286.53724605],0
v4,1,0.67852,0.171797,[96  3] ; [340   8],[96.56375839  2.43624161] ; [339.43624161   8.56375839],0
s1,1,0.819622,0.051998,[ 3 96] ; [  9 336],[ 2.67567568 96.32432432] ; [  9.32432432 335.67567568],0
d5,1,0.874408,0.024984,[97  2] ; [342   8],[96.79510022  2.20489978] ; [342.20489978   7.79510022],0
