Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,5.4e-05,16.318535,[20  9] ; [14 44],[11.33333333 17.66666667] ; [22.66666667 35.33333333],1
p3,1,0.000478,12.198294,[16 13] ; [11 48],[ 8.89772727 20.10227273] ; [18.10227273 40.89772727],1
p8,1,0.00342,8.568556,[12 17] ; [ 8 51],[ 6.59090909 22.40909091] ; [13.40909091 45.59090909],0
s8,1,0.004997,7.880435,[11 18] ; [ 7 51],[ 6. 23.] ; [12. 46.],0
p6,1,0.005704,7.641452,[11 18] ; [ 7 50],[ 6.06976744 22.93023256] ; [11.93023256 45.06976744],0
d3,1,0.006031,7.541048,[16 13] ; [15 44],[10.21590909 18.78409091] ; [20.78409091 38.21590909],0
p5,1,0.006535,7.396578,[ 5 24] ; [ 1 58],[ 1.97727273 27.02272727] ; [ 4.02272727 54.97727273],0
s2,1,0.01008,6.62069,[15 14] ; [14 44],[ 9.66666667 19.33333333] ; [19.33333333 38.66666667],0
n1,1,0.014234,6.008889,[7 3] ; [ 8 22],[3.75 6.25] ; [11.25 18.75],0
s5,1,0.01449,5.977411,[11 17] ; [ 9 49],[ 6.51162791 21.48837209] ; [13.48837209 44.51162791],0
p7,1,0.017827,5.613112,[17 12] ; [19 40],[11.86363636 17.13636364] ; [24.13636364 34.86363636],0
r3,1,0.018091,5.587294,[26  3] ; [39 20],[21.42045455  7.57954545] ; [43.57954545 15.42045455],0
s7,1,0.023505,5.13081,[12 15] ; [11 43],[ 7.66666667 19.33333333] ; [15.33333333 38.66666667],0
u3,1,0.02673,4.908183,[10  6] ; [ 9 22],[6.46808511 9.53191489] ; [12.53191489 18.46808511],0
n2,1,0.055633,3.663004,[9 1] ; [17 13],[6.5 3.5] ; [19.5 10.5],0
b1,1,0.074726,3.17603,[21  8] ; [31 28],[17.13636364 11.86363636] ; [34.86363636 24.13636364],0
s3,1,0.091651,2.845135,[16 13] ; [21 37],[12.33333333 16.66666667] ; [24.66666667 33.33333333],0
v2,1,0.123664,2.370294,[12 16] ; [15 42],[ 8.89411765 19.10588235] ; [18.10588235 38.89411765],0
v3,1,0.152326,2.048805,[ 9 19] ; [10 45],[ 6.40963855 21.59036145] ; [12.59036145 42.40963855],0
p1,1,0.185249,1.755006,[ 3 26] ; [ 2 57],[ 1.64772727 27.35227273] ; [ 3.35227273 55.64772727],0
r4,1,0.186541,1.744729,[20  9] ; [32 27],[17.13636364 11.86363636] ; [34.86363636 24.13636364],0
p9,1,0.194231,1.68523,[12 17] ; [16 42],[ 9.33333333 19.66666667] ; [18.66666667 39.33333333],0
d5,1,0.197089,1.663817,[18 11] ; [28 31],[15.15909091 13.84090909] ; [30.84090909 28.15909091],0
n5,1,0.223641,1.480851,[13 16] ; [34 24],[15.66666667 13.33333333] ; [31.33333333 26.66666667],0
