Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,1.7e-05,18.515144,[ 71 159] ; [109 105],[ 93.24324324 136.75675676] ; [ 86.75675676 127.24324324],1
v2,1,6.7e-05,15.905734,[109 118] ; [143  71],[129.71428571  97.28571429] ; [122.28571429  91.71428571],1
p9,1,0.001104,10.644164,[168  69] ; [185  36],[182.66593886  54.33406114] ; [170.33406114  50.66593886],0
n5,1,0.00125,10.415664,[151  86] ; [172  50],[166.77777778  70.22222222] ; [156.22222222  65.77777778],0
b3,1,0.001296,10.347932,[ 28 101] ; [58 88],[40.34181818 88.65818182] ; [ 45.65818182 100.34181818],0
b2,1,0.001296,10.347932,[ 28 101] ; [58 88],[40.34181818 88.65818182] ; [ 45.65818182 100.34181818],0
p2,1,0.001996,9.553296,[173  68] ; [186  36],[186.86609071  54.13390929] ; [172.13390929  49.86609071],0
p3,1,0.00308,8.75922,[ 77 163] ; [101 121],[ 92.46753247 147.53246753] ; [ 85.53246753 136.46753247],0
a5,1,0.006684,7.356098,[167  74] ; [179  44],[179.7112069  61.2887931] ; [166.2887931  56.7112069],0
a3,1,0.007933,7.048643,[158  82] ; [171  51],[170.90909091  69.09090909] ; [158.09090909  63.90909091],0
r2,1,0.010269,6.587557,[223  16] ; [217   4],[228.60869565  10.39130435] ; [211.39130435   9.60869565],0
s8,1,0.011639,6.365059,[ 80 160] ; [ 99 122],[ 93.18872017 146.81127983] ; [ 85.81127983 135.18872017],0
p11,1,0.018719,5.527575,[172  69] ; [180  43],[182.82758621  58.17241379] ; [169.17241379  53.82758621],0
s2,1,0.021861,5.256848,[ 94 145] ; [109 109],[106.16411379 132.83588621] ; [ 96.83588621 121.16411379],0
p10,1,0.024281,5.074454,[171  68] ; [178  43],[181.32826087  57.67173913] ; [167.67173913  53.32826087],0
b5,1,0.026671,4.912007,[129 112] ; [142  81],[140.75646552 100.24353448] ; [130.24353448  92.75646552],0
