Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,2e-06,22.541167,[13 88] ; [17 15],[22.78195489 78.21804511] ; [ 7.21804511 24.78195489],1
s6,1,0.00046,12.272348,[34 67] ; [22 10],[42.52631579 58.47368421] ; [13.47368421 18.52631579],1
s2,1,0.000902,11.019576,[25 76] ; [18 14],[32.65413534 68.34586466] ; [10.34586466 21.65413534],1
p10,1,0.003474,8.540182,[47 52] ; [24  7],[54.06923077 44.93076923] ; [16.93076923 14.06923077],0
s3,1,0.009408,6.743764,[38 62] ; [20 11],[44.27480916 55.72519084] ; [13.72519084 17.27480916],0
u3,1,0.02189,5.254516,[20 20] ; [9 1],[23.2 16.8] ; [5.8 4.2],0
p11,1,0.024515,5.057831,[53 48] ; [24  8],[58.47368421 42.52631579] ; [18.52631579 13.47368421],0
v4,1,0.031533,4.623732,[76 25] ; [28  2],[80.18320611 20.81679389] ; [23.81679389  6.18320611],0
a6,1,0.032029,4.596943,[64 37] ; [26  5],[68.86363636 32.13636364] ; [21.13636364  9.86363636],0
d3,1,0.040354,4.202927,[50 50] ; [22  9],[54.96183206 45.03816794] ; [17.03816794 13.96183206],0
p7,1,0.040568,4.193965,[43 55] ; [19 10],[47.84251969 50.15748031] ; [14.15748031 14.84251969],0
v1,1,0.045127,4.013897,[33 66] ; [17 15],[37.78625954 61.21374046] ; [12.21374046 19.78625954],0
n1,1,0.052006,3.775574,[12 25] ; [5 2],[14.29545455 22.70454545] ; [2.70454545 4.29545455],0
s4,1,0.081949,3.025808,[ 8 93] ; [ 6 26],[10.63157895 90.36842105] ; [ 3.36842105 28.63157895],0
r2,1,0.096154,2.768196,[81 19] ; [29  2],[83.96946565 16.03053435] ; [26.03053435  4.96946565],0
r4,1,0.100835,2.692283,[63 38] ; [25  7],[66.82706767 34.17293233] ; [21.17293233 10.82706767],0
p9,1,0.104899,2.629432,[58 42] ; [23  8],[61.83206107 38.16793893] ; [19.16793893 11.83206107],0
p4,1,0.112993,2.511854,[34 65] ; [16 16],[37.78625954 61.21374046] ; [12.21374046 19.78625954],0
p2,1,0.115908,2.471761,[59 40] ; [24  8],[62.72519084 36.27480916] ; [20.27480916 11.72519084],0
v2,1,0.122121,2.389906,[37 58] ; [16 13],[40.60483871 54.39516129] ; [12.39516129 16.60483871],0
n2,1,0.132999,2.257143,[22 15] ; [7 1],[23.84444444 13.15555556] ; [5.15555556 2.84444444],0
d5,1,0.174623,1.842803,[65 36] ; [24  7],[68.09848485 32.90151515] ; [20.90151515 10.09848485],0
u2,1,0.184324,1.762408,[22 19] ; [7 2],[23.78 17.22] ; [5.22 3.78],0
r1,1,0.190767,1.711684,[63 38] ; [24  8],[66.06766917 34.93233083] ; [20.93233083 11.06766917],0
d1,1,0.214112,1.543403,[38 63] ; [16 16],[41.0075188 59.9924812] ; [12.9924812 19.0075188],0
a5,1,0.216412,1.528008,[57 44] ; [22 10],[59.9924812 41.0075188] ; [19.0075188 12.9924812],0
p8,1,0.231631,1.430816,[33 66] ; [14 17],[35.79230769 63.20769231] ; [11.20769231 19.79230769],0
r3,1,0.233421,1.41989,[78 23] ; [27  4],[80.34090909 20.65909091] ; [24.65909091  6.34090909],0
a2,1,0.240401,1.378244,[16 85] ; [ 8 24],[18.22556391 82.77443609] ; [ 5.77443609 26.22556391],0
n4,1,0.242658,1.365083,[48 53] ; [19 13],[50.87969925 50.12030075] ; [16.12030075 15.87969925],0
v3,1,0.250418,1.320969,[24 73] ; [10 18],[26.384 70.616] ; [ 7.616 20.384],0
a1,1,0.346594,0.885889,[ 8 93] ; [ 1 31],[ 6.83458647 94.16541353] ; [ 2.16541353 29.83458647],0
p6,1,0.37362,0.791589,[15 81] ; [ 7 24],[16.62992126 79.37007874] ; [ 5.37007874 25.62992126],0
a3,1,0.374469,0.78878,[60 40] ; [22 10],[62.12121212 37.87878788] ; [19.87878788 12.12121212],0
p5,1,0.38085,0.767956,[ 3 97] ; [ 2 29],[ 3.81679389 96.18320611] ; [ 1.18320611 29.81679389],0
a8,1,0.391738,0.733541,[ 8 87] ; [ 4 25],[ 9.19354839 85.80645161] ; [ 2.80645161 26.19354839],0
b4,1,0.402821,0.699888,[59 42] ; [16 16],[56.95488722 44.04511278] ; [18.04511278 13.95488722],0
a7,1,0.433429,0.613617,[65 36] ; [23  9],[66.82706767 34.17293233] ; [21.17293233 10.82706767],0
b3,1,0.440678,0.594517,[17 42] ; [ 4 16],[15.6835443 43.3164557] ; [ 5.3164557 14.6835443],0
b2,1,0.440678,0.594517,[17 42] ; [ 4 16],[15.6835443 43.3164557] ; [ 5.3164557 14.6835443],0
b1,1,0.494862,0.465938,[53 48] ; [19 13],[54.67669173 46.32330827] ; [17.32330827 14.67669173],0
d4,1,0.533425,0.387863,[69 32] ; [23  8],[70.39393939 30.60606061] ; [21.60606061  9.39393939],0
n3,1,0.548705,0.359642,[23 13] ; [6 2],[23.72727273 12.27272727] ; [5.27272727 2.72727273],0
a4,1,0.578765,0.308235,[37 64] ; [10 22],[35.69172932 65.30827068] ; [11.30827068 20.69172932],0
p3,1,0.582732,0.301838,[26 73] ; [10 22],[27.20610687 71.79389313] ; [ 8.79389313 23.20610687],0
n5,1,0.584468,0.299066,[46 54] ; [16 15],[47.32824427 52.67175573] ; [14.67175573 16.32824427],0
p1,1,0.633914,0.22679,[ 9 92] ; [ 2 30],[ 8.35338346 92.64661654] ; [ 2.64661654 29.35338346],0
