Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a8,1,0.000435,12.375,[ 5 95] ; [11 33],[11.11111111 88.88888889] ; [ 4.88888889 39.11111111],1
p2,1,0.000647,11.636267,[50 61] ; [37 13],[59.98136646 51.01863354] ; [27.01863354 22.98136646],1
s7,1,0.009046,6.813689,[18 85] ; [18 31],[24.39473684 78.60526316] ; [11.60526316 37.39473684],0
s8,1,0.012921,6.179915,[15 96] ; [15 35],[20.68322981 90.31677019] ; [ 9.31677019 40.68322981],0
b5,1,0.031753,4.611763,[60 51] ; [36 14],[66.1863354 44.8136646] ; [29.8136646 20.1863354],0
s3,1,0.041168,4.169093,[39 70] ; [26 23],[44.84177215 64.15822785] ; [20.15822785 28.84177215],0
s6,1,0.068263,3.324313,[45 66] ; [28 22],[50.32919255 60.67080745] ; [22.67080745 27.32919255],0
p11,1,0.070683,3.267084,[43 68] ; [27 23],[48.26086957 62.73913043] ; [21.73913043 28.26086957],0
n3,1,0.081262,3.039474,[22 22] ; [14  5],[25.14285714 18.85714286] ; [10.85714286  8.14285714],0
p7,1,0.089081,2.890909,[32 78] ; [21 28],[36.66666667 73.33333333] ; [16.33333333 32.66666667],0
u3,1,0.095238,2.783533,[26 22] ; [ 6 13],[22.92537313 25.07462687] ; [9.07462687 9.92537313],0
r3,1,0.098624,2.727657,[81 28] ; [43  7],[85.00628931 23.99371069] ; [38.99371069 11.00628931],0
v4,1,0.098624,2.727657,[81 28] ; [43  7],[85.00628931 23.99371069] ; [38.99371069 11.00628931],0
s1,1,0.10037,2.699651,[ 10 100] ; [ 1 49],[  7.5625 102.4375] ; [ 3.4375 46.5625],0
s4,1,0.107589,2.589288,[20 91] ; [ 4 45],[16.65 94.35] ; [ 7.35 41.65],0
r4,1,0.130732,2.283789,[71 40] ; [38 12],[75.14906832 35.85093168] ; [33.85093168 16.14906832],0
n1,1,0.176387,1.827809,[15 32] ; [9 9],[17.35384615 29.64615385] ; [ 6.64615385 11.35384615],0
p12,1,0.181539,1.784984,[  1 109] ; [ 2 48],[  2.0625 107.9375] ; [ 0.9375 49.0625],0
p8,1,0.200825,1.636364,[19 91] ; [13 37],[22. 88.] ; [10. 40.],0
s5,1,0.216499,1.52743,[18 93] ; [12 37],[20.8125 90.1875] ; [ 9.1875 39.8125],0
d2,1,0.219145,1.509959,[56 53] ; [20 29],[52.43037975 56.56962025] ; [23.56962025 25.43037975],0
n2,1,0.228929,1.447501,[24 22] ; [13  6],[26.18461538 19.81538462] ; [10.81538462  8.18461538],0
v1,1,0.248053,1.334235,[37 74] ; [21 28],[40.2375 70.7625] ; [17.7625 31.2375],0
r2,1,0.314899,1.010015,[89 20] ; [44  6],[91.17610063 17.82389937] ; [41.82389937  8.17610063],0
v2,1,0.320726,0.985985,[37 70] ; [21 28],[39.78205128 67.21794872] ; [18.21794872 30.78205128],0
s2,1,0.339707,0.911537,[29 80] ; [17 33],[31.53459119 77.46540881] ; [14.46540881 35.53459119],0
d3,1,0.343538,0.897184,[59 52] ; [30 19],[61.74375 49.25625] ; [27.25625 21.74375],0
b1,1,0.374594,0.788367,[55 56] ; [21 29],[52.39751553 58.60248447] ; [23.60248447 26.39751553],0
a3,1,0.389302,0.741122,[63 47] ; [31 17],[65.44303797 44.55696203] ; [28.55696203 19.44303797],0
u1,1,0.441544,0.592267,[16 95] ; [ 5 45],[14.47826087 96.52173913] ; [ 6.52173913 43.47826087],0
v3,1,0.455136,0.557829,[31 75] ; [11 36],[29.09803922 76.90196078] ; [12.90196078 34.09803922],0
u2,1,0.457495,0.552015,[20 26] ; [ 6 12],[18.6875 27.3125] ; [ 7.3125 10.6875],0
a7,1,0.474142,0.512306,[61 48] ; [31 19],[63.06918239 45.93081761] ; [28.93081761 21.06918239],0
a1,1,0.547267,0.362236,[  8 103] ; [ 5 45],[  8.96273292 102.03726708] ; [ 4.03726708 45.96273292],0
d4,1,0.553225,0.35157,[75 34] ; [36 13],[76.57594937 32.42405063] ; [34.42405063 14.57594937],0
p4,1,0.596781,0.279878,[38 73] ; [15 35],[36.54037267 74.45962733] ; [16.45962733 33.54037267],0
b4,1,0.616568,0.250721,[69 42] ; [29 21],[67.56521739 43.43478261] ; [30.43478261 19.56521739],0
a2,1,0.650327,0.205488,[21 90] ; [11 39],[22.0621118 88.9378882] ; [ 9.9378882 40.0621118],0
p5,1,0.668018,0.18393,[  3 107] ; [ 2 48],[  3.4375 106.5625] ; [ 1.5625 48.4375],0
n6,1,0.685604,0.163885,[63 46] ; [30 19],[64.15822785 44.84177215] ; [28.84177215 20.15822785],0
b3,1,0.689267,0.15988,[18 50] ; [ 8 27],[17.16504854 50.83495146] ; [ 8.83495146 26.16504854],0
b2,1,0.689267,0.15988,[18 50] ; [ 8 27],[17.16504854 50.83495146] ; [ 8.83495146 26.16504854],0
d5,1,0.693836,0.154964,[76 35] ; [32 17],[74.925 36.075] ; [33.075 15.925],0
p1,1,0.695581,0.15311,[  5 105] ; [ 3 47],[  5.5 104.5] ; [ 2.5 47.5],0
d1,1,0.699855,0.148623,[48 63] ; [20 30],[46.88198758 64.11801242] ; [21.11801242 28.88198758],0
n5,1,0.701714,0.146695,[57 53] ; [27 22],[58.11320755 51.88679245] ; [25.88679245 23.11320755],0
a4,1,0.817947,0.052986,[45 65] ; [21 28],[45.66037736 64.33962264] ; [20.33962264 28.66037736],0
n4,1,0.837267,0.042185,[67 43] ; [29 20],[66.41509434 43.58490566] ; [29.58490566 19.41509434],0
p3,1,0.891592,0.018575,[30 81] ; [13 37],[29.64596273 81.35403727] ; [13.35403727 36.64596273],0
r1,1,0.927462,0.008288,[74 36] ; [34 16],[74.25 35.75] ; [33.75 16.25],0
a6,1,0.963745,0.002066,[63 48] ; [28 21],[63.13125 47.86875] ; [27.86875 21.13125],0
a5,1,0.965515,0.001869,[67 44] ; [30 20],[66.8757764 44.1242236] ; [30.1242236 19.8757764],0
