Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.013823,6.060606,[20 28] ; [ 5 27],[15. 33.] ; [10. 22.],0
p3,1,0.056281,3.643719,[16 32] ; [19 16],[20.24096386 27.75903614] ; [14.75903614 20.24096386],0
d1,1,0.061318,3.501363,[22 26] ; [ 9 26],[17.92771084 30.07228916] ; [13.07228916 21.92771084],0
r4,1,0.065918,3.381862,[41  7] ; [24 11],[37.59036145 10.40963855] ; [27.40963855  7.59036145],0
d5,1,0.071112,3.257159,[34 14] ; [18 17],[30.07228916 17.92771084] ; [21.92771084 13.07228916],0
p10,1,0.094052,2.803607,[19 28] ; [ 8 27],[15.47560976 31.52439024] ; [11.52439024 23.47560976],0
r2,1,0.121616,2.39638,[44  4] ; [28  7],[41.63855422  6.36144578] ; [30.36144578  4.63855422],0
r1,1,0.145671,2.117004,[36 12] ; [21 14],[32.96385542 15.03614458] ; [24.03614458 10.96385542],0
n4,1,0.161268,1.962297,[32 16] ; [18 17],[28.91566265 19.08433735] ; [21.08433735 13.91566265],0
p5,1,0.162737,1.948608,[ 1 47] ; [ 3 31],[ 2.34146341 45.65853659] ; [ 1.65853659 32.34146341],0
a8,1,0.171767,1.867454,[ 7 36] ; [ 2 31],[ 5.09210526 37.90789474] ; [ 3.90789474 29.09210526],0
d4,1,0.180941,1.789876,[35 13] ; [20 14],[32.19512195 15.80487805] ; [22.80487805 11.19512195],0
v4,1,0.203604,1.61633,[45  3] ; [29  5],[43.31707317  4.68292683] ; [30.68292683  3.31707317],0
b4,1,0.20607,1.598822,[30 18] ; [17 18],[27.18072289 20.81927711] ; [19.81927711 15.18072289],0
r3,1,0.223397,1.482414,[44  4] ; [29  6],[42.21686747  5.78313253] ; [30.78313253  4.21686747],0
s8,1,0.231414,1.432147,[14 34] ; [ 6 28],[11.70731707 36.29268293] ; [ 8.29268293 25.70731707],0
d2,1,0.244527,1.354306,[24 24] ; [13 22],[21.39759036 26.60240964] ; [15.60240964 19.39759036],0
a5,1,0.255318,1.293967,[28 20] ; [16 19],[25.44578313 22.55421687] ; [18.55421687 16.44578313],0
d3,1,0.28365,1.149517,[29 19] ; [17 18],[26.60240964 21.39759036] ; [19.39759036 15.60240964],0
s2,1,0.290763,1.116085,[22 26] ; [12 23],[19.6626506 28.3373494] ; [14.3373494 20.6626506],0
u2,1,0.295249,1.095532,[14  9] ; [ 8 10],[12.34146341 10.65853659] ; [9.65853659 8.34146341],0
u1,1,0.300921,1.070107,[ 6 42] ; [ 2 33],[ 4.62650602 43.37349398] ; [ 3.37349398 31.62650602],0
a7,1,0.31314,1.017385,[30 18] ; [18 17],[27.75903614 20.24096386] ; [20.24096386 14.75903614],0
v2,1,0.338811,0.914925,[23 24] ; [13 21],[20.88888889 26.11111111] ; [15.11111111 18.88888889],0
