Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.008543,6.916004,[13 10] ; [14 41],[ 7.96153846 15.03846154] ; [19.03846154 35.96153846],0
p4,1,0.027404,4.865174,[14  9] ; [19 37],[ 9.60759494 13.39240506] ; [23.39240506 32.60759494],0
p8,1,0.046333,3.969449,[12 11] ; [16 40],[ 8.15189873 14.84810127] ; [19.84810127 36.15189873],0
v3,1,0.049371,3.862693,[ 9 14] ; [10 45],[ 5.6025641 17.3974359] ; [13.3974359 41.6025641],0
a4,1,0.069972,3.283682,[ 2 21] ; [15 40],[ 5.01282051 17.98717949] ; [11.98717949 43.01282051],0
p7,1,0.070939,3.261156,[15  8] ; [24 32],[11.35443038 11.64556962] ; [27.64556962 28.35443038],0
r3,1,0.107889,2.584871,[20  3] ; [39 17],[17.17721519  5.82278481] ; [41.82278481 14.17721519],0
n2,1,0.112162,2.523496,[8 1] ; [15 10],[6.08823529 2.91176471] ; [16.91176471  8.08823529],0
v4,1,0.122398,2.386364,[21  1] ; [45 10],[18.85714286  3.14285714] ; [47.14285714  7.85714286],0
s4,1,0.178169,1.812832,[ 2 21] ; [12 44],[ 4.07594937 18.92405063] ; [ 9.92405063 46.07594937],0
b1,1,0.190024,1.717431,[14  9] ; [25 31],[11.35443038 11.64556962] ; [27.64556962 28.35443038],0
b5,1,0.190024,1.717431,[ 9 14] ; [31 25],[11.64556962 11.35443038] ; [28.35443038 27.64556962],0
p10,1,0.192665,1.69712,[15  8] ; [27 28],[12.38461538 10.61538462] ; [29.61538462 25.38461538],0
s3,1,0.192665,1.69712,[ 8 15] ; [28 27],[10.61538462 12.38461538] ; [25.38461538 29.61538462],0
s6,1,0.194172,1.685676,[ 8 14] ; [29 26],[10.57142857 11.42857143] ; [26.42857143 28.57142857],0
s8,1,0.209138,1.577387,[ 9 14] ; [14 42],[ 6.69620253 16.30379747] ; [16.30379747 39.69620253],0
b2,1,0.228716,1.448829,[6 8] ; [10 29],[4.22641509 9.77358491] ; [11.77358491 27.22641509],0
b3,1,0.228716,1.448829,[6 8] ; [10 29],[4.22641509 9.77358491] ; [11.77358491 27.22641509],0
p6,1,0.231819,1.429663,[ 8 15] ; [12 43],[ 5.8974359 17.1025641] ; [14.1025641 40.8974359],0
u2,1,0.276231,1.185539,[6 6] ; [11 23],[4.43478261 7.56521739] ; [12.56521739 21.43478261],0
s7,1,0.326198,0.963932,[ 9 12] ; [17 38],[ 7.18421053 13.81578947] ; [18.81578947 36.18421053],0
p2,1,0.331247,0.944015,[17  6] ; [35 21],[15.13924051  7.86075949] ; [36.86075949 19.13924051],0
d5,1,0.338642,0.915564,[10 13] ; [18 38],[ 8.15189873 14.84810127] ; [19.84810127 36.15189873],0
n1,1,0.356957,0.848571,[4 4] ; [ 8 17],[2.90909091 5.09090909] ; [ 9.09090909 15.90909091],0
n6,1,0.359299,0.84034,[14  9] ; [40 16],[15.72151899  7.27848101] ; [38.27848101 17.72151899],0
s2,1,0.359299,0.84034,[ 9 14] ; [16 40],[ 7.27848101 15.72151899] ; [17.72151899 38.27848101],0
u3,1,0.436239,0.606156,[5 7] ; [10 24],[3.91304348 8.08695652] ; [11.08695652 22.91304348],0
s5,1,0.457862,0.551116,[ 5 18] ; [ 8 46],[ 3.88311688 19.11688312] ; [ 9.11688312 44.88311688],0
p9,1,0.468526,0.525451,[15  8] ; [31 24],[13.56410256  9.43589744] ; [32.43589744 22.56410256],0
a3,1,0.484416,0.488905,[11 12] ; [22 34],[ 9.60759494 13.39240506] ; [23.39240506 32.60759494],0
p11,1,0.496007,0.463468,[17  6] ; [37 19],[15.72151899  7.27848101] ; [38.27848101 17.72151899],0
n5,1,0.50254,0.449568,[16  7] ; [43 13],[17.17721519  5.82278481] ; [41.82278481 14.17721519],0
p5,1,0.581803,0.303329,[ 3 20] ; [ 5 51],[ 2.32911392 20.67088608] ; [ 5.67088608 50.32911392],0
n4,1,0.585527,0.297384,[15  8] ; [40 16],[16.01265823  6.98734177] ; [38.98734177 17.01265823],0
s1,1,0.630586,0.231268,[ 1 22] ; [ 4 51],[ 1.47435897 21.52564103] ; [ 3.52564103 51.47435897],0
a8,1,0.718076,0.130344,[ 3 20] ; [ 8 41],[ 3.51388889 19.48611111] ; [ 7.48611111 41.51388889],0
b4,1,0.796345,0.066605,[12 11] ; [31 25],[12.51898734 10.48101266] ; [30.48101266 25.51898734],0
a6,1,0.796345,0.066605,[11 12] ; [25 31],[10.48101266 12.51898734] ; [25.51898734 30.48101266],0
d3,1,0.816691,0.053732,[ 4 19] ; [11 45],[ 4.36708861 18.63291139] ; [10.63291139 45.36708861],0
d2,1,0.822914,0.050086,[ 6 17] ; [16 40],[ 6.40506329 16.59493671] ; [15.59493671 40.40506329],0
r1,1,0.860631,0.030825,[11 12] ; [28 28],[11.35443038 11.64556962] ; [27.64556962 28.35443038],0
u1,1,0.869718,0.026901,[ 1 22] ; [ 2 54],[ 0.87341772 22.12658228] ; [ 2.12658228 53.87341772],0
r2,1,0.88287,0.021707,[18  4] ; [45 11],[17.76923077  4.23076923] ; [45.23076923 10.76923077],0
r4,1,0.892099,0.018401,[14  9] ; [35 21],[14.26582278  8.73417722] ; [34.73417722 21.26582278],0
p1,1,0.973599,0.001095,[ 2 21] ; [ 5 51],[ 2.03797468 20.96202532] ; [ 4.96202532 51.03797468],0
a5,1,0.989755,0.000165,[ 9 14] ; [22 34],[ 9.02531646 13.97468354] ; [21.97468354 34.02531646],0
p3,1,0.994561,4.6e-05,[ 7 16] ; [17 39],[ 6.98734177 16.01265823] ; [17.01265823 38.98734177],0
