Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.000104,15.064107,[31 10] ; [ 2 11],[25.05555556 15.94444444] ; [7.94444444 5.05555556],1
u3,1,0.007412,7.17037,[ 4 14] ; [5 1],[ 6.75 11.25] ; [2.25 3.75],0
n6,1,0.010311,6.580335,[23 18] ; [ 2 11],[18.98148148 22.01851852] ; [6.01851852 6.98148148],0
u2,1,0.016827,5.714286,[ 5 13] ; [5 1],[ 7.5 10.5] ; [2.5 3.5],0
d4,1,0.017173,5.678556,[16 25] ; [10  3],[19.74074074 21.25925926] ; [6.25925926 6.74074074],0
d3,1,0.054544,3.695963,[13 28] ; [8 5],[15.94444444 25.05555556] ; [5.05555556 7.94444444],0
n1,1,0.099966,2.706083,[14 12] ; [1 5],[12.1875 13.8125] ; [2.8125 3.1875],0
a5,1,0.1115,2.532833,[23 18] ; [4 9],[20.5 20.5] ; [6.5 6.5],0
b1,1,0.136872,2.212775,[22 19] ; [10  3],[24.2962963 16.7037037] ; [7.7037037 5.2962963],0
n2,1,0.149613,2.076196,[17  9] ; [2 4],[15.4375 10.5625] ; [3.5625 2.4375],0
d2,1,0.160329,1.97112,[18 22] ; [ 3 10],[15.8490566 24.1509434] ; [5.1509434 7.8490566],0
a6,1,0.197565,1.660281,[21 20] ; [4 9],[18.98148148 22.01851852] ; [6.01851852 6.98148148],0
r2,1,0.222836,1.486014,[27 12] ; [6 6],[25.23529412 13.76470588] ; [7.76470588 4.23529412],0
s2,1,0.248811,1.329968,[ 9 32] ; [ 1 12],[ 7.59259259 33.40740741] ; [ 2.40740741 10.59259259],0
p6,1,0.304534,1.054235,[ 8 32] ; [ 1 12],[ 6.79245283 33.20754717] ; [ 2.20754717 10.79245283],0
s5,1,0.304534,1.054235,[ 8 32] ; [ 1 12],[ 6.79245283 33.20754717] ; [ 2.20754717 10.79245283],0
s3,1,0.338423,0.916394,[12 27] ; [ 2 10],[10.70588235 28.29411765] ; [3.29411765 8.70588235],0
p2,1,0.341902,0.903288,[13 28] ; [6 7],[14.42592593 26.57407407] ; [4.57407407 8.42592593],0
a7,1,0.346343,0.886811,[16 25] ; [7 6],[17.46296296 23.53703704] ; [5.53703704 7.46296296],0
d5,1,0.422444,0.643507,[20 21] ; [8 5],[21.25925926 19.74074074] ; [6.74074074 6.25925926],0
p11,1,0.423515,0.64054,[11 30] ; [5 8],[12.14814815 28.85185185] ; [3.85185185 9.14814815],0
b5,1,0.433681,0.612946,[17 24] ; [7 6],[18.22222222 22.77777778] ; [5.77777778 7.22222222],0
p10,1,0.471056,0.519499,[14 26] ; [6 7],[15.09433962 24.90566038] ; [4.90566038 8.09433962],0
p4,1,0.471738,0.517902,[10 30] ; [ 2 11],[ 9.05660377 30.94339623] ; [ 2.94339623 10.05660377],0
r4,1,0.516153,0.421574,[ 6 35] ; [ 1 12],[ 5.31481481 35.68518519] ; [ 1.68518519 11.31481481],0
v4,1,0.537467,0.380254,[26 15] ; [7 6],[25.05555556 15.94444444] ; [7.94444444 5.05555556],0
v1,1,0.647443,0.20914,[10 31] ; [4 9],[10.62962963 30.37037037] ; [3.37037037 9.62962963],0
p1,1,0.652609,0.202627,[ 5 36] ; [ 1 12],[ 4.55555556 36.44444444] ; [ 1.44444444 11.55555556],0
s1,1,0.652609,0.202627,[ 5 36] ; [ 1 12],[ 4.55555556 36.44444444] ; [ 1.44444444 11.55555556],0
s6,1,0.664086,0.188599,[12 29] ; [ 3 10],[11.38888889 29.61111111] ; [3.61111111 9.38888889],0
b4,1,0.729576,0.119501,[23 18] ; [8 5],[23.53703704 17.46296296] ; [7.46296296 5.53703704],0
p7,1,0.741032,0.109222,[ 8 31] ; [3 9],[ 8.41176471 30.58823529] ; [2.58823529 9.41176471],0
a3,1,0.745851,0.105051,[23 16] ; [7 6],[22.5 16.5] ; [7.5 5.5],0
a2,1,0.765458,0.088996,[ 5 36] ; [ 2 11],[ 5.31481481 35.68518519] ; [ 1.68518519 11.31481481],0
r1,1,0.776495,0.080594,[14 27] ; [5 8],[14.42592593 26.57407407] ; [4.57407407 8.42592593],0
s4,1,0.780958,0.077324,[ 8 33] ; [ 3 10],[ 8.35185185 32.64814815] ; [ 2.64814815 10.35185185],0
v3,1,0.780958,0.077324,[ 8 33] ; [ 3 10],[ 8.35185185 32.64814815] ; [ 2.64814815 10.35185185],0
d1,1,0.782272,0.076375,[11 30] ; [4 9],[11.38888889 29.61111111] ; [3.61111111 9.38888889],0
n3,1,0.790848,0.070336,[11 14] ; [3 3],[11.29032258 13.70967742] ; [2.70967742 3.29032258],0
s7,1,0.827768,0.047334,[11 28] ; [3 9],[10.70588235 28.29411765] ; [3.29411765 8.70588235],0
v2,1,0.859921,0.031143,[ 7 33] ; [ 2 11],[ 6.79245283 33.20754717] ; [ 2.20754717 10.79245283],0
s8,1,0.886806,0.020263,[ 7 34] ; [ 2 11],[ 6.83333333 34.16666667] ; [ 2.16666667 10.83333333],0
p8,1,0.888658,0.019601,[10 30] ; [ 3 10],[ 9.81132075 30.18867925] ; [3.18867925 9.81132075],0
p9,1,0.948556,0.004163,[15 23] ; [5 8],[14.90196078 23.09803922] ; [5.09803922 7.90196078],0
b2,1,0.964419,0.00199,[13 18] ; [3 4],[13.05263158 17.94736842] ; [2.94736842 4.05263158],0
b3,1,0.964419,0.00199,[13 18] ; [3 4],[13.05263158 17.94736842] ; [2.94736842 4.05263158],0
a4,1,1.0,0.0,[15 24] ; [5 8],[15. 24.] ; [5. 8.],0
