Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,23.498154,[63 39] ; [ 5 30],[50.62773723 51.37226277] ; [17.37226277 17.62773723],1
r3,1,5.3e-05,16.338139,[86 16] ; [17 17],[77.25 24.75] ; [25.75  8.25],1
p2,1,0.000121,14.783499,[71 31] ; [11 23],[61.5 40.5] ; [20.5 13.5],1
r2,1,0.001026,10.78,[82 18] ; [17 15],[75. 25.] ; [24.  8.],0
u3,1,0.003584,8.483459,[16 17] ; [ 1 15],[11.44897959 21.55102041] ; [ 5.55102041 10.44897959],0
s6,1,0.003617,8.466652,[50 52] ; [ 7 27],[42.75 59.25] ; [14.25 19.75],0
p9,1,0.006563,7.388834,[75 23] ; [17 16],[68.82442748 29.17557252] ; [23.17557252  9.82442748],0
u2,1,0.006665,7.361162,[17 15] ; [ 2 14],[12.66666667 19.33333333] ; [6.33333333 9.66666667],0
p11,1,0.019036,5.498165,[64 38] ; [14 21],[58.0729927 43.9270073] ; [19.9270073 15.0729927],0
s8,1,0.021261,5.305234,[28 74] ; [ 3 32],[23.08029197 78.91970803] ; [ 7.91970803 27.08029197],0
p10,1,0.023459,5.134214,[64 37] ; [14 20],[58.35555556 42.64444444] ; [19.64444444 14.35555556],0
s2,1,0.024113,5.086478,[42 60] ; [ 7 28],[36.48175182 65.51824818] ; [12.51824818 22.48175182],0
a7,1,0.036545,4.371484,[61 40] ; [14 21],[55.69852941 45.30147059] ; [19.30147059 15.69852941],0
p1,1,0.04202,4.134407,[ 6 96] ; [ 6 29],[ 8.93430657 93.06569343] ; [ 3.06569343 31.93430657],0
s5,1,0.044043,4.054917,[25 72] ; [ 3 30],[20.89230769 76.10769231] ; [ 7.10769231 25.89230769],0
b4,1,0.044754,4.027869,[53 49] ; [25 10],[58.0729927 43.9270073] ; [19.9270073 15.0729927],0
n6,1,0.045861,3.986685,[74 28] ; [19 16],[69.24087591 32.75912409] ; [23.75912409 11.24087591],0
p4,1,0.064802,3.410004,[41 61] ; [ 8 27],[36.48175182 65.51824818] ; [12.51824818 22.48175182],0
n2,1,0.089193,2.888884,[31 10] ; [6 6],[28.62264151 12.37735849] ; [8.37735849 3.62264151],0
n4,1,0.102513,2.666011,[60 42] ; [26  9],[64.02919708 37.97080292] ; [21.97080292 13.02919708],0
v1,1,0.122541,2.384535,[37 60] ; [ 8 26],[33.32061069 63.67938931] ; [11.67938931 22.32061069],0
a3,1,0.134418,2.240727,[69 32] ; [19 16],[65.35294118 35.64705882] ; [22.64705882 12.35294118],0
p7,1,0.135512,2.228197,[37 64] ; [ 8 27],[33.41911765 67.58088235] ; [11.58088235 23.41911765],0
p6,1,0.153286,2.039243,[24 77] ; [ 4 29],[21.10447761 79.89552239] ; [ 6.89552239 26.10447761],0
n5,1,0.180332,1.794883,[63 39] ; [26  9],[66.26277372 35.73722628] ; [22.73722628 12.26277372],0
s3,1,0.192107,1.701384,[46 56] ; [11 23],[42.75 59.25] ; [14.25 19.75],0
a8,1,0.313318,1.016639,[ 8 88] ; [ 5 30],[ 9.52671756 86.47328244] ; [ 3.47328244 31.52671756],0
n3,1,0.319006,0.993016,[27 14] ; [6 6],[25.52830189 15.47169811] ; [7.47169811 4.52830189],0
a2,1,0.324846,0.969335,[11 91] ; [ 6 29],[12.65693431 89.34306569] ; [ 4.34306569 30.65693431],0
n1,1,0.381571,0.765633,[14 25] ; [6 6],[15.29411765 23.70588235] ; [4.70588235 7.29411765],0
p3,1,0.38344,0.759645,[34 67] ; [ 9 26],[31.93382353 69.06617647] ; [11.06617647 23.93382353],0
a1,1,0.391062,0.735638,[ 7 95] ; [ 4 31],[ 8.18978102 93.81021898] ; [ 2.81021898 32.18978102],0
s7,1,0.403408,0.698145,[31 66] ; [ 8 25],[29.1 67.9] ; [ 9.9 23.1],0
d5,1,0.414646,0.665441,[71 30] ; [22 13],[69.06617647 31.93382353] ; [23.93382353 11.06617647],0
p12,1,0.424427,0.638026,[  1 101] ; [ 1 34],[  1.48905109 100.51094891] ; [ 0.51094891 34.48905109],0
v2,1,0.440031,0.5962,[36 62] ; [10 24],[34.15151515 63.84848485] ; [11.84848485 22.15151515],0
s4,1,0.481808,0.494768,[20 82] ; [ 5 30],[18.61313869 83.38686131] ; [ 6.38686131 28.61313869],0
b5,1,0.48866,0.479475,[65 37] ; [20 15],[63.28467153 38.71532847] ; [21.71532847 13.28467153],0
b1,1,0.523635,0.406728,[49 53] ; [19 16],[50.62773723 51.37226277] ; [17.37226277 17.62773723],0
d4,1,0.53054,0.393357,[70 32] ; [22 13],[68.49635036 33.50364964] ; [23.50364964 11.49635036],0
a4,1,0.537852,0.379535,[39 63] ; [11 23],[37.5 64.5] ; [12.5 21.5],0
u1,1,0.579525,0.307003,[ 6 96] ; [ 3 32],[ 6.70072993 95.29927007] ; [ 2.29927007 32.70072993],0
d3,1,0.651778,0.203666,[53 47] ; [17 18],[51.85185185 48.14814815] ; [18.14814815 16.85185185],0
d1,1,0.704531,0.143801,[40 62] ; [15 20],[40.94890511 61.05109489] ; [14.05109489 20.94890511],0
d2,1,0.722826,0.125801,[44 57] ; [16 18],[44.88888889 56.11111111] ; [15.11111111 18.88888889],0
b2,1,0.725238,0.123529,[25 35] ; [ 9 15],[24.28571429 35.71428571] ; [ 9.71428571 14.28571429],0
b3,1,0.725238,0.123529,[25 35] ; [ 9 15],[24.28571429 35.71428571] ; [ 9.71428571 14.28571429],0
a5,1,0.735603,0.114029,[52 50] ; [19 16],[52.86131387 49.13868613] ; [18.13868613 16.86131387],0
v3,1,0.750289,0.101288,[23 76] ; [ 7 27],[22.33082707 76.66917293] ; [ 7.66917293 26.33082707],0
p5,1,0.76502,0.089338,[ 4 97] ; [ 1 34],[ 3.71323529 97.28676471] ; [ 1.28676471 33.71323529],0
a6,1,0.942323,0.005235,[59 43] ; [20 15],[58.81751825 43.18248175] ; [20.18248175 14.81751825],0
