Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,9.9e-05,15.15033,[  7 110] ; [10 23],[ 13.26 103.74] ; [ 3.74 29.26],1
s3,1,0.000241,13.478546,[43 74] ; [24  9],[52.26 64.74] ; [14.74 18.26],1
p3,1,0.004597,8.03161,[22 96] ; [14 19],[28.13245033 89.86754967] ; [ 7.86754967 25.13245033],0
r3,1,0.005143,7.828381,[89 30] ; [32  1],[94.73026316 24.26973684] ; [26.26973684  6.73026316],0
s2,1,0.005842,7.598377,[37 81] ; [19 14],[43.7615894 74.2384106] ; [12.2384106 20.7615894],0
r4,1,0.01035,6.573577,[77 42] ; [29  4],[82.98684211 36.01315789] ; [23.01315789  9.98684211],0
a8,1,0.013667,6.080636,[  8 107] ; [ 7 25],[ 11.73469388 103.26530612] ; [ 3.26530612 28.73469388],0
b5,1,0.028815,4.778644,[65 54] ; [25  8],[70.46052632 48.53947368] ; [19.53947368 13.46052632],0
v2,1,0.029939,4.712806,[40 70] ; [19 14],[45.38461538 64.61538462] ; [13.61538462 19.38461538],0
s7,1,0.032736,4.559523,[36 75] ; [17 15],[41.13986014 69.86013986] ; [11.86013986 20.13986014],0
v1,1,0.042807,4.103012,[34 81] ; [16 17],[38.85135135 76.14864865] ; [11.14864865 21.85135135],0
d3,1,0.048113,3.906024,[68 51] ; [12 20],[63.04635762 55.95364238] ; [16.95364238 15.04635762],0
n3,1,0.052758,3.751582,[30 22] ; [9 1],[32.70967742 19.29032258] ; [6.29032258 3.70967742],0
a2,1,0.082463,3.015672,[27 92] ; [ 3 30],[23.48684211 95.51315789] ; [ 6.51315789 26.48684211],0
v4,1,0.092625,2.828156,[88 31] ; [29  4],[91.59868421 27.40131579] ; [25.40131579  7.59868421],0
p10,1,0.141409,2.162564,[53 62] ; [20 13],[56.72297297 58.27702703] ; [16.27702703 16.72297297],0
d5,1,0.145148,2.122516,[81 38] ; [26  6],[84.32450331 34.67549669] ; [22.67549669  9.32450331],0
b1,1,0.15245,2.047568,[59 60] ; [21 12],[62.63157895 56.36842105] ; [17.36842105 15.63157895],0
p9,1,0.167714,1.903257,[56 56] ; [21 12],[59.47586207 52.52413793] ; [17.52413793 15.47586207],0
n5,1,0.197759,1.658845,[72 47] ; [24  9],[75.15789474 43.84210526] ; [20.84210526 12.15789474],0
p4,1,0.22574,1.467505,[24 94] ; [10 23],[26.56953642 91.43046358] ; [ 7.43046358 25.56953642],0
r1,1,0.262864,1.253613,[74 45] ; [24  9],[76.72368421 42.27631579] ; [21.27631579 11.72368421],0
s8,1,0.26588,1.237878,[36 83] ; [13 19],[38.61589404 80.38410596] ; [10.38410596 21.61589404],0
r2,1,0.332076,0.940785,[98 19] ; [29  3],[99.72483221 17.27516779] ; [27.27516779  4.72483221],0
s6,1,0.333213,0.936372,[55 63] ; [18 14],[57.42666667 60.57333333] ; [15.57333333 16.42666667],0
u1,1,0.374011,0.790294,[ 18 101] ; [ 3 30],[ 16.44078947 102.55921053] ; [ 4.55921053 28.44078947],0
b2,1,0.40678,0.688192,[33 44] ; [ 8 16],[31.25742574 45.74257426] ; [ 9.74257426 14.25742574],0
b3,1,0.40678,0.688192,[33 44] ; [ 8 16],[31.25742574 45.74257426] ; [ 9.74257426 14.25742574],0
p1,1,0.47944,0.500138,[ 12 107] ; [ 2 31],[ 10.96052632 108.03947368] ; [ 3.03947368 29.96052632],0
n6,1,0.490469,0.475497,[79 40] ; [24  9],[80.63815789 38.36184211] ; [22.36184211 10.63815789],0
a5,1,0.568542,0.325128,[75 44] ; [19 14],[73.59210526 45.40789474] ; [20.40789474 12.59210526],0
n4,1,0.592827,0.285951,[77 42] ; [23 10],[78.28947368 40.71052632] ; [21.71052632 11.28947368],0
s5,1,0.631685,0.229783,[26 85] ; [ 6 25],[25.01408451 85.98591549] ; [ 6.98591549 24.01408451],0
a3,1,0.633336,0.227564,[77 41] ; [23 10],[78.14569536 39.85430464] ; [21.85430464 11.14569536],0
a1,1,0.666315,0.185942,[ 14 105] ; [ 3 30],[ 13.30921053 105.69078947] ; [ 3.69078947 29.30921053],0
a4,1,0.669581,0.182093,[55 63] ; [14 19],[53.9205298 64.0794702] ; [15.0794702 17.9205298],0
a6,1,0.684176,0.165463,[68 51] ; [17 15],[66.98675497 52.01324503] ; [18.01324503 13.98675497],0
d4,1,0.696984,0.151629,[89 30] ; [25  7],[89.8410596 29.1589404] ; [24.1589404  7.8410596],0
a7,1,0.721442,0.127115,[68 51] ; [20 13],[68.89473684 50.10526316] ; [19.10526316 13.89473684],0
v3,1,0.744638,0.106092,[35 74] ; [ 9 22],[34.25714286 74.74285714] ; [ 9.74285714 21.25714286],0
s1,1,0.75953,0.093696,[  9 109] ; [ 2 31],[  8.59602649 109.40397351] ; [ 2.40397351 30.59602649],0
u2,1,0.76223,0.091538,[21 21] ; [4 5],[20.58823529 21.41176471] ; [4.41176471 4.58823529],0
d2,1,0.763995,0.090143,[62 55] ; [16 16],[61.24832215 55.75167785] ; [16.75167785 15.24832215],0
p11,1,0.844031,0.038706,[60 59] ; [16 17],[59.5 59.5] ; [16.5 16.5],0
