Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.003656,8.447187,[61 10] ; [22 14],[55.07476636 15.92523364] ; [27.92523364  8.07476636],0
r4,1,0.012453,6.245263,[51 20] ; [17 19],[45.12149533 25.87850467] ; [22.87850467 13.12149533],0
p9,1,0.013447,6.109364,[51 20] ; [16 18],[45.3047619 25.6952381] ; [21.6952381 12.3047619],0
p10,1,0.022149,5.234051,[46 25] ; [14 20],[40.57142857 30.42857143] ; [19.42857143 14.57142857],0
n5,1,0.022816,5.182475,[54 17] ; [19 16],[48.89622642 22.10377358] ; [24.10377358 10.89622642],0
b1,1,0.024232,5.077939,[29 42] ; [23 13],[34.5046729 36.4953271] ; [17.4953271 18.5046729],0
a1,1,0.024648,5.048427,[ 1 70] ; [ 4 32],[ 3.31775701 67.68224299] ; [ 1.68224299 34.31775701],0
p11,1,0.028466,4.799605,[49 22] ; [17 19],[43.79439252 27.20560748] ; [22.20560748 13.79439252],0
u2,1,0.037429,4.330764,[15 25] ; [16  9],[19.07692308 20.92307692] ; [11.92307692 13.07692308],0
v3,1,0.044639,4.032243,[20 49] ; [ 4 31],[15.92307692 53.07692308] ; [ 8.07692308 26.92307692],0
p8,1,0.0594,3.554061,[31 40] ; [ 9 27],[26.54205607 44.45794393] ; [13.45794393 22.54205607],0
v4,1,0.061268,3.502729,[61 10] ; [24 10],[57.47619048 13.52380952] ; [27.52380952  6.47619048],0
s6,1,0.061931,3.484907,[37 32] ; [12 23],[32.50961538 36.49038462] ; [16.49038462 18.50961538],0
s8,1,0.083741,2.990766,[23 48] ; [ 6 30],[19.24299065 51.75700935] ; [ 9.75700935 26.24299065],0
p2,1,0.099185,2.718602,[49 22] ; [19 17],[45.12149533 25.87850467] ; [22.87850467 13.12149533],0
a8,1,0.119927,2.41828,[ 8 58] ; [ 1 34],[ 5.88118812 60.11881188] ; [ 3.11881188 31.88118812],0
n4,1,0.126581,2.333944,[50 21] ; [20 16],[46.44859813 24.55140187] ; [23.55140187 12.44859813],0
s7,1,0.149063,2.081813,[25 44] ; [ 7 25],[21.86138614 47.13861386] ; [10.13861386 21.86138614],0
a3,1,0.171087,1.87339,[31 39] ; [11 25],[27.73584906 42.26415094] ; [14.26415094 21.73584906],0
n1,1,0.202479,1.624402,[ 7 16] ; [9 9],[ 8.97560976 14.02439024] ; [ 7.02439024 10.97560976],0
b3,1,0.231525,1.431466,[ 8 35] ; [ 7 15],[ 9.92307692 33.07692308] ; [ 5.07692308 16.92307692],0
b2,1,0.231525,1.431466,[ 8 35] ; [ 7 15],[ 9.92307692 33.07692308] ; [ 5.07692308 16.92307692],0
u3,1,0.250747,1.319136,[15 25] ; [13 12],[17.23076923 22.76923077] ; [10.76923077 14.23076923],0
p4,1,0.266907,1.232575,[34 36] ; [13 22],[31.33333333 38.66666667] ; [15.66666667 19.33333333],0
b4,1,0.297007,1.087584,[43 28] ; [18 18],[40.47663551 30.52336449] ; [20.52336449 15.47663551],0
r2,1,0.324127,0.972222,[56 14] ; [25 10],[54. 16.] ; [27.  8.],0
p5,1,0.32725,0.959749,[ 8 62] ; [ 2 34],[ 6.60377358 63.39622642] ; [ 3.39622642 32.60377358],0
p1,1,0.337492,0.919934,[ 8 63] ; [ 2 34],[ 6.63551402 64.36448598] ; [ 3.36448598 32.63551402],0
s1,1,0.372456,0.795455,[ 5 65] ; [ 1 34],[ 4. 66.] ; [ 2. 33.],0
s2,1,0.415072,0.664226,[27 43] ; [11 25],[25.09433962 44.90566038] ; [12.90566038 23.09433962],0
d3,1,0.445354,0.582448,[27 44] ; [11 25],[25.21495327 45.78504673] ; [12.78504673 23.21495327],0
n2,1,0.446805,0.578745,[14  9] ; [13  5],[15.14634146  7.85365854] ; [11.85365854  6.14634146],0
a4,1,0.477883,0.503691,[16 55] ; [ 6 30],[14.59813084 56.40186916] ; [ 7.40186916 28.59813084],0
v2,1,0.556815,0.345248,[26 40] ; [11 22],[24.66666667 41.33333333] ; [12.33333333 20.66666667],0
u1,1,0.621191,0.244197,[ 1 70] ; [ 1 35],[ 1.3271028 69.6728972] ; [ 0.6728972 35.3271028],0
n3,1,0.623158,0.241454,[11 12] ; [10  8],[11.7804878 11.2195122] ; [9.2195122 8.7804878],0
r1,1,0.629165,0.233195,[39 32] ; [18 18],[37.82242991 33.17757009] ; [19.17757009 16.82242991],0
d1,1,0.630196,0.231796,[13 58] ; [ 8 28],[13.93457944 57.06542056] ; [ 7.06542056 28.93457944],0
s4,1,0.630196,0.231796,[13 58] ; [ 8 28],[13.93457944 57.06542056] ; [ 7.06542056 28.93457944],0
v1,1,0.660087,0.193418,[28 42] ; [16 20],[29.05660377 40.94339623] ; [14.94339623 21.05660377],0
b5,1,0.726437,0.122409,[40 31] ; [19 17],[39.14953271 31.85046729] ; [19.85046729 16.14953271],0
s3,1,0.728396,0.120589,[36 33] ; [17 18],[35.16346154 33.83653846] ; [17.83653846 17.16346154],0
d5,1,0.737473,0.11236,[32 39] ; [15 21],[31.18691589 39.81308411] ; [15.81308411 20.18691589],0
p7,1,0.771587,0.084274,[37 33] ; [19 15],[37.69230769 32.30769231] ; [18.30769231 15.69230769],0
d4,1,0.836374,0.042656,[35 36] ; [18 17],[35.5 35.5] ; [17.5 17.5],0
p3,1,0.844795,0.038323,[19 52] ; [ 9 27],[18.57943925 52.42056075] ; [ 9.42056075 26.57943925],0
a6,1,0.846253,0.037598,[21 50] ; [10 26],[20.57009346 50.42990654] ; [10.42990654 25.57009346],0
d2,1,0.916843,0.010902,[21 50] ; [11 25],[21.23364486 49.76635514] ; [10.76635514 25.23364486],0
p6,1,0.929295,0.007873,[20 50] ; [10 24],[20.19230769 49.80769231] ; [ 9.80769231 24.19230769],0
s5,1,0.934057,0.006846,[17 51] ; [ 8 25],[16.83168317 51.16831683] ; [ 8.16831683 24.83168317],0
