Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.283977,1.147959,[1 1] ; [6 1],[1.55555556 0.44444444] ; [5.44444444 1.55555556],0
a7,1,0.283977,1.147959,[1 1] ; [6 1],[1.55555556 0.44444444] ; [5.44444444 1.55555556],0
r1,1,0.283977,1.147959,[1 1] ; [6 1],[1.55555556 0.44444444] ; [5.44444444 1.55555556],0
r2,1,0.283977,1.147959,[1 1] ; [6 1],[1.55555556 0.44444444] ; [5.44444444 1.55555556],0
s1,1,0.283977,1.147959,[1 1] ; [1 6],[0.44444444 1.55555556] ; [1.55555556 5.44444444],0
p10,1,0.283977,1.147959,[1 1] ; [6 1],[1.55555556 0.44444444] ; [5.44444444 1.55555556],0
p8,1,0.345779,0.888889,[1 1] ; [5 1],[1.5 0.5] ; [4.5 1.5],0
b5,1,0.57075,0.321429,[1 1] ; [5 2],[1.33333333 0.66666667] ; [4.66666667 2.33333333],0
p1,1,0.57075,0.321429,[1 1] ; [2 5],[0.66666667 1.33333333] ; [2.33333333 4.66666667],0
a4,1,0.857714,0.032143,[1 1] ; [4 3],[1.11111111 0.88888889] ; [3.88888889 3.11111111],0
s5,1,0.857714,0.032143,[1 1] ; [3 4],[0.88888889 1.11111111] ; [3.11111111 3.88888889],0
p2,1,0.857714,0.032143,[1 1] ; [4 3],[1.11111111 0.88888889] ; [3.88888889 3.11111111],0
s6,1,1.0,0.0,[1 1] ; [3 3],[1. 1.] ; [3. 3.],0
p7,1,1.0,0.0,[1 1] ; [3 3],[1. 1.] ; [3. 3.],0
