Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,4.1e-05,16.814357,[13  1] ; [11 27],[6.46153846 7.53846154] ; [17.53846154 20.46153846],1
s6,1,0.000179,14.037935,[9 5] ; [ 5 34],[ 3.69811321 10.30188679] ; [10.30188679 28.69811321],1
d5,1,0.00047,12.232017,[13  1] ; [15 24],[7.39622642 6.60377358] ; [20.60377358 18.39622642],1
p11,1,0.003534,8.508792,[11  3] ; [13 26],[6.33962264 7.66037736] ; [17.66037736 21.33962264],0
s8,1,0.003737,8.407373,[5 9] ; [ 2 37],[ 1.8490566 12.1509434] ; [ 5.1509434 33.8490566],0
s7,1,0.009951,6.643735,[6 6] ; [ 5 31],[2.75 9.25] ; [ 8.25 27.75],0
s5,1,0.011993,6.311951,[5 9] ; [ 3 36],[ 2.11320755 11.88679245] ; [ 5.88679245 33.11320755],0
n6,1,0.020097,5.403439,[10  4] ; [13 24],[6.31372549 7.68627451] ; [16.68627451 20.31372549],0
d2,1,0.026479,4.924454,[10  4] ; [14 24],[6.46153846 7.53846154] ; [17.53846154 20.46153846],0
b4,1,0.034843,4.452847,[12  2] ; [21 18],[8.71698113 5.28301887] ; [24.28301887 14.71698113],0
v1,1,0.037373,4.333333,[7 6] ; [ 9 30],[4. 9.] ; [12. 27.],0
d1,1,0.052771,3.751154,[8 6] ; [11 28],[5.01886792 8.98113208] ; [13.98113208 25.01886792],0
p6,1,0.058068,3.591711,[ 4 10] ; [ 3 34],[ 1.92156863 12.07843137] ; [ 5.07843137 31.92156863],0
p4,1,0.05979,3.543204,[7 7] ; [ 9 30],[4.22641509 9.77358491] ; [11.77358491 27.22641509],0
s2,1,0.071069,3.258145,[6 7] ; [ 8 31],[3.5 9.5] ; [10.5 28.5],0
p10,1,0.072668,3.22171,[8 5] ; [13 26],[5.25 7.75] ; [15.75 23.25],0
a5,1,0.104692,2.632579,[11  3] ; [21 18],[8.45283019 5.54716981] ; [23.54716981 15.45283019],0
b1,1,0.134775,2.236622,[5 9] ; [23 16],[7.39622642 6.60377358] ; [20.60377358 18.39622642],0
d4,1,0.142261,2.153327,[11  3] ; [22 17],[8.71698113 5.28301887] ; [24.28301887 14.71698113],0
p2,1,0.156943,2.00344,[7 7] ; [11 27],[4.84615385 9.15384615] ; [13.15384615 24.84615385],0
n3,1,0.161749,1.957794,[3 1] ; [ 7 12],[1.73913043 2.26086957] ; [ 8.26086957 10.73913043],0
a4,1,0.221105,1.497188,[7 7] ; [12 26],[5.11538462 8.88461538] ; [13.88461538 24.11538462],0
p9,1,0.224197,1.477303,[7 5] ; [15 24],[5.17647059 6.82352941] ; [16.82352941 22.17647059],0
d3,1,0.226352,1.463641,[8 6] ; [15 24],[6.0754717 7.9245283] ; [16.9245283 22.0754717],0
