Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2e-06,22.365591,[228  20] ; [6 6],[223.2  24.8] ; [10.8  1.2],1
r2,1,0.00069,11.517196,[230  16] ; [8 4],[226.93023256  19.06976744] ; [11.06976744  0.93023256],1
d2,1,0.009234,6.777065,[111 136] ; [10  2],[115.39382239 131.60617761] ; [5.60617761 6.39382239],0
a6,1,0.010922,6.477976,[169  77] ; [4 8],[164.95348837  81.04651163] ; [8.04651163 3.95348837],0
p1,1,0.012079,6.299238,[ 15 231] ; [3 9],[ 17.1627907 228.8372093] ; [ 0.8372093 11.1627907],0
s4,1,0.0153,5.881587,[ 64 180] ; [7 5],[ 67.671875 176.328125] ; [3.328125 8.671875],0
a7,1,0.019441,5.46137,[180  67] ; [5 7],[176.42857143  70.57142857] ; [8.57142857 3.42857143],0
p7,1,0.035655,4.413512,[153  88] ; [4 8],[149.55335968  91.44664032] ; [7.44664032 4.55335968],0
d3,1,0.036093,4.392726,[173  73] ; [5 7],[169.72093023  76.27906977] ; [8.27906977 3.72093023],0
p9,1,0.038106,4.300267,[200  43] ; [7 5],[197.25882353  45.74117647] ; [9.74117647 2.25882353],0
d4,1,0.057125,3.618939,[199  47] ; [7 5],[196.41860465  49.58139535] ; [9.58139535 2.41860465],0
r1,1,0.062274,3.475756,[199  48] ; [7 5],[196.45559846  50.54440154] ; [9.54440154 2.45559846],0
s1,1,0.078367,3.098446,[ 12 234] ; [ 2 10],[ 13.34883721 232.65116279] ; [ 0.65116279 11.34883721],0
p10,1,0.089367,2.885746,[193  51] ; [7 5],[190.625  53.375] ; [9.375 2.625],0
n5,1,0.092129,2.83678,[170  77] ; [11  1],[172.61389961  74.38610039] ; [8.38610039 3.61389961],0
a5,1,0.10757,2.589566,[177  70] ; [6 6],[174.52123552  72.47876448] ; [8.47876448 3.52123552],0
s3,1,0.120655,2.408793,[174  71] ; [6 6],[171.59533074  73.40466926] ; [8.40466926 3.59533074],0
v4,1,0.12075,2.407567,[234  14] ; [10  2],[232.73846154  15.26153846] ; [11.26153846  0.73846154],0
n4,1,0.130906,2.281727,[178  70] ; [11  1],[180.27692308  67.72307692] ; [8.72307692 3.27692308],0
p11,1,0.197313,1.662156,[186  62] ; [7 5],[184.09230769  63.90769231] ; [8.90769231 3.09230769],0
b4,1,0.233896,1.417009,[143 105] ; [9 3],[144.98461538 103.01538462] ; [7.01538462 4.98461538],0
u2,1,0.274021,1.196509,[44 36] ; [4 1],[45.17647059 34.82352941] ; [2.82352941 2.17647059],0
p8,1,0.277539,1.179102,[120 123] ; [4 8],[118.16470588 124.83529412] ; [5.83529412 6.16470588],0
d5,1,0.294037,1.101043,[196  51] ; [8 4],[194.54826255  52.45173745] ; [9.45173745 2.54826255],0
n3,1,0.348517,0.87885,[48 17] ; [4 3],[46.94444444 18.05555556] ; [5.05555556 1.94444444],0
s2,1,0.357745,0.845793,[156  91] ; [6 6],[154.49420849  92.50579151] ; [7.50579151 4.49420849],0
v3,1,0.419982,0.650365,[ 71 170] ; [2 9],[ 69.81349206 171.18650794] ; [3.18650794 7.81349206],0
n6,1,0.433432,0.61361,[206  42] ; [11  1],[206.98461538  41.01538462] ; [10.01538462  1.98461538],0
b1,1,0.43403,0.612015,[ 96 152] ; [6 6],[ 97.29230769 150.70769231] ; [4.70769231 7.29230769],0
p4,1,0.465391,0.532897,[149  97] ; [6 6],[147.79069767  98.20930233] ; [7.20930233 4.79069767],0
s5,1,0.4798,0.499317,[ 95 144] ; [6 6],[ 96.17131474 142.82868526] ; [4.82868526 7.17131474],0
a3,1,0.503856,0.446806,[167  80] ; [7 5],[165.93822394  81.06177606] ; [8.06177606 3.93822394],0
b2,1,0.560318,0.339154,[38 95] ; [2 8],[37.2027972 95.7972028] ; [2.7972028 7.2027972],0
b3,1,0.560318,0.339154,[38 95] ; [2 8],[37.2027972 95.7972028] ; [2.7972028 7.2027972],0
p2,1,0.60877,0.26197,[200  47] ; [9 3],[199.31660232  47.68339768] ; [9.68339768 2.31660232],0
a1,1,0.6431,0.21471,[ 13 235] ; [ 1 11],[ 13.35384615 234.64615385] ; [ 0.64615385 11.35384615],0
n1,1,0.65553,0.198998,[22 42] ; [3 4],[22.53521127 41.46478873] ; [2.46478873 4.53521127],0
v2,1,0.65903,0.194705,[103 136] ; [4 7],[102.292 136.708] ; [4.708 6.292],0
s8,1,0.66872,0.183103,[119 129] ; [5 7],[118.27692308 129.72307692] ; [5.72307692 6.27692308],0
s7,1,0.679662,0.170507,[134 105] ; [6 6],[133.30677291 105.69322709] ; [6.69322709 5.30677291],0
d1,1,0.742298,0.108117,[136 112] ; [6 6],[135.44615385 112.55384615] ; [6.55384615 5.44615385],0
p3,1,0.760673,0.092779,[114 133] ; [5 7],[113.48648649 133.51351351] ; [5.51351351 6.48648649],0
p5,1,0.804859,0.06104,[ 26 220] ; [ 1 11],[ 25.74418605 220.25581395] ; [ 1.25581395 10.74418605],0
b5,1,0.876196,0.024272,[139 109] ; [7 5],[139.26153846 108.73846154] ; [6.73846154 5.26153846],0
a4,1,0.890566,0.018931,[ 98 149] ; [5 7],[ 98.22779923 148.77220077] ; [4.77220077 7.22779923],0
u3,1,0.919315,0.010261,[45 33] ; [3 2],[45.10843373 32.89156627] ; [2.89156627 2.10843373],0
n2,1,0.970911,0.00133,[46 19] ; [5 2],[46.04166667 18.95833333] ; [4.95833333 2.04166667],0
p12,1,0.98036,0.000606,[ 21 225] ; [ 1 11],[ 20.97674419 225.02325581] ; [ 1.02325581 10.97674419],0
p6,1,1.0,0.0,[ 82 164] ; [4 8],[ 82. 164.] ; [4. 8.],0
