Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.002608,9.062937,[ 6 38] ; [3 1],[ 8.25 35.75] ; [0.75 3.25],0
s8,1,0.005334,7.762679,[ 7 37] ; [3 1],[ 9.16666667 34.83333333] ; [0.83333333 3.16666667],0
s1,1,0.017854,5.61039,[ 4 40] ; [2 2],[ 5.5 38.5] ; [0.5 3.5],0
s6,1,0.048644,3.887603,[12 32] ; [3 1],[13.75 30.25] ; [1.25 2.75],0
p8,1,0.061707,3.490909,[ 6 38] ; [2 2],[ 7.33333333 36.66666667] ; [0.66666667 3.33333333],0
p2,1,0.064838,3.409091,[13 31] ; [3 1],[14.66666667 29.33333333] ; [1.33333333 2.66666667],0
p4,1,0.094429,2.797203,[ 7 37] ; [2 2],[ 8.25 35.75] ; [0.75 3.25],0
s4,1,0.094429,2.797203,[ 7 37] ; [2 2],[ 8.25 35.75] ; [0.75 3.25],0
d1,1,0.105645,2.618182,[15 29] ; [3 1],[16.5 27.5] ; [1.5 2.5],0
u1,1,0.105645,2.618182,[ 2 42] ; [1 3],[ 2.75 41.25] ; [0.25 3.75],0
p10,1,0.114406,2.492281,[15 28] ; [3 1],[16.46808511 26.53191489] ; [1.53191489 2.46808511],0
p1,1,0.133552,2.250718,[ 8 36] ; [2 2],[ 9.16666667 34.83333333] ; [0.83333333 3.16666667],0
p11,1,0.178277,1.811928,[ 9 35] ; [2 2],[10.08333333 33.91666667] ; [0.91666667 3.08333333],0
p5,1,0.207787,1.586777,[ 3 41] ; [1 3],[ 3.66666667 40.33333333] ; [0.33333333 3.66666667],0
d2,1,0.237463,1.395592,[19 24] ; [3 1],[20.12765957 22.87234043] ; [1.87234043 2.12765957],0
a6,1,0.382431,0.762873,[23 21] ; [3 1],[23.83333333 20.16666667] ; [2.16666667 1.83333333],0
a5,1,0.382431,0.762873,[23 21] ; [3 1],[23.83333333 20.16666667] ; [2.16666667 1.83333333],0
d4,1,0.429795,0.623377,[24 20] ; [3 1],[24.75 19.25] ; [2.25 1.75],0
d5,1,0.480071,0.498701,[25 19] ; [3 1],[25.66666667 18.33333333] ; [2.33333333 1.66666667],0
b4,1,0.480071,0.498701,[25 19] ; [3 1],[25.66666667 18.33333333] ; [2.33333333 1.66666667],0
a3,1,0.488256,0.480368,[24 18] ; [3 1],[24.65217391 17.34782609] ; [2.34782609 1.65217391],0
a2,1,0.537546,0.380108,[ 6 38] ; [1 3],[ 6.41666667 37.58333333] ; [0.58333333 3.41666667],0
a4,1,0.544506,0.367252,[17 25] ; [1 3],[16.43478261 25.56521739] ; [1.56521739 2.43478261],0
v2,1,0.568642,0.324961,[ 6 36] ; [1 3],[ 6.39130435 35.60869565] ; [0.60869565 3.39130435],0
b2,1,0.621498,0.243768,[14 15] ; [1 2],[13.59375 15.40625] ; [1.40625 1.59375],0
b3,1,0.621498,0.243768,[14 15] ; [1 2],[13.59375 15.40625] ; [1.40625 1.59375],0
b1,1,0.724018,0.124675,[26 18] ; [2 2],[25.66666667 18.33333333] ; [2.33333333 1.66666667],0
p3,1,0.738005,0.111888,[ 8 36] ; [1 3],[ 8.25 35.75] ; [0.75 3.25],0
r1,1,0.792411,0.069264,[19 25] ; [2 2],[19.25 24.75] ; [1.75 2.25],0
d3,1,0.861327,0.030515,[20 24] ; [2 2],[20.16666667 23.83333333] ; [1.83333333 2.16666667],0
v1,1,0.921987,0.00959,[12 32] ; [1 3],[11.91666667 32.08333333] ; [1.08333333 2.91666667],0
v3,1,0.937187,0.00621,[10 33] ; [1 3],[10.06382979 32.93617021] ; [0.93617021 3.06382979],0
n1,1,0.959668,0.002557,[13 14] ; [1 1],[13.03448276 13.96551724] ; [0.96551724 1.03448276],0
