Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,6e-06,20.45042,[ 3 37] ; [18 14],[11.66666667 28.33333333] ; [ 9.33333333 22.66666667],1
s2,1,1.8e-05,18.352591,[ 6 34] ; [21 12],[14.79452055 25.20547945] ; [12.20547945 20.79452055],1
p3,1,0.000235,13.53104,[ 5 36] ; [17 16],[12.18918919 28.81081081] ; [ 9.81081081 23.18918919],1
p8,1,0.000705,11.476613,[ 7 34] ; [18 15],[13.85135135 27.14864865] ; [11.14864865 21.85135135],1
s4,1,0.000863,11.101084,[ 3 38] ; [13 20],[ 8.86486486 32.13513514] ; [ 7.13513514 25.86486486],1
r3,1,0.001743,9.802077,[28 13] ; [32  1],[33.24324324  7.75675676] ; [26.75675676  6.24324324],0
p6,1,0.001842,9.701053,[ 3 37] ; [12 20],[ 8.33333333 31.66666667] ; [ 6.66666667 25.33333333],0
s8,1,0.00259,9.076092,[ 4 37] ; [13 20],[ 9.41891892 31.58108108] ; [ 7.58108108 25.41891892],0
d5,1,0.003831,8.36228,[16 25] ; [24  9],[22.16216216 18.83783784] ; [17.83783784 15.16216216],0
a5,1,0.004616,8.024239,[15 26] ; [23 10],[21.05405405 19.94594595] ; [16.94594595 16.05405405],0
p10,1,0.008616,6.900769,[16 25] ; [23 10],[21.60810811 19.39189189] ; [17.39189189 15.60810811],0
r4,1,0.018804,5.519645,[23 18] ; [27  6],[27.7027027 13.2972973] ; [22.2972973 10.7027027],0
p4,1,0.033887,4.500381,[12 28] ; [18 15],[16.43835616 23.56164384] ; [13.56164384 19.43835616],0
n1,1,0.034562,4.466705,[ 3 16] ; [7 7],[ 5.75757576 13.24242424] ; [4.24242424 9.75757576],0
s7,1,0.03521,4.434964,[ 5 33] ; [11 21],[ 8.68571429 29.31428571] ; [ 7.31428571 24.68571429],0
p1,1,0.046433,3.965799,[ 1 40] ; [ 5 28],[ 3.32432432 37.67567568] ; [ 2.67567568 30.32432432],0
p9,1,0.048266,3.900684,[20 20] ; [24  9],[24.10958904 15.89041096] ; [19.89041096 13.10958904],0
d1,1,0.059336,3.555849,[ 8 33] ; [13 20],[11.63513514 29.36486486] ; [ 9.36486486 23.63513514],0
s3,1,0.078295,3.099937,[14 27] ; [18 15],[17.72972973 23.27027027] ; [14.27027027 18.72972973],0
r2,1,0.180415,1.7942,[31 10] ; [29  4],[33.24324324  7.75675676] ; [26.75675676  6.24324324],0
a2,1,0.208444,1.582198,[ 1 40] ; [ 3 30],[ 2.21621622 38.78378378] ; [ 1.78378378 31.21621622],0
a4,1,0.251096,1.317196,[11 30] ; [13 20],[13.2972973 27.7027027] ; [10.7027027 22.2972973],0
d4,1,0.25408,1.300727,[24 16] ; [24  9],[26.30136986 13.69863014] ; [21.69863014 11.30136986],0
d3,1,0.321931,0.981084,[14 27] ; [15 18],[16.06756757 24.93243243] ; [12.93243243 20.06756757],0
n5,1,0.33804,0.917852,[19 21] ; [12 21],[16.98630137 23.01369863] ; [14.01369863 18.98630137],0
u2,1,0.38654,0.749797,[10  7] ; [7 9],[8.75757576 8.24242424] ; [8.24242424 7.75757576],0
n6,1,0.387181,0.747776,[22 19] ; [21 12],[23.82432432 17.17567568] ; [19.17567568 13.82432432],0
s1,1,0.417585,0.657101,[ 3 38] ; [ 1 32],[ 2.21621622 38.78378378] ; [ 1.78378378 31.21621622],0
v3,1,0.428531,0.626802,[ 5 35] ; [ 6 25],[ 6.1971831 33.8028169] ; [ 4.8028169 26.1971831],0
n2,1,0.447006,0.578231,[15  5] ; [12  2],[15.88235294  4.11764706] ; [11.11764706  2.88235294],0
b1,1,0.451291,0.567408,[21 20] ; [14 19],[19.39189189 21.60810811] ; [15.60810811 17.39189189],0
a3,1,0.467132,0.528751,[24 16] ; [17 16],[22.46575342 17.53424658] ; [18.53424658 14.46575342],0
a1,1,0.482723,0.492706,[ 3 38] ; [ 4 29],[ 3.87837838 37.12162162] ; [ 3.12162162 29.87837838],0
v1,1,0.516174,0.421532,[14 26] ; [14 19],[15.34246575 24.65753425] ; [12.65753425 20.34246575],0
p2,1,0.545839,0.364824,[24 17] ; [17 16],[22.71621622 18.28378378] ; [18.28378378 14.71621622],0
v2,1,0.550808,0.355872,[12 27] ; [12 20],[13.18309859 25.81690141] ; [10.81690141 21.18309859],0
u3,1,0.61093,0.258824,[10  7] ; [8 8],[9.27272727 7.72727273] ; [8.72727273 7.27272727],0
b3,1,0.62873,0.233787,[ 7 16] ; [ 4 13],[ 6.325 16.675] ; [ 4.675 12.325],0
b2,1,0.62873,0.233787,[ 7 16] ; [ 4 13],[ 6.325 16.675] ; [ 4.675 12.325],0
