Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,1e-06,23.971076,[44  2] ; [18 19],[34.36144578 11.63855422] ; [27.63855422  9.36144578],1
p9,1,5.1e-05,16.414358,[31 15] ; [ 7 26],[22.12658228 23.87341772] ; [15.87341772 17.12658228],1
r4,1,0.000185,13.979009,[38  8] ; [16 21],[29.92771084 16.07228916] ; [24.07228916 12.92771084],1
p10,1,0.000235,13.529603,[28 18] ; [ 7 28],[19.87654321 26.12345679] ; [15.12345679 19.87654321],1
s8,1,0.003148,8.719692,[22 24] ; [ 6 30],[15.70731707 30.29268293] ; [12.29268293 23.70731707],0
u3,1,0.005122,7.83584,[15  6] ; [ 4 12],[10.78378378 10.21621622] ; [8.21621622 7.78378378],0
b4,1,0.011479,6.389584,[29 17] ; [13 24],[23.27710843 22.72289157] ; [18.72289157 18.27710843],0
n3,1,0.018544,5.544019,[13  3] ; [ 7 10],[9.6969697 6.3030303] ; [10.3030303  6.6969697],0
v4,1,0.019173,5.485698,[38  8] ; [22 15],[33.25301205 12.74698795] ; [26.74698795 10.25301205],0
s7,1,0.03577,4.408056,[19 27] ; [ 6 26],[14.74358974 31.25641026] ; [10.25641026 21.74358974],0
v1,1,0.036603,4.368787,[21 24] ; [ 9 28],[16.46341463 28.53658537] ; [13.53658537 23.46341463],0
n2,1,0.042455,4.11698,[15  2] ; [11  8],[12.27777778  4.72222222] ; [13.72222222  5.27777778],0
s6,1,0.046979,3.946146,[26 20] ; [12 23],[21.58024691 24.41975309] ; [16.41975309 18.58024691],0
a1,1,0.047381,3.931798,[ 1 45] ; [ 5 32],[ 3.3253012 42.6746988] ; [ 2.6746988 34.3253012],0
n6,1,0.056319,3.642608,[33 13] ; [19 18],[28.81927711 17.18072289] ; [23.18072289 13.81927711],0
u2,1,0.069642,3.291429,[11  9] ; [ 4 12],[ 8.33333333 11.66666667] ; [6.66666667 9.33333333],0
s5,1,0.071176,3.255688,[14 29] ; [ 5 29],[10.61038961 32.38961039] ; [ 8.38961039 25.61038961],0
r1,1,0.078257,3.100744,[30 16] ; [17 20],[26.04819277 19.95180723] ; [20.95180723 16.04819277],0
r2,1,0.247216,1.338969,[40  6] ; [27  8],[38.04938272  7.95061728] ; [28.95061728  6.04938272],0
p12,1,0.266394,1.235222,[ 4 42] ; [ 1 35],[ 2.80487805 43.19512195] ; [ 2.19512195 33.80487805],0
a8,1,0.266394,1.235222,[ 4 42] ; [ 1 35],[ 2.80487805 43.19512195] ; [ 2.19512195 33.80487805],0
s2,1,0.267168,1.231231,[20 25] ; [12 25],[17.56097561 27.43902439] ; [14.43902439 22.56097561],0
b5,1,0.267851,1.227721,[23 23] ; [14 23],[20.5060241 25.4939759] ; [16.4939759 20.5060241],0
v2,1,0.320819,0.985603,[17 24] ; [11 25],[14.90909091 26.09090909] ; [13.09090909 22.90909091],0
