Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,2.3e-05,17.961515,[229  19] ; [39 15],[220.0794702  27.9205298] ; [47.9205298  6.0794702],1
n5,1,6.2e-05,16.05346,[211  35] ; [33 20],[200.74916388  45.25083612] ; [43.25083612  9.74916388],1
p8,1,0.000108,14.986936,[176  72] ; [24 31],[163.69636964  84.30363036] ; [36.30363036 18.69636964],1
p2,1,0.001262,10.397239,[227  21] ; [42 13],[220.17161716  27.82838284] ; [48.82838284  6.17161716],0
n4,1,0.002809,8.927295,[208  40] ; [35 18],[200.21262458  47.78737542] ; [42.78737542 10.21262458],0
n6,1,0.004746,7.973847,[222  22] ; [41 12],[216.06734007  27.93265993] ; [46.93265993  6.06734007],0
d4,1,0.005285,7.779248,[218  28] ; [40 14],[211.56  34.44] ; [46.44  7.56],0
p9,1,0.00615,7.505727,[225  22] ; [43 12],[219.19205298  27.80794702] ; [48.80794702  6.19205298],0
v4,1,0.018964,5.504867,[241   4] ; [51  4],[238.46666667   6.53333333] ; [53.53333333  1.46666667],0
r4,1,0.022735,5.188659,[231  17] ; [46  9],[226.71947195  21.28052805] ; [50.28052805  4.71947195],0
d1,1,0.024572,5.053786,[162  86] ; [27 28],[154.69306931  93.30693069] ; [34.30693069 20.69306931],0
s1,1,0.047752,3.918709,[  8 240] ; [ 5 49],[ 10.67549669 237.32450331] ; [ 2.32450331 51.67549669],0
b1,1,0.056075,3.649842,[ 96 152] ; [29 26],[102.31023102 145.68976898] ; [22.68976898 32.31023102],0
p12,1,0.056265,3.644208,[ 31 217] ; [ 2 53],[ 27.00990099 220.99009901] ; [ 5.99009901 49.00990099],0
p5,1,0.067832,3.334707,[ 42 204] ; [ 4 51],[ 37.59468439 208.40531561] ; [ 8.40531561 46.59468439],0
s3,1,0.083137,3.002478,[219  28] ; [44 11],[215.10264901  31.89735099] ; [47.89735099  7.10264901],0
p4,1,0.089427,2.884653,[185  62] ; [35 20],[179.93377483  67.06622517] ; [40.06622517 14.93377483],0
s8,1,0.097239,2.750259,[164  83] ; [30 25],[158.66887417  88.33112583] ; [35.33112583 19.66887417],0
r1,1,0.103825,2.64578,[210  37] ; [41 13],[205.97009967  41.02990033] ; [45.02990033  8.97009967],0
p3,1,0.104021,2.642782,[155  92] ; [28 27],[149.67218543  97.32781457] ; [33.32781457 21.67218543],0
v1,1,0.135791,2.225024,[146  97] ; [27 28],[141.0704698 101.9295302] ; [31.9295302 23.0704698],0
v3,1,0.175445,1.835787,[111 130] ; [19 34],[106.56462585 134.43537415] ; [23.43537415 29.56462585],0
b5,1,0.201368,1.632426,[139 109] ; [36 19],[143.23432343 104.76567657] ; [31.76567657 23.23432343],0
n1,1,0.20897,1.578549,[16 23] ; [ 4 13],[13.92857143 25.07142857] ; [ 6.07142857 10.92857143],0
b2,1,0.209523,1.574722,[70 95] ; [ 8 19],[67.03125 97.96875] ; [10.96875 16.03125],0
b3,1,0.209523,1.574722,[70 95] ; [ 8 19],[67.03125 97.96875] ; [10.96875 16.03125],0
r2,1,0.239008,1.386435,[235   9] ; [51  4],[233.39130435  10.60869565] ; [52.60869565  2.39130435],0
d5,1,0.26625,1.235966,[206  40] ; [41 12],[203.2173913  42.7826087] ; [43.7826087  9.2173913],0
n3,1,0.275478,1.189264,[28 13] ; [14  3],[29.68965517 11.31034483] ; [12.31034483  4.68965517],0
u3,1,0.326283,0.963593,[33 21] ; [6 7],[31.43283582 22.56716418] ; [7.56716418 5.43283582],0
b4,1,0.348285,0.879695,[139 109] ; [27 28],[135.8679868 112.1320132] ; [30.1320132 24.8679868],0
a3,1,0.350424,0.87192,[194  53] ; [40 15],[191.38410596  55.61589404] ; [42.61589404 12.38410596],0
s7,1,0.369124,0.806612,[181  63] ; [34 16],[178.43537415  65.56462585] ; [36.56462585 13.43537415],0
d2,1,0.461884,0.541324,[119 128] ; [29 25],[121.44850498 125.55149502] ; [26.55149502 27.44850498],0
a6,1,0.462634,0.539515,[165  81] ; [39 15],[167.28  78.72] ; [36.72 17.28],0
u2,1,0.56849,0.325215,[31 22] ; [7 7],[30.05970149 22.94029851] ; [7.94029851 6.05970149],0
a5,1,0.586549,0.295766,[189  59] ; [40 15],[187.43234323  60.56765677] ; [41.56765677 13.43234323],0
r3,1,0.597859,0.278238,[241   6] ; [52  2],[240.43521595   6.56478405] ; [52.56478405  1.43521595],0
s5,1,0.619957,0.245928,[125 116] ; [25 27],[123.37883959 117.62116041] ; [26.62116041 25.37883959],0
a4,1,0.654212,0.200631,[121 127] ; [25 30],[119.49834983 128.50165017] ; [26.50165017 28.49834983],0
s4,1,0.703504,0.144853,[ 56 187] ; [14 41],[ 57.08053691 185.91946309] ; [12.91946309 42.08053691],0
a1,1,0.722459,0.126148,[ 19 229] ; [ 5 50],[ 19.64356436 228.35643564] ; [ 4.35643564 50.64356436],0
u4,1,0.747741,0.103439,[  7 241] ; [ 2 53],[  7.36633663 240.63366337] ; [ 1.63366337 53.36633663],0
a8,1,0.764144,0.090026,[ 44 193] ; [10 39],[ 44.74825175 192.25174825] ; [ 9.25174825 39.74825175],0
d3,1,0.766709,0.08802,[182  65] ; [38 15],[181.13333333  65.86666667] ; [38.86666667 14.13333333],0
p6,1,0.776056,0.080919,[136 112] ; [29 26],[135.04950495 112.95049505] ; [29.95049505 25.04950495],0
a7,1,0.840327,0.040592,[175  72] ; [39 15],[175.60797342  71.39202658] ; [38.39202658 15.60797342],0
v2,1,0.870547,0.026557,[146  94] ; [31 21],[145.47945205  94.52054795] ; [31.52054795 20.47945205],0
