Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.00048,12.193058,[14  4] ; [17 38],[ 7.64383562 10.35616438] ; [23.35616438 31.64383562],1
n6,1,0.004829,7.942552,[9 8] ; [47  8],[13.22222222  3.77777778] ; [42.77777778 12.22222222],0
p4,1,0.011075,6.453221,[12  6] ; [18 37],[ 7.39726027 10.60273973] ; [22.60273973 32.39726027],0
p7,1,0.018517,5.546557,[14  3] ; [27 27],[9.81690141 7.18309859] ; [31.18309859 22.81690141],0
n1,1,0.040374,4.202116,[3 1] ; [ 4 14],[1.27272727 2.72727273] ; [ 5.72727273 12.27272727],0
p3,1,0.083829,2.989056,[10  8] ; [18 37],[ 6.90410959 11.09589041] ; [21.09589041 33.90410959],0
p2,1,0.096593,2.760911,[16  2] ; [38 17],[13.31506849  4.68493151] ; [40.68493151 14.31506849],0
s7,1,0.10247,2.666667,[12  6] ; [24 30],[9. 9.] ; [27. 27.],0
v1,1,0.107191,2.595148,[ 4 13] ; [25 30],[ 6.84722222 10.15277778] ; [22.15277778 32.84722222],0
a5,1,0.113689,2.502181,[ 5 13] ; [27 28],[ 7.89041096 10.10958904] ; [24.10958904 30.89041096],0
a6,1,0.118178,2.441305,[12  6] ; [25 30],[9.12328767 8.87671233] ; [27.87671233 27.12328767],0
d2,1,0.193685,1.689364,[ 1 17] ; [10 45],[ 2.71232877 15.28767123] ; [ 8.28767123 46.71232877],0
a3,1,0.194445,1.683614,[ 6 12] ; [28 27],[8.38356164 9.61643836] ; [25.61643836 29.38356164],0
n4,1,0.195529,1.675458,[ 8 10] ; [34 21],[10.35616438  7.64383562] ; [31.64383562 23.35616438],0
s6,1,0.201882,1.628706,[10  7] ; [39 13],[12.07246377  4.92753623] ; [36.92753623 15.07246377],0
p12,1,0.226455,1.462992,[ 2 16] ; [ 2 53],[ 0.98630137 17.01369863] ; [ 3.01369863 51.98630137],0
n3,1,0.259177,1.273148,[2 2] ; [14  4],[2.90909091 1.09090909] ; [13.09090909  4.90909091],0
d5,1,0.272961,1.201808,[ 7 10] ; [31 24],[8.97222222 8.02777778] ; [29.02777778 25.97222222],0
v3,1,0.278235,1.175691,[ 2 15] ; [13 41],[ 3.5915493 13.4084507] ; [11.4084507 42.5915493],0
s5,1,0.303567,1.058458,[8 7] ; [20 32],[6.26865672 8.73134328] ; [21.73134328 30.26865672],0
u2,1,0.309078,1.034612,[7 5] ; [11 16],[5.53846154 6.46153846] ; [12.46153846 14.53846154],0
d4,1,0.375583,0.785109,[11  7] ; [27 28],[9.36986301 8.63013699] ; [28.63013699 26.36986301],0
a2,1,0.399148,0.710891,[ 1 17] ; [ 1 54],[ 0.49315068 17.50684932] ; [ 1.50684932 53.49315068],0
d3,1,0.40513,0.693048,[10  7] ; [26 29],[8.5 8.5] ; [27.5 27.5],0
p1,1,0.409546,0.680119,[ 2 16] ; [ 3 52],[ 1.23287671 16.76712329] ; [ 3.76712329 51.23287671],0
s2,1,0.418545,0.654396,[12  6] ; [29 23],[10.54285714  7.45714286] ; [30.45714286 21.54285714],0
p9,1,0.423092,0.641711,[15  3] ; [40 14],[13.75  4.25] ; [41.25 12.75],0
b1,1,0.450184,0.570188,[ 8 10] ; [19 36],[ 6.65753425 11.34246575] ; [20.34246575 34.65753425],0
p11,1,0.479757,0.499415,[14  4] ; [38 17],[12.82191781  5.17808219] ; [39.17808219 15.82191781],0
u3,1,0.514991,0.423913,[8 4] ; [15 12],[7.07692308 4.92307692] ; [15.92307692 11.07692308],0
r2,1,0.588716,0.292355,[16  2] ; [46  9],[15.28767123  2.71232877] ; [46.71232877  8.28767123],0
r4,1,0.603586,0.269622,[13  5] ; [43 12],[13.80821918  4.19178082] ; [42.19178082 12.80821918],0
s8,1,0.621983,0.24309,[ 6 12] ; [15 40],[ 5.17808219 12.82191781] ; [15.82191781 39.17808219],0
n5,1,0.621983,0.24309,[12  6] ; [40 15],[12.82191781  5.17808219] ; [39.17808219 15.82191781],0
b4,1,0.626051,0.237455,[11  7] ; [30 25],[10.10958904  7.89041096] ; [30.89041096 24.10958904],0
u1,1,0.721817,0.126758,[ 1 17] ; [ 2 53],[ 0.73972603 17.26027397] ; [ 2.26027397 52.73972603],0
a4,1,0.723457,0.125205,[ 5 13] ; [13 42],[ 4.43835616 13.56164384] ; [13.56164384 41.43835616],0
b5,1,0.723563,0.125104,[11  7] ; [31 24],[10.35616438  7.64383562] ; [31.64383562 23.35616438],0
s1,1,0.733478,0.115942,[ 1 17] ; [ 2 52],[ 0.75 17.25] ; [ 2.25 51.75],0
p10,1,0.801575,0.063157,[13  5] ; [38 17],[12.57534247  5.42465753] ; [38.42465753 16.57534247],0
b2,1,0.814514,0.05504,[1 7] ; [ 3 28],[0.82051282 7.17948718] ; [ 3.17948718 27.82051282],0
b3,1,0.814514,0.05504,[1 7] ; [ 3 28],[0.82051282 7.17948718] ; [ 3.17948718 27.82051282],0
s3,1,0.817088,0.053496,[11  7] ; [34 19],[11.4084507  6.5915493] ; [33.5915493 19.4084507],0
a7,1,0.829807,0.046203,[11  6] ; [34 21],[10.625  6.375] ; [34.375 20.625],0
v2,1,0.896497,0.016923,[ 6 11] ; [20 34],[ 6.22535211 10.77464789] ; [19.77464789 34.22535211],0
r1,1,0.957294,0.002868,[11  7] ; [34 21],[11.09589041  6.90410959] ; [33.90410959 21.09589041],0
r3,1,0.980999,0.000567,[16  2] ; [49  6],[16.02739726  1.97260274] ; [48.97260274  6.02739726],0
