Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,6.8e-05,15.852368,[ 3 40] ; [18 22],[10.87951807 32.12048193] ; [10.12048193 29.87951807],1
p4,1,0.000509,12.081626,[10 34] ; [24 16],[17.80952381 26.19047619] ; [16.19047619 23.80952381],1
p8,1,0.002204,9.371515,[ 9 35] ; [21 19],[15.71428571 28.28571429] ; [14.28571429 25.71428571],0
s3,1,0.00444,8.094409,[13 30] ; [24 15],[19.40243902 23.59756098] ; [17.59756098 21.40243902],0
p2,1,0.009091,6.804869,[22 22] ; [31  9],[27.76190476 16.23809524] ; [25.23809524 14.76190476],0
s2,1,0.00958,6.7114,[ 8 35] ; [18 22],[13.46987952 29.53012048] ; [12.53012048 27.46987952],0
s8,1,0.050371,3.829054,[ 9 35] ; [16 24],[13.0952381 30.9047619] ; [11.9047619 28.0952381],0
p3,1,0.050371,3.829054,[ 9 35] ; [16 24],[13.0952381 30.9047619] ; [11.9047619 28.0952381],0
v2,1,0.070939,3.261156,[ 8 32] ; [15 24],[11.64556962 28.35443038] ; [11.35443038 27.64556962],0
r3,1,0.08412,2.983444,[29 15] ; [33  7],[32.47619048 11.52380952] ; [29.52380952 10.47619048],0
d5,1,0.089269,2.8875,[11 33] ; [17 23],[14.66666667 29.33333333] ; [13.33333333 26.66666667],0
v4,1,0.09031,2.868847,[34  9] ; [36  3],[36.70731707  6.29268293] ; [33.29268293  5.70731707],0
p1,1,0.103053,2.657656,[ 2 42] ; [ 6 34],[ 4.19047619 39.80952381] ; [ 3.80952381 36.19047619],0
s7,1,0.115406,2.47858,[11 32] ; [16 22],[14.33333333 28.66666667] ; [12.66666667 25.33333333],0
b2,1,0.121251,2.401089,[10 15] ; [ 6 23],[ 7.40740741 17.59259259] ; [ 8.59259259 20.40740741],0
b3,1,0.121251,2.401089,[10 15] ; [ 6 23],[ 7.40740741 17.59259259] ; [ 8.59259259 20.40740741],0
b5,1,0.123536,2.371907,[25 19] ; [16 24],[21.47619048 22.52380952] ; [19.52380952 20.47619048],0
s5,1,0.183939,1.765511,[ 5 37] ; [ 9 30],[ 7.25925926 34.74074074] ; [ 6.74074074 32.25925926],0
