Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,4e-06,21.413051,[3 9] ; [45  6],[9.14285714 2.85714286] ; [38.85714286 12.14285714],1
d1,1,0.000146,14.420343,[ 1 11] ; [35 16],[6.85714286 5.14285714] ; [29.14285714 21.85714286],1
d3,1,0.001208,10.477746,[3 9] ; [38 13],[7.80952381 4.19047619] ; [33.19047619 17.80952381],0
a3,1,0.00521,7.805158,[6 6] ; [44  7],[9.52380952 2.47619048] ; [40.47619048 10.52380952],0
d2,1,0.012212,6.279827,[ 2 10] ; [29 22],[5.9047619 6.0952381] ; [25.0952381 25.9047619],0
s6,1,0.015755,5.829979,[8 3] ; [44  2],[10.03508772  0.96491228] ; [41.96491228  4.03508772],0
a4,1,0.017027,5.693583,[ 2 10] ; [28 23],[5.71428571 6.28571429] ; [24.28571429 26.71428571],0
s2,1,0.035435,4.424069,[5 7] ; [36 13],[8.06557377 3.93442623] ; [32.93442623 16.06557377],0
r3,1,0.035737,4.40961,[10  2] ; [48  1],[11.40983607  0.59016393] ; [46.59016393  2.40983607],0
p1,1,0.05864,3.575437,[7 5] ; [15 36],[4.19047619 7.80952381] ; [17.80952381 33.19047619],0
s8,1,0.065451,3.393561,[5 7] ; [35 15],[7.74193548 4.25806452] ; [32.25806452 17.74193548],0
a5,1,0.071745,3.242647,[7 5] ; [42  9],[9.33333333 2.66666667] ; [39.66666667 11.33333333],0
a2,1,0.131222,2.277984,[ 1 11] ; [15 36],[3.04761905 8.95238095] ; [12.95238095 38.04761905],0
p2,1,0.21369,1.546247,[10  2] ; [48  3],[11.04761905  0.95238095] ; [46.95238095  4.04761905],0
n4,1,0.21369,1.546247,[10  2] ; [48  3],[11.04761905  0.95238095] ; [46.95238095  4.04761905],0
s3,1,0.215822,1.531937,[6 5] ; [36 13],[7.7 3.3] ; [34.3 14.7],0
s7,1,0.217769,1.519013,[7 4] ; [38  9],[8.53448276 2.46551724] ; [36.46551724 10.53448276],0
p3,1,0.238455,1.389706,[9 3] ; [45  6],[10.28571429  1.71428571] ; [43.71428571  7.28571429],0
a1,1,0.241855,1.369751,[ 1 11] ; [12 39],[2.47619048 9.52380952] ; [10.52380952 40.47619048],0
n6,1,0.25727,1.28339,[11  1] ; [50  1],[11.61904762  0.38095238] ; [49.38095238  1.61904762],0
p9,1,0.25727,1.28339,[11  1] ; [50  1],[11.61904762  0.38095238] ; [49.38095238  1.61904762],0
n2,1,0.371093,0.8,[2 1] ; [8 1],[2.5 0.5] ; [7.5 1.5],0
b5,1,0.389284,0.741176,[4 8] ; [24 27],[5.33333333 6.66666667] ; [22.66666667 28.33333333],0
u3,1,0.428537,0.626786,[3 3] ; [5 2],[3.69230769 2.30769231] ; [4.30769231 2.69230769],0
v1,1,0.464712,0.534522,[7 5] ; [34 15],[8.06557377 3.93442623] ; [32.93442623 16.06557377],0
a7,1,0.482679,0.492804,[8 4] ; [39 12],[8.95238095 3.04761905] ; [38.04761905 12.95238095],0
n5,1,0.518482,0.416912,[11  1] ; [49  2],[11.42857143  0.57142857] ; [48.57142857  2.42857143],0
p4,1,0.518482,0.416912,[11  1] ; [49  2],[11.42857143  0.57142857] ; [48.57142857  2.42857143],0
p7,1,0.529864,0.394652,[11  1] ; [48  2],[11.41935484  0.58064516] ; [47.58064516  2.41935484],0
b4,1,0.534819,0.385227,[8 4] ; [29 22],[7.04761905 4.95238095] ; [29.95238095 21.04761905],0
b1,1,0.617315,0.249659,[4 8] ; [21 30],[4.76190476 7.23809524] ; [20.23809524 30.76190476],0
r1,1,0.66498,0.187531,[10  2] ; [44  6],[10.4516129  1.5483871] ; [43.5483871  6.4516129],0
s5,1,0.69963,0.148857,[8 3] ; [30 15],[7.46428571 3.53571429] ; [30.53571429 14.46428571],0
u2,1,0.724939,0.12381,[4 2] ; [4 3],[3.69230769 2.30769231] ; [4.30769231 2.69230769],0
p11,1,0.733625,0.115809,[11  1] ; [45  6],[10.66666667  1.33333333] ; [45.33333333  5.66666667],0
n1,1,0.735317,0.114286,[2 1] ; [5 4],[1.75 1.25] ; [5.25 3.75],0
p8,1,0.75407,0.098143,[11  1] ; [48  3],[11.23809524  0.76190476] ; [47.76190476  3.23809524],0
p10,1,0.75407,0.098143,[11  1] ; [48  3],[11.23809524  0.76190476] ; [47.76190476  3.23809524],0
a6,1,0.799596,0.06445,[8 4] ; [32 19],[7.61904762 4.38095238] ; [32.38095238 18.61904762],0
b2,1,0.842578,0.039441,[4 4] ; [18 21],[3.74468085 4.25531915] ; [18.25531915 20.74468085],0
b3,1,0.842578,0.039441,[4 4] ; [18 21],[3.74468085 4.25531915] ; [18.25531915 20.74468085],0
v3,1,0.854212,0.033763,[7 5] ; [30 19],[7.27868852 4.72131148] ; [29.72131148 19.27868852],0
p12,1,0.897994,0.016434,[4 8] ; [18 33],[4.19047619 7.80952381] ; [17.80952381 33.19047619],0
a8,1,0.928353,0.008085,[ 2 10] ; [ 8 37],[2.10526316 9.89473684] ; [ 7.89473684 37.10526316],0
s1,1,0.954926,0.003195,[ 1 11] ; [ 4 47],[ 0.95238095 11.04761905] ; [ 4.04761905 46.95238095],0
r4,1,0.954926,0.003195,[11  1] ; [47  4],[11.04761905  0.95238095] ; [46.95238095  4.04761905],0
v2,1,0.957189,0.002882,[7 5] ; [29 20],[7.08196721 4.91803279] ; [28.91803279 20.08196721],0
s4,1,0.977244,0.000814,[ 2 10] ; [ 8 41],[ 1.96721311 10.03278689] ; [ 8.03278689 40.96721311],0
