Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,1e-06,24.743501,[74 24] ; [ 9 24],[62.09160305 35.90839695] ; [20.90839695 12.09160305],1
p10,1,2.8e-05,17.533148,[83 15] ; [16 17],[74.0610687 23.9389313] ; [24.9389313  8.0610687],1
r3,1,0.000181,14.017908,[96  3] ; [26  8],[90.81203008  8.18796992] ; [31.18796992  2.81203008],1
p9,1,0.0002,13.829701,[82 16] ; [17 16],[74.0610687 23.9389313] ; [24.9389313  8.0610687],1
v2,1,0.000613,11.736957,[75 22] ; [15 18],[67.15384615 29.84615385] ; [22.84615385 10.15384615],1
p4,1,0.000728,11.415506,[60 38] ; [ 9 24],[51.61832061 46.38167939] ; [17.38167939 15.61832061],1
v4,1,0.000809,11.220375,[96  3] ; [27  7],[91.55639098  7.44360902] ; [31.44360902  2.55639098],1
s1,1,0.001102,10.648538,[ 1 95] ; [ 5 29],[ 4.43076923 91.56923077] ; [ 1.56923077 32.43076923],0
p3,1,0.008259,6.976376,[58 41] ; [11 23],[51.36090226 47.63909774] ; [17.63909774 16.36090226],0
n6,1,0.01192,6.322784,[86 13] ; [23 11],[81.13533835 17.86466165] ; [27.86466165  6.13533835],0
p11,1,0.013967,6.042262,[77 22] ; [19 15],[71.45864662 27.54135338] ; [24.54135338  9.45864662],0
s3,1,0.015412,5.868734,[56 41] ; [11 22],[49.99230769 47.00769231] ; [17.00769231 15.99230769],0
d5,1,0.017906,5.605357,[61 38] ; [13 21],[55.08270677 43.91729323] ; [18.91729323 15.08270677],0
s7,1,0.024723,5.043186,[54 41] ; [10 20],[48.64 46.36] ; [15.36 14.64],0
r4,1,0.026701,4.910043,[92  7] ; [27  7],[88.57894737 10.42105263] ; [30.42105263  3.57894737],0
p8,1,0.041484,4.156115,[55 44] ; [12 22],[49.87218045 49.12781955] ; [17.12781955 16.87218045],0
p6,1,0.053891,3.716057,[38 60] ; [ 7 27],[33.40909091 64.59090909] ; [11.59090909 22.40909091],0
d2,1,0.07421,3.187364,[11 88] ; [ 8 26],[14.14285714 84.85714286] ; [ 4.85714286 29.14285714],0
r1,1,0.084254,2.980869,[81 18] ; [23 11],[77.41353383 21.58646617] ; [26.58646617  7.41353383],0
n3,1,0.096451,2.763269,[19  4] ; [3 3],[17.44827586  5.55172414] ; [4.55172414 1.44827586],0
r2,1,0.102188,2.671064,[95  4] ; [30  4],[93.04511278  5.95488722] ; [31.95488722  2.04511278],0
d4,1,0.111774,2.528965,[62 37] ; [16 18],[58.06015038 40.93984962] ; [19.93984962 14.06015038],0
n4,1,0.120094,2.416101,[79 19] ; [23 11],[75.72727273 22.27272727] ; [26.27272727  7.72727273],0
