Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,3e-06,21.711191,[104   3] ; [44 16],[94.82634731 12.17365269] ; [53.17365269  6.82634731],1
v4,1,1.1e-05,19.277782,[102   5] ; [42 17],[92.81927711 14.18072289] ; [51.18072289  7.81927711],1
r2,1,1.7e-05,18.477967,[97  9] ; [36 20],[87.02469136 18.97530864] ; [45.97530864 10.02469136],1
n6,1,1.9e-05,18.258479,[95 12] ; [37 24],[84.07142857 22.92857143] ; [47.92857143 13.07142857],1
b1,1,0.000219,13.664507,[32 75] ; [36 25],[43.30952381 63.69047619] ; [24.69047619 36.30952381],1
s6,1,0.001627,9.929016,[66 36] ; [24 37],[56.3190184 45.6809816] ; [33.6809816 27.3190184],0
p10,1,0.015398,5.870387,[96 11] ; [43 14],[90.68902439 16.31097561] ; [48.31097561  8.68902439],0
s5,1,0.042959,4.097032,[32 68] ; [10 48],[26.58227848 73.41772152] ; [15.41772152 42.58227848],0
v3,1,0.074425,3.182618,[36 67] ; [13 47],[30.96319018 72.03680982] ; [18.03680982 41.96319018],0
p11,1,0.077146,3.124017,[88 19] ; [43 18],[83.43452381 23.56547619] ; [47.56547619 13.43452381],0
b5,1,0.095492,2.779273,[75 32] ; [35 26],[70.05952381 36.94047619] ; [39.94047619 21.05952381],0
d5,1,0.096507,2.762345,[79 27] ; [38 23],[74.26347305 31.73652695] ; [42.73652695 18.26347305],0
b4,1,0.098081,2.73648,[70 37] ; [32 29],[64.96428571 42.03571429] ; [37.03571429 23.96428571],0
d1,1,0.099348,2.715981,[49 58] ; [20 41],[43.94642857 63.05357143] ; [25.05357143 35.94642857],0
a7,1,0.1078,2.586185,[69 37] ; [32 29],[64.10778443 41.89221557] ; [36.89221557 24.10778443],0
p8,1,0.107988,2.583416,[51 54] ; [21 38],[46.09756098 58.90243902] ; [25.90243902 33.09756098],0
p12,1,0.115359,2.479225,[ 8 99] ; [ 1 58],[  5.80120482 101.19879518] ; [ 3.19879518 55.80120482],0
n4,1,0.131285,2.277245,[77 30] ; [37 24],[72.60714286 34.39285714] ; [41.39285714 19.60714286],0
d3,1,0.141839,2.157896,[62 44] ; [28 32],[57.46987952 48.53012048] ; [32.53012048 27.46987952],0
p3,1,0.200709,1.637205,[52 55] ; [23 37],[48.05389222 58.94610778] ; [26.94610778 33.05389222],0
d4,1,0.204674,1.608702,[80 27] ; [40 21],[76.42857143 30.57142857] ; [43.57142857 17.42857143],0
b3,1,0.233305,1.420599,[25 38] ; [10 26],[22.27272727 40.72727273] ; [12.72727273 23.27272727],0
b2,1,0.233305,1.420599,[25 38] ; [10 26],[22.27272727 40.72727273] ; [12.72727273 23.27272727],0
p7,1,0.23795,1.392699,[59 46] ; [27 31],[55.39877301 49.60122699] ; [30.60122699 27.39877301],0
s2,1,0.24651,1.342976,[52 55] ; [24 37],[48.4047619 58.5952381] ; [27.5952381 33.4047619],0
a4,1,0.256609,1.286962,[39 68] ; [17 44],[35.66666667 71.33333333] ; [20.33333333 40.66666667],0
s1,1,0.263424,1.250674,[  2 105] ; [ 3 58],[  3.18452381 103.81547619] ; [ 1.81547619 59.18452381],0
n5,1,0.264103,1.247122,[80 27] ; [40 20],[76.88622754 30.11377246] ; [43.11377246 16.88622754],0
p5,1,0.268638,1.22369,[15 91] ; [ 5 55],[12.77108434 93.22891566] ; [ 7.22891566 52.77108434],0
a6,1,0.272435,1.204443,[62 45] ; [30 31],[58.5952381 48.4047619] ; [33.4047619 27.5952381],0
s3,1,0.289515,1.121876,[55 51] ; [26 34],[51.72289157 54.27710843] ; [29.27710843 30.72289157],0
p2,1,0.327909,0.957138,[88 19] ; [44 14],[85.6 21.4] ; [46.4 11.6],0
p6,1,0.351642,0.867521,[38 66] ; [17 41],[35.30864198 68.69135802] ; [19.69135802 38.30864198],0
s8,1,0.360882,0.834823,[39 68] ; [18 43],[36.30357143 70.69642857] ; [20.69642857 40.30357143],0
u2,1,0.403,0.699357,[23 21] ; [10 14],[21.35294118 22.64705882] ; [11.64705882 12.35294118],0
a8,1,0.403651,0.697423,[13 87] ; [ 5 53],[11.39240506 88.60759494] ; [ 6.60759494 51.39240506],0
a1,1,0.442238,0.59047,[  7 100] ; [ 6 55],[ 8.2797619 98.7202381] ; [ 4.7202381 56.2797619],0
p4,1,0.445421,0.582277,[56 50] ; [28 32],[53.63855422 52.36144578] ; [30.36144578 29.63855422],0
