Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,77.928051,[ 77 106] ; [409 120],[124.91292135  58.08707865] ; [361.08707865 167.91292135],1
d3,1,0.0,61.952924,[86 97] ; [413 117],[128.0743338  54.9256662] ; [370.9256662 159.0743338],1
a2,1,0.0,34.116123,[ 16 167] ; [161 369],[ 45.42917251 137.57082749] ; [131.57082749 398.42917251],1
b5,1,0.0,25.989059,[ 81 102] ; [348 182],[110.10799439  72.89200561] ; [318.89200561 211.10799439],1
u1,1,1e-06,23.672325,[ 13 170] ; [125 405],[ 35.41935484 147.58064516] ; [102.58064516 427.41935484],1
d1,1,0.001453,10.137099,[93 90] ; [340 190],[111.13464236  71.86535764] ; [321.86535764 208.13464236],0
u3,1,0.006832,7.316594,[21 31] ; [90 55],[29.29949239 22.70050761] ; [81.70050761 63.29949239],0
p4,1,0.014128,6.022033,[99 83] ; [340 186],[112.85028249  69.14971751] ; [326.14971751 199.85028249],0
d4,1,0.023266,5.148521,[140  42] ; [447  83],[150.04775281  31.95224719] ; [436.95224719  93.04775281],0
v2,1,0.028271,4.811485,[90 88] ; [306 204],[102.45348837  75.54651163] ; [293.54651163 216.45348837],0
b1,1,0.0388,4.269624,[ 77 106] ; [178 352],[ 65.44880785 117.55119215] ; [189.55119215 340.44880785],0
b4,1,0.040632,4.191285,[95 88] ; [321 209],[106.7713885  76.2286115] ; [309.2286115 220.7713885],0
r1,1,0.059881,3.540673,[147  36] ; [454  73],[154.9056338  28.0943662] ; [446.0943662  80.9056338],0
n5,1,0.064645,3.41402,[156  27] ; [417 111],[147.48101266  35.51898734] ; [425.51898734 102.48101266],0
s5,1,0.072889,3.216723,[74 99] ; [180 332],[ 64.14890511 108.85109489] ; [189.85109489 322.14890511],0
p2,1,0.098388,2.731476,[146  36] ; [451  77],[153.03380282  28.96619718] ; [443.96619718  84.03380282],0
u2,1,0.098729,2.725964,[22 29] ; [82 63],[27.06122449 23.93877551] ; [76.93877551 68.06122449],0
s8,1,0.100307,2.700648,[95 87] ; [237 288],[85.46534653 96.53465347] ; [246.53465347 278.46534653],0
b3,1,0.115378,2.478971,[53 64] ; [118 201],[45.88761468 71.11238532] ; [125.11238532 193.88761468],0
b2,1,0.115378,2.478971,[53 64] ; [118 201],[45.88761468 71.11238532] ; [125.11238532 193.88761468],0
d5,1,0.132196,2.266525,[142  40] ; [440  90],[148.76966292  33.23033708] ; [433.23033708  96.76966292],0
a5,1,0.292463,1.108251,[132  51] ; [403 127],[137.3141655  45.6858345] ; [397.6858345 132.3141655],0
p5,1,0.318437,0.995353,[ 27 155] ; [ 63 463],[ 23.13559322 158.86440678] ; [ 66.86440678 459.13559322],0
v1,1,0.324593,0.97035,[94 85] ; [294 224],[99.64418938 79.35581062] ; [288.35581062 229.64418938],0
p1,1,0.337819,0.918692,[ 13 169] ; [ 50 477],[ 16.17207334 165.82792666] ; [ 46.82792666 480.17207334],0
p12,1,0.36042,0.836429,[ 13 167] ; [ 50 478],[ 16.01694915 163.98305085] ; [ 46.98305085 481.01694915],0
p10,1,0.371825,0.797556,[149  32] ; [446  78],[152.75886525  28.24113475] ; [442.24113475  81.75886525],0
r2,1,0.377345,0.779333,[176   5] ; [519   9],[177.42595205   3.57404795] ; [517.57404795  10.42595205],0
p7,1,0.383277,0.760163,[125  56] ; [338 178],[120.2338594  60.7661406] ; [342.7661406 173.2338594],0
s7,1,0.443758,0.586546,[96 82] ; [255 249],[91.60997067 86.39002933] ; [259.39002933 244.60997067],0
d2,1,0.475446,0.509291,[88 94] ; [272 257],[92.15189873 89.84810127] ; [267.84810127 261.15189873],0
s4,1,0.476278,0.507373,[ 34 148] ; [ 85 434],[ 30.89586305 151.10413695] ; [ 88.10413695 430.89586305],0
s2,1,0.490598,0.475214,[91 90] ; [279 245],[94.9929078 86.0070922] ; [275.0070922 248.9929078],0
r3,1,0.494248,0.467266,[178   5] ; [519  10],[179.14466292   3.85533708] ; [517.85533708  11.14466292],0
