Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.0,58.640902,[265 184] ; [212  31],[309.49855491 139.50144509] ; [167.50144509  75.49855491],1
s2,1,0.0,55.61093,[186 263] ; [174  71],[232.91066282 216.08933718] ; [127.08933718 117.91066282],1
p5,1,0.0,39.219379,[ 24 424] ; [ 51 194],[ 48.48484848 399.51515152] ; [ 26.51515152 218.48484848],1
s7,1,0.0,34.260331,[182 249] ; [155  80],[218.08858859 212.91141141] ; [118.91141141 116.08858859],1
s8,1,0.0,32.610421,[168 283] ; [146  98],[203.76115108 247.23884892] ; [110.23884892 133.76115108],1
s3,1,1e-06,24.882431,[228 219] ; [171  71],[258.85776488 188.14223512] ; [140.14223512 101.85776488],1
s4,1,1.5e-05,18.702909,[ 51 397] ; [ 58 184],[ 70.77101449 377.22898551] ; [ 38.22898551 203.77101449],1
p7,1,2.8e-05,17.582577,[260 180] ; [179  59],[284.89675516 155.10324484] ; [154.10324484  83.89675516],1
p12,1,3.5e-05,17.146602,[ 21 427] ; [ 33 211],[ 34.95953757 413.04046243] ; [ 19.04046243 224.95953757],1
p6,1,3.8e-05,16.961843,[136 310] ; [112 130],[160.76744186 285.23255814] ; [ 87.23255814 154.76744186],1
p3,1,0.00017,14.139199,[202 248] ; [146  98],[225.64841499 224.35158501] ; [122.35158501 121.64841499],1
p10,1,0.000308,13.018667,[341 106] ; [214  30],[359.02315485  87.97684515] ; [195.97684515  48.02315485],1
n6,1,0.000723,11.429868,[364  87] ; [220  23],[379.51585014  71.48414986] ; [204.48414986  38.51585014],1
p9,1,0.00096,10.902608,[355  93] ; [215  26],[370.62409289  77.37590711] ; [199.37590711  41.62409289],1
p8,1,0.000978,10.869434,[215 229] ; [149  93],[235.59183673 208.40816327] ; [128.40816327 113.59183673],1
p4,1,0.001472,10.113223,[249 201] ; [164  78],[268.56936416 181.43063584] ; [144.43063584  97.56936416],0
p1,1,0.006265,7.472482,[ 28 421] ; [ 30 215],[ 37.52449568 411.47550432] ; [ 20.47550432 224.52449568],0
n5,1,0.007611,7.122728,[325 123] ; [200  45],[339.39393939 108.60606061] ; [185.60606061  59.39393939],0
n2,1,0.009388,6.747497,[68 35] ; [43  7],[74.7254902 28.2745098] ; [36.2745098 13.7254902],0
a3,1,0.009808,6.66936,[316 134] ; [195  51],[330.38793103 119.61206897] ; [180.61206897  65.38793103],0
d2,1,0.01039,6.566819,[211 240] ; [139 105],[227.12230216 223.87769784] ; [122.87769784 121.12230216],0
v1,1,0.013616,6.08727,[230 210] ; [152  93],[245.37226277 194.62773723] ; [136.62773723 108.37226277],0
a7,1,0.018761,5.523657,[350 101] ; [171  75],[337.11764706 113.88235294] ; [183.88235294  62.11764706],0
d1,1,0.022568,5.201488,[266 186] ; [167  80],[279.99427754 172.00572246] ; [153.00572246  93.99427754],0
a4,1,0.023122,5.159301,[196 253] ; [130 117],[210.30747126 238.69252874] ; [115.69252874 131.30747126],0
n1,1,0.024891,5.031432,[35 68] ; [26 23],[41.33552632 61.66447368] ; [19.66447368 29.33552632],0
a5,1,0.025641,4.980043,[334 118] ; [201  46],[345.95135908 106.04864092] ; [189.04864092  57.95135908],0
u1,1,0.027544,4.856383,[ 80 372] ; [ 61 186],[ 91.17596567 360.82403433] ; [ 49.82403433 197.17596567],0
v3,1,0.030756,4.66654,[164 263] ; [115 130],[177.28125 249.71875] ; [101.71875 143.28125],0
a2,1,0.041336,4.162175,[107 345] ; [ 76 171],[118.33476395 333.66523605] ; [ 64.66523605 182.33476395],0
a6,1,0.078508,3.095531,[327 124] ; [162  83],[316.86637931 134.13362069] ; [172.13362069  72.86637931],0
b5,1,0.080477,3.055233,[276 176] ; [134 113],[265.12160229 186.87839771] ; [144.87839771 102.12160229],0
d4,1,0.094797,2.790962,[371  79] ; [213  31],[378.67435159  71.32564841] ; [205.32564841  38.67435159],0
b2,1,0.112653,2.516599,[ 95 172] ; [66 86],[102.59427208 164.40572792] ; [58.40572792 93.59427208],0
b3,1,0.112653,2.516599,[ 95 172] ; [66 86],[102.59427208 164.40572792] ; [58.40572792 93.59427208],0
n3,1,0.149191,2.080507,[69 32] ; [39 10],[72.72 28.28] ; [35.28 13.72],0
u2,1,0.160255,1.971814,[81 53] ; [25 26],[76.77837838 57.22162162] ; [29.22162162 21.77837838],0
n4,1,0.180664,1.79215,[347 104] ; [200  46],[353.94117647  97.05882353] ; [193.05882353  52.94117647],0
p2,1,0.205203,1.604949,[368  81] ; [210  35],[373.95100865  75.04899135] ; [204.04899135  40.95100865],0
u4,1,0.20907,1.577853,[ 12 440] ; [  3 244],[  9.69957082 442.30042918] ; [  5.30042918 241.69957082],0
d5,1,0.214589,1.540196,[366  85] ; [208  37],[371.9454023  79.0545977] ; [202.0545977  42.9454023],0
a1,1,0.274759,1.192832,[ 16 436] ; [ 13 234],[ 18.75250358 433.24749642] ; [ 10.24749642 236.75250358],0
r4,1,0.421417,0.646359,[436  16] ; [241   6],[437.7739628  14.2260372] ; [239.2260372   7.7739628],0
v4,1,0.504165,0.446159,[435  15] ; [241   6],[436.44189383  13.55810617] ; [239.55810617   7.44189383],0
v2,1,0.513943,0.426032,[248 179] ; [148  96],[252. 175.] ; [144. 100.],0
r3,1,0.52873,0.396832,[434  17] ; [238   7],[435.44827586  15.55172414] ; [236.55172414   8.44827586],0
b1,1,0.700426,0.148029,[169 283] ; [ 96 151],[171.35908441 280.64091559] ; [ 93.64091559 153.35908441],0
p11,1,0.749748,0.101743,[354  98] ; [196  51],[355.6509299  96.3490701] ; [194.3490701  52.6509299],0
s1,1,0.835814,0.042953,[ 16 429] ; [  8 235],[ 15.52325581 429.47674419] ; [  8.47674419 234.52325581],0
u3,1,0.847594,0.036937,[83 51] ; [33 19],[83.56989247 50.43010753] ; [32.43010753 19.56989247],0
b4,1,0.88776,0.01992,[266 186] ; [144 103],[265.12160229 186.87839771] ; [144.87839771 102.12160229],0
d3,1,0.925753,0.008684,[323 128] ; [177  69],[323.52941176 127.47058824] ; [176.47058824  69.52941176],0
a8,1,0.952751,0.003511,[ 56 350] ; [ 31 191],[ 56.24522293 349.75477707] ; [ 30.75477707 191.24522293],0
