Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,2.9e-05,17.474855,[46  5] ; [6 9],[40.18181818 10.81818182] ; [11.81818182  3.18181818],1
s8,1,0.03221,4.587287,[25 26] ; [ 3 13],[21.31343284 29.68656716] ; [6.68656716 9.31343284],0
a7,1,0.043513,4.075344,[39 12] ; [8 8],[35.7761194 15.2238806] ; [11.2238806  4.7761194],0
b5,1,0.050504,3.824636,[24 27] ; [12  4],[27.40298507 23.59701493] ; [8.59701493 7.40298507],0
p11,1,0.050769,3.815867,[36 15] ; [7 9],[32.73134328 18.26865672] ; [10.26865672  5.73134328],0
p2,1,0.052844,3.748851,[41 10] ; [9 7],[38.05970149 12.94029851] ; [11.94029851  4.05970149],0
u2,1,0.063787,3.436086,[11  6] ; [2 6],[8.84 8.16] ; [4.16 3.84],0
p6,1,0.092431,2.831518,[21 29] ; [ 3 13],[18.18181818 31.81818182] ; [ 5.81818182 10.18181818],0
a6,1,0.098734,2.725878,[28 23] ; [ 5 11],[25.11940299 25.88059701] ; [7.88059701 8.11940299],0
u3,1,0.115184,2.481618,[12  5] ; [3 5],[10.2  6.8] ; [4.8 3.2],0
b4,1,0.117444,2.451081,[39 12] ; [9 7],[36.53731343 14.46268657] ; [11.46268657  4.53731343],0
b3,1,0.135918,2.223572,[12 13] ; [ 3 10],[ 9.86842105 15.13157895] ; [5.13157895 7.86842105],0
b2,1,0.135918,2.223572,[12 13] ; [ 3 10],[ 9.86842105 15.13157895] ; [5.13157895 7.86842105],0
d3,1,0.163752,1.93923,[38 13] ; [9 7],[35.7761194 15.2238806] ; [11.2238806  4.7761194],0
b1,1,0.163752,1.93923,[13 38] ; [7 9],[15.2238806 35.7761194] ; [ 4.7761194 11.2238806],0
r1,1,0.178726,1.808185,[37 13] ; [9 7],[34.84848485 15.15151515] ; [11.15151515  4.84848485],0
r4,1,0.1949,1.680186,[45  6] ; [12  4],[43.3880597  7.6119403] ; [13.6119403  2.3880597],0
s2,1,0.229115,1.446349,[34 17] ; [8 8],[31.97014925 19.02985075] ; [10.02985075  5.97014925],0
p7,1,0.254324,1.299394,[30 20] ; [7 9],[28.03030303 21.96969697] ; [8.96969697 7.03030303],0
d1,1,0.290111,1.119108,[30 21] ; [7 9],[28.1641791 22.8358209] ; [8.8358209 7.1641791],0
s7,1,0.34149,0.90483,[27 23] ; [6 9],[25.38461538 24.61538462] ; [7.61538462 7.38461538],0
a3,1,0.345348,0.890476,[34 17] ; [8 7],[32.45454545 18.54545455] ; [9.54545455 5.45454545],0
p8,1,0.366608,0.815128,[22 28] ; [ 5 11],[20.45454545 29.54545455] ; [6.54545455 9.45454545],0
v4,1,0.392427,0.73141,[47  3] ; [14  2],[46.21212121  3.78787879] ; [14.78787879  1.21212121],0
a4,1,0.397681,0.715327,[22 29] ; [ 5 11],[20.55223881 30.44776119] ; [6.44776119 9.55223881],0
d2,1,0.435888,0.607085,[23 28] ; [9 7],[24.35820896 26.64179104] ; [7.64179104 8.35820896],0
n1,1,0.451967,0.565714,[6 9] ; [4 3],[6.81818182 8.18181818] ; [3.18181818 3.81818182],0
n4,1,0.485292,0.486948,[14 37] ; [ 3 13],[12.94029851 38.05970149] ; [ 4.05970149 11.94029851],0
n3,1,0.512691,0.428571,[10  4] ; [4 3],[9.33333333 4.66666667] ; [4.66666667 2.33333333],0
a5,1,0.542868,0.37025,[36 15] ; [10  6],[35.01492537 15.98507463] ; [10.98507463  5.01492537],0
s3,1,0.578052,0.309395,[32 18] ; [9 7],[31.06060606 18.93939394] ; [9.93939394 6.06060606],0
n2,1,0.603743,0.269388,[9 6] ; [5 2],[9.54545455 5.45454545] ; [4.45454545 2.54545455],0
v2,1,0.613758,0.254739,[25 26] ; [9 7],[25.88059701 25.11940299] ; [8.11940299 7.88059701],0
u1,1,0.627748,0.235127,[ 9 42] ; [ 2 14],[ 8.37313433 42.62686567] ; [ 2.62686567 13.37313433],0
a2,1,0.627748,0.235127,[ 9 42] ; [ 2 14],[ 8.37313433 42.62686567] ; [ 2.62686567 13.37313433],0
v3,1,0.658264,0.195639,[14 37] ; [ 5 10],[14.68181818 36.31818182] ; [ 4.31818182 10.68181818],0
a8,1,0.660979,0.192337,[ 2 45] ; [ 1 13],[ 2.31147541 44.68852459] ; [ 0.68852459 13.31147541],0
a1,1,0.664027,0.188669,[ 5 46] ; [ 1 15],[ 4.56716418 46.43283582] ; [ 1.43283582 14.56716418],0
v1,1,0.681803,0.168103,[23 27] ; [6 9],[22.30769231 27.69230769] ; [6.69230769 8.30769231],0
p3,1,0.712744,0.135551,[25 26] ; [7 9],[24.35820896 26.64179104] ; [7.64179104 8.35820896],0
s4,1,0.766279,0.088355,[18 33] ; [ 5 11],[17.50746269 33.49253731] ; [ 5.49253731 10.50746269],0
d5,1,0.772864,0.083307,[43  8] ; [13  3],[42.62686567  8.37313433] ; [13.37313433  2.62686567],0
