Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b5,1,0.002596,9.071779,[32 14] ; [ 9 18],[25.83561644 20.16438356] ; [15.16438356 11.83561644],0
d3,1,0.009955,6.642942,[28 18] ; [ 8 19],[22.68493151 23.31506849] ; [13.31506849 13.68493151],0
v4,1,0.011894,6.326543,[45  1] ; [21  5],[42.16666667  3.83333333] ; [23.83333333  2.16666667],0
n4,1,0.028499,4.797616,[22 24] ; [20  7],[26.46575342 19.53424658] ; [15.53424658 11.46575342],0
r4,1,0.033224,4.534223,[39  7] ; [17 10],[35.28767123 10.71232877] ; [20.71232877  6.28767123],0
p11,1,0.043639,4.070465,[29 17] ; [23  4],[32.76712329 13.23287671] ; [19.23287671  7.76712329],0
r2,1,0.046961,3.946794,[42  4] ; [20  7],[39.06849315  6.93150685] ; [22.93150685  4.06849315],0
p12,1,0.105269,2.623845,[ 1 45] ; [ 3 24],[ 2.52054795 43.47945205] ; [ 1.47945205 25.52054795],0
r3,1,0.121335,2.4,[42  3] ; [22  5],[40.  5.] ; [24.  3.],0
a5,1,0.165902,1.919588,[23 23] ; [ 9 18],[20.16438356 25.83561644] ; [11.83561644 15.16438356],0
d2,1,0.190547,1.713386,[ 5 41] ; [ 6 21],[ 6.93150685 39.06849315] ; [ 4.06849315 22.93150685],0
a6,1,0.192923,1.695154,[26 20] ; [11 16],[23.31506849 22.68493151] ; [13.68493151 13.31506849],0
p7,1,0.201993,1.627907,[22 21] ; [18  9],[24.57142857 18.42857143] ; [15.42857143 11.57142857],0
d4,1,0.238627,1.388687,[27 19] ; [12 15],[24.57534247 21.42465753] ; [14.42465753 12.57534247],0
s2,1,0.263097,1.252389,[28 16] ; [13 13],[25.77142857 18.22857143] ; [15.22857143 10.77142857],0
p1,1,0.269404,1.219778,[ 2 44] ; [ 3 24],[ 3.15068493 42.84931507] ; [ 1.84931507 25.15068493],0
u1,1,0.276843,1.182521,[ 1 45] ; [ 2 25],[ 1.89041096 44.10958904] ; [ 1.10958904 25.89041096],0
n1,1,0.277291,1.180317,[2 8] ; [5 7],[3.18181818 6.81818182] ; [3.81818182 8.18181818],0
b4,1,0.290272,1.11836,[28 18] ; [13 14],[25.83561644 20.16438356] ; [15.16438356 11.83561644],0
s7,1,0.300675,1.071197,[21 24] ; [16 11],[23.125 21.875] ; [13.875 13.125],0
p4,1,0.301719,1.066582,[21 25] ; [ 9 18],[18.90410959 27.09589041] ; [11.09589041 15.90410959],0
r1,1,0.311898,1.02262,[31 15] ; [15 12],[28.98630137 17.01369863] ; [17.01369863  9.98630137],0
n6,1,0.351622,0.867594,[36  9] ; [19  8],[34.375 10.625] ; [20.625  6.375],0
p9,1,0.379141,0.773486,[35  9] ; [19  8],[33.46478873 10.53521127] ; [20.53521127  6.46478873],0
v1,1,0.387534,0.746667,[17 28] ; [13 14],[18.75 26.25] ; [11.25 15.75],0
p3,1,0.41245,0.671728,[16 30] ; [12 15],[17.64383562 28.35616438] ; [10.35616438 16.64383562],0
s5,1,0.426616,0.632018,[16 26] ; [12 13],[17.55223881 24.44776119] ; [10.44776119 14.55223881],0
v2,1,0.440495,0.594993,[19 27] ; [ 8 17],[17.49295775 28.50704225] ; [ 9.50704225 15.49295775],0
n5,1,0.447533,0.576894,[32 14] ; [21  6],[33.39726027 12.60273973] ; [19.60273973  7.39726027],0
n3,1,0.484423,0.488889,[8 2] ; [8 4],[7.27272727 2.72727273] ; [8.72727273 3.27272727],0
d5,1,0.488681,0.479429,[26 20] ; [13 14],[24.57534247 21.42465753] ; [14.42465753 12.57534247],0
b3,1,0.491557,0.473117,[ 3 20] ; [ 1 15],[ 2.35897436 20.64102564] ; [ 1.64102564 14.35897436],0
b2,1,0.491557,0.473117,[ 3 20] ; [ 1 15],[ 2.35897436 20.64102564] ; [ 1.64102564 14.35897436],0
p8,1,0.499047,0.456963,[18 27] ; [13 14],[19.375 25.625] ; [11.625 15.375],0
p10,1,0.508883,0.436364,[30 15] ; [20  7],[31.25 13.75] ; [18.75  8.25],0
p2,1,0.591002,0.288782,[35 11] ; [19  8],[34.02739726 11.97260274] ; [19.97260274  7.02739726],0
b1,1,0.610708,0.259145,[16 30] ; [11 16],[17.01369863 28.98630137] ; [ 9.98630137 17.01369863],0
u3,1,0.645572,0.211528,[14  9] ; [8 7],[13.31578947  9.68421053] ; [8.68421053 6.31578947],0
a3,1,0.646453,0.210401,[23 23] ; [12 15],[22.05479452 23.94520548] ; [12.94520548 14.05479452],0
p5,1,0.699086,0.149424,[ 1 45] ; [ 1 26],[ 1.26027397 44.73972603] ; [ 0.73972603 26.26027397],0
a1,1,0.699086,0.149424,[ 1 45] ; [ 1 26],[ 1.26027397 44.73972603] ; [ 0.73972603 26.26027397],0
v3,1,0.766096,0.088497,[10 35] ; [ 5 21],[ 9.50704225 35.49295775] ; [ 5.49295775 20.50704225],0
p6,1,0.829807,0.046203,[11 34] ; [ 6 21],[10.625 34.375] ; [ 6.375 20.625],0
u2,1,0.846791,0.037332,[10 13] ; [7 8],[10.28947368 12.71052632] ; [6.71052632 8.28947368],0
a4,1,0.847249,0.037106,[11 35] ; [ 7 20],[11.34246575 34.65753425] ; [ 6.65753425 20.34246575],0
a8,1,0.868063,0.027596,[ 2 39] ; [ 1 24],[ 1.86363636 39.13636364] ; [ 1.13636364 23.86363636],0
s8,1,0.900745,0.015555,[13 33] ; [ 8 19],[13.23287671 32.76712329] ; [ 7.76712329 19.23287671],0
s3,1,0.936312,0.006385,[29 16] ; [17  9],[29.15492958 15.84507042] ; [16.84507042  9.15492958],0
s6,1,0.948169,0.004226,[32 12] ; [18  7],[31.88405797 12.11594203] ; [18.11594203  6.88405797],0
