Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.000252,13.394575,[10  6] ; [13 59],[ 4.18181818 11.81818182] ; [18.81818182 53.18181818],1
a3,1,0.004866,7.928662,[15  2] ; [36 35],[9.85227273 7.14772727] ; [41.14772727 29.85227273],0
p1,1,0.007678,7.107172,[ 5 12] ; [ 5 68],[ 1.88888889 15.11111111] ; [ 8.11111111 64.88888889],0
d1,1,0.015331,5.878062,[11  6] ; [24 49],[ 6.61111111 10.38888889] ; [28.38888889 44.61111111],0
d2,1,0.016743,5.723135,[11  5] ; [26 46],[6.72727273 9.27272727] ; [30.27272727 41.72727273],0
d5,1,0.017641,5.631461,[14  3] ; [37 36],[9.63333333 7.36666667] ; [41.36666667 31.63333333],0
r2,1,0.029732,4.724714,[13  3] ; [36 34],[9.11627907 6.88372093] ; [39.88372093 30.11627907],0
a2,1,0.030359,4.688837,[ 5 12] ; [ 7 66],[ 2.26666667 14.73333333] ; [ 9.73333333 63.26666667],0
r1,1,0.048753,3.883841,[8 9] ; [17 56],[ 4.72222222 12.27777778] ; [20.27777778 52.72222222],0
p2,1,0.055617,3.663495,[ 4 12] ; [37 35],[7.45454545 8.54545455] ; [33.54545455 38.45454545],0
n4,1,0.067307,3.347505,[13  4] ; [38 35],[9.63333333 7.36666667] ; [41.36666667 31.63333333],0
d3,1,0.068583,3.316614,[11  6] ; [29 43],[7.64044944 9.35955056] ; [32.35955056 39.64044944],0
a4,1,0.104664,2.632995,[9 8] ; [23 49],[ 6.11235955 10.88764045] ; [25.88764045 46.11235955],0
n2,1,0.115618,2.475699,[7 2] ; [18 19],[4.89130435 4.10869565] ; [20.10869565 16.89130435],0
v1,1,0.124454,2.360356,[ 7 10] ; [16 54],[ 4.49425287 12.50574713] ; [18.50574713 51.49425287],0
b1,1,0.152405,2.048013,[ 7 10] ; [44 29],[9.63333333 7.36666667] ; [41.36666667 31.63333333],0
n5,1,0.178489,1.810159,[13  4] ; [43 30],[10.57777778  6.42222222] ; [45.42222222 27.57777778],0
s3,1,0.228507,1.450133,[ 2 14] ; [19 52],[ 3.86206897 12.13793103] ; [17.13793103 53.86206897],0
b4,1,0.235069,1.409925,[12  5] ; [40 33],[9.82222222 7.17777778] ; [42.17777778 30.82222222],0
p12,1,0.237939,1.392765,[ 1 15] ; [ 1 71],[ 0.36363636 15.63636364] ; [ 1.63636364 70.36363636],0
s1,1,0.243225,1.361805,[ 3 14] ; [ 6 67],[ 1.7 15.3] ; [ 7.3 65.7],0
d4,1,0.269392,1.219838,[12  4] ; [44 29],[10.06741573  5.93258427] ; [45.93258427 27.06741573],0
b5,1,0.296665,1.089127,[ 6 11] ; [36 37],[7.93333333 9.06666667] ; [34.06666667 38.93333333],0
a1,1,0.341038,0.906527,[ 3 14] ; [ 7 66],[ 1.88888889 15.11111111] ; [ 8.11111111 64.88888889],0
p7,1,0.343568,0.897072,[ 3 13] ; [22 50],[ 4.54545455 11.45454545] ; [20.45454545 51.54545455],0
p4,1,0.37365,0.791488,[ 3 12] ; [23 50],[ 4.43181818 10.56818182] ; [21.56818182 51.43181818],0
v4,1,0.399206,0.710717,[11  6] ; [39 34],[9.44444444 7.55555556] ; [40.55555556 32.44444444],0
u3,1,0.417955,0.656058,[1 1] ; [ 9 28],[0.51282051 1.48717949] ; [ 9.48717949 27.51282051],0
a7,1,0.422857,0.642361,[9 7] ; [33 40],[7.5505618 8.4494382] ; [34.4494382 38.5505618],0
a6,1,0.497183,0.460943,[9 8] ; [32 41],[7.74444444 9.25555556] ; [33.25555556 39.74444444],0
p11,1,0.579991,0.30625,[8 9] ; [29 44],[ 6.98888889 10.01111111] ; [30.01111111 42.98888889],0
s2,1,0.604361,0.268469,[ 3 13] ; [10 63],[ 2.33707865 13.66292135] ; [10.66292135 62.33707865],0
r3,1,0.613,0.255829,[8 8] ; [31 41],[7.09090909 8.90909091] ; [31.90909091 40.09090909],0
p9,1,0.615136,0.252763,[9 7] ; [34 35],[8.09411765 7.90588235] ; [34.90588235 34.09411765],0
n6,1,0.61832,0.248235,[10  7] ; [37 34],[9.07954545 7.92045455] ; [37.92045455 33.07954545],0
n3,1,0.654641,0.200099,[5 4] ; [17 19],[4.4 4.6] ; [17.6 18.4],0
u2,1,0.669489,0.182201,[1 1] ; [13 24],[0.71794872 1.28205128] ; [13.28205128 23.71794872],0
p8,1,0.692903,0.155961,[ 5 11] ; [19 53],[ 4.36363636 11.63636364] ; [19.63636364 52.36363636],0
a5,1,0.710543,0.137735,[9 8] ; [35 38],[8.31111111 8.68888889] ; [35.68888889 37.31111111],0
p3,1,0.714067,0.134249,[ 4 12] ; [15 57],[ 3.45454545 12.54545455] ; [15.54545455 56.45454545],0
s5,1,0.735625,0.114009,[ 1 16] ; [ 6 66],[ 1.33707865 15.66292135] ; [ 5.66292135 66.33707865],0
p5,1,0.735625,0.114009,[ 1 16] ; [ 6 66],[ 1.33707865 15.66292135] ; [ 5.66292135 66.33707865],0
u1,1,0.745938,0.104976,[ 1 16] ; [ 6 67],[ 1.32222222 15.67777778] ; [ 5.67777778 67.32222222],0
p6,1,0.766658,0.08806,[ 3 13] ; [11 59],[ 2.60465116 13.39534884] ; [11.39534884 58.60465116],0
b3,1,0.784879,0.074511,[4 5] ; [17 26],[3.63461538 5.36538462] ; [17.36538462 25.63461538],0
b2,1,0.784879,0.074511,[4 5] ; [17 26],[3.63461538 5.36538462] ; [17.36538462 25.63461538],0
s8,1,0.787699,0.072522,[ 2 15] ; [ 7 66],[ 1.7 15.3] ; [ 7.3 65.7],0
n1,1,0.801747,0.063045,[3 6] ; [14 23],[3.32608696 5.67391304] ; [13.67391304 23.32608696],0
p10,1,0.890952,0.018796,[7 8] ; [35 37],[7.24137931 7.75862069] ; [34.75862069 37.24137931],0
s4,1,0.949012,0.004089,[ 2 15] ; [ 9 64],[ 2.07777778 14.92222222] ; [ 8.92222222 64.07777778],0
s7,1,0.958623,0.002692,[ 3 11] ; [15 53],[ 3.07317073 10.92682927] ; [14.92682927 53.07317073],0
