Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.003697,8.426746,[ 8 49] ; [8 9],[12.32432432 44.67567568] ; [ 3.67567568 13.32432432],0
p3,1,0.003697,8.426746,[ 8 49] ; [8 9],[12.32432432 44.67567568] ; [ 3.67567568 13.32432432],0
p9,1,0.008168,6.996293,[21 32] ; [13  4],[25.74285714 27.25714286] ; [8.25714286 8.74285714],0
p6,1,0.021861,5.256845,[ 7 49] ; [ 6 10],[10.11111111 45.88888889] ; [ 2.88888889 13.11111111],0
v4,1,0.025301,5.003195,[38 19] ; [16  1],[41.59459459 15.40540541] ; [12.40540541  4.59459459],0
v1,1,0.057061,3.620812,[16 41] ; [9 8],[19.25675676 37.74324324] ; [ 5.74324324 11.25675676],0
a4,1,0.059103,3.562391,[ 6 50] ; [ 5 12],[ 8.43835616 47.56164384] ; [ 2.56164384 14.43835616],0
p11,1,0.061565,3.494717,[29 28] ; [13  4],[32.35135135 24.64864865] ; [9.64864865 7.35135135],0
u3,1,0.065591,3.39004,[15 19] ; [9 3],[17.73913043 16.26086957] ; [6.26086957 5.73913043],0
p10,1,0.084032,2.985132,[22 32] ; [11  6],[25.09859155 28.90140845] ; [7.90140845 9.09859155],0
u2,1,0.0948,2.790924,[16 18] ; [9 3],[18.47826087 15.52173913] ; [6.52173913 5.47826087],0
s4,1,0.117884,2.445211,[13 44] ; [ 1 16],[10.78378378 46.21621622] ; [ 3.21621622 13.78378378],0
p7,1,0.145537,2.118419,[17 39] ; [8 8],[19.44444444 36.55555556] ; [ 5.55555556 10.44444444],0
a7,1,0.167054,1.909185,[31 26] ; [ 6 11],[28.5 28.5] ; [8.5 8.5],0
r4,1,0.172689,1.859445,[37 20] ; [14  3],[39.28378378 17.71621622] ; [11.71621622  5.28378378],0
s6,1,0.197718,1.659149,[23 33] ; [10  7],[25.31506849 30.68493151] ; [7.68493151 9.31506849],0
p8,1,0.208174,1.584078,[ 9 48] ; [ 5 12],[10.78378378 46.21621622] ; [ 3.21621622 13.78378378],0
d5,1,0.338891,0.914622,[26 31] ; [10  7],[27.72972973 29.27027027] ; [8.27027027 8.72972973],0
d4,1,0.346745,0.885335,[33 24] ; [12  5],[34.66216216 22.33783784] ; [10.33783784  6.66216216],0
a8,1,0.371044,0.800166,[ 3 52] ; [ 2 15],[ 3.81944444 51.18055556] ; [ 1.18055556 15.81944444],0
d2,1,0.381829,0.764805,[14 43] ; [ 6 11],[15.40540541 41.59459459] ; [ 4.59459459 12.40540541],0
d1,1,0.381829,0.764805,[14 43] ; [ 6 11],[15.40540541 41.59459459] ; [ 4.59459459 12.40540541],0
a3,1,0.386531,0.749827,[23 33] ; [ 5 12],[21.47945205 34.52054795] ; [ 6.52054795 10.47945205],0
s3,1,0.460901,0.543707,[20 34] ; [8 9],[21.29577465 32.70422535] ; [ 6.70422535 10.29577465],0
b5,1,0.48993,0.476679,[35 22] ; [12  5],[36.2027027 20.7972973] ; [10.7972973  6.2027027],0
n3,1,0.504036,0.446429,[12  9] ; [3 1],[12.6  8.4] ; [2.4 1.6],0
s1,1,0.523776,0.406452,[ 7 49] ; [ 3 13],[ 7.77777778 48.22222222] ; [ 2.22222222 13.77777778],0
n4,1,0.529855,0.39467,[32 25] ; [11  6],[33.12162162 23.87837838] ; [9.87837838 7.12162162],0
b4,1,0.53282,0.389011,[35 22] ; [9 8],[33.89189189 23.10810811] ; [10.10810811  6.89189189],0
a6,1,0.573284,0.317218,[21 36] ; [ 5 12],[20.02702703 36.97297297] ; [ 5.97297297 11.02702703],0
r2,1,0.580248,0.305833,[47 10] ; [13  4],[46.21621622 10.78378378] ; [13.78378378  3.21621622],0
r1,1,0.615662,0.252012,[33 24] ; [11  6],[33.89189189 23.10810811] ; [10.10810811  6.89189189],0
n2,1,0.617017,0.250083,[13  8] ; [3 1],[13.44  7.56] ; [2.56 1.44],0
d3,1,0.62273,0.24205,[23 34] ; [8 9],[23.87837838 33.12162162] ; [7.12162162 9.87837838],0
b2,1,0.634309,0.226263,[10 23] ; [2 7],[ 9.42857143 23.57142857] ; [2.57142857 6.42857143],0
b3,1,0.634309,0.226263,[10 23] ; [2 7],[ 9.42857143 23.57142857] ; [2.57142857 6.42857143],0
v2,1,0.636188,0.223762,[20 33] ; [ 5 11],[19.20289855 33.79710145] ; [ 5.79710145 10.20289855],0
n6,1,0.664101,0.188581,[37 20] ; [12  5],[37.74324324 19.25675676] ; [11.25675676  5.74324324],0
s7,1,0.718236,0.130189,[11 42] ; [ 4 12],[11.52173913 41.47826087] ; [ 3.47826087 12.52173913],0
s5,1,0.724595,0.124132,[ 6 49] ; [ 2 12],[ 6.37681159 48.62318841] ; [ 1.62318841 12.37681159],0
n5,1,0.81584,0.054242,[32 25] ; [9 8],[31.58108108 25.41891892] ; [9.41891892 7.58108108],0
s2,1,0.917233,0.010799,[19 37] ; [ 6 11],[19.17808219 36.82191781] ; [ 5.82191781 11.17808219],0
a1,1,0.921067,0.009819,[ 3 54] ; [ 1 16],[ 3.08108108 53.91891892] ; [ 0.91891892 16.08108108],0
n1,1,0.930388,0.007631,[10 11] ; [2 2],[10.08 10.92] ; [1.92 2.08],0
b1,1,0.982098,0.000504,[27 30] ; [8 9],[26.95945946 30.04054054] ; [8.04054054 8.95945946],0
v3,1,0.99262,8.6e-05,[15 41] ; [ 4 11],[14.98591549 41.01408451] ; [ 4.01408451 10.98591549],0
